Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Juventus,38,33,3,2,80,23,57,102,566,69,2,602,222
2,Roma,38,26,7,5,72,25,47,85,487,82,5,592,216
3,Napoli,38,23,9,6,77,39,38,78,473,73,4,577,226
4,Fiorentina,38,19,8,11,65,44,21,65,463,83,4,574,172
5,Inter,38,15,15,8,62,39,23,60,503,70,3,546,185
6,Parma,38,15,13,10,58,46,12,58,616,98,8,494,160
7,Torino,38,15,12,11,58,48,10,57,483,94,2,503,173
8,Milan,38,16,9,13,57,49,8,57,570,84,7,620,204
9,Lazio,38,15,11,12,54,54,0,56,599,79,9,539,182
10,Verona,38,16,6,16,62,68,-6,54,504,68,5,459,163
11,Atalanta,38,15,5,18,43,51,-8,50,525,81,6,447,154
12,Sampdoria,38,12,9,17,48,62,-14,45,660,97,10,521,175
13,Genoa,38,11,11,16,41,50,-9,44,605,94,5,375,135
14,Udinese,38,12,8,18,46,57,-11,44,519,80,2,482,159
15,Cagliari,38,9,12,17,34,53,-19,39,580,99,8,468,132
16,Chievo,38,10,6,22,34,54,-20,36,629,103,4,413,135
17,Sassuolo,38,9,7,22,43,72,-29,34,632,97,5,492,163
18,Catania,38,8,8,22,34,66,-32,32,641,91,8,484,146
19,Bologna,38,5,14,19,28,58,-30,29,595,98,5,496,158
20,Livorno,38,6,7,25,39,77,-38,25,574,108,5,483,142
