player,country,team,assists
Aleksandar Ignjovski,Serbia,Eintracht Frankfurt,2
Emiliano Insúa,Argentina,VfB Stuttgart,2
Adnan Januzaj,Belgium,Borussia Dortmund,2
Kenan Karaman,Turkey,Hannover 96,2
Joshua Kimmich,Germany,Bayern München,2
Florian Klein,Austria,VfB Stuttgart,2
Artem Kravets,Ukraine,VfB Stuttgart,2
Pierre-Michel Lasogga,Germany,Hamburger SV,2
Danny Latza,Germany,1. FSV Mainz 05,2
Matthias Lehmann,Germany,1. FC Köln,2
Tobias Levels,Germany,FC Ingolstadt 04,2
Dario Lezcano,Paraguay,FC Ingolstadt 04,2
Filip Mladenović,Serbia,1. FC Köln,2
Alfredo Morales,USA,FC Ingolstadt 04,2
Yoshinori Mutō,Japan,1. FSV Mainz 05,2
Matthias Ostrzolek,Germany,Hamburger SV,2
Edgar Prib,Germany,Hannover 96,2
Marco Russ,Germany,Eintracht Frankfurt,2
Nuri Şahin,Turkey,Borussia Dortmund,2
Marcel Schäfer,Germany,VfL Wolfsburg,2
Alessandro Schöpf,Austria,FC Schalke 04,2
Sandro Sirigu,Germany,SV Darmstadt 98,2
Frederik Sørensen,Denmark,1. FC Köln,2
Ádám Szalai,Hungary,1899 Hoffenheim,2
Ibrahima Traoré,Guinea,Bor. Mönchengladbach,2
Paul Verhaegh,Netherlands,FC Augsburg,2
Kevin Vogt,Germany,1. FC Köln,2
Oscar Wendt,Sweden,Bor. Mönchengladbach,2
Timo Werner,Germany,VfB Stuttgart,2
Tobias Werner,Germany,FC Augsburg,2
 Xabi Alonso,Spain,Bayern München,2
René Adler,Germany,Hamburger SV,1
Miiko Albornoz,Chile,Hannover 96,1
Leon Andreasen,Denmark,Hannover 96,1
Dennis Aogo,Germany,FC Schalke 04,1
Charles Aránguiz,Chile,Bayer Leverkusen,1
Maximilian Arnold,Germany,VfL Wolfsburg,1
Philipp Bargfrede,Germany,Werder Bremen,1
Fin Bartels,Germany,Werder Bremen,1
Julian Baumgartlinger,Austria,1. FSV Mainz 05,1
Younès Belhanda,Morocco,FC Schalke 04,1
Änis Ben-Hatira,Tunisia,Eintracht Frankfurt,1
Charlison Benschop,Curaçao,Hannover 96,1
John Anthony Brooks,USA,Hertha BSC,1
 Bruno Henrique,Brazil,VfL Wolfsburg,1
Andreas Christensen,Denmark,Bor. Mönchengladbach,1
Max Christiansen,Germany,FC Ingolstadt 04,1
Franco Di Santo,Argentina,FC Schalke 04,1
Serey Dié,Ivory Coast,VfB Stuttgart,1
Giulio Donati,Italy,1. FSV Mainz 05,1
Jaroslav Drobný,Czech Republic,Hamburger SV,1
Erik Durm,Germany,Borussia Dortmund,1
Tarik Elyounoussi,Norway,1899 Hoffenheim,1
Mevlüt Erdinç,Turkey,Hannover 96,1
Alexander Esswein,Germany,FC Augsburg,1
Arianit Ferati,Germany,VfB Stuttgart,1
Markus Feulner,Germany,FC Augsburg,1
Alfreð Finnbogason,Iceland,FC Augsburg,1
Johannes Flum,Germany,Eintracht Frankfurt,1
Ulisses Garcia,Switzerland,Werder Bremen,1
Daniel Ginczek,Germany,VfB Stuttgart,1
Ceyhun Gülselam,Turkey,Hannover 96,1
André Hahn,Germany,Bor. Mönchengladbach,1
Philip Heise,Germany,VfB Stuttgart,1
Benjamin Henrichs,Germany,Bayer Leverkusen,1
Patrick Herrmann,Germany,Bor. Mönchengladbach,1
Roberto Hilbert,Germany,Bayer Leverkusen,1
 Javi Martínez,Spain,Bayern München,1
Dong-won Ji,South Korea,FC Augsburg,1
 Juan Bernat,Spain,Bayern München,1
Sebastian Jung,Germany,VfL Wolfsburg,1
Pavel Kadeřábek,Czech Republic,1899 Hoffenheim,1
Julian Korb,Germany,Bor. Mönchengladbach,1
Christoph Kramer,Germany,Bayer Leverkusen,1
Philipp Lahm,Germany,Bayern München,1
Sebastian Langkamp,Germany,Hertha BSC,1
Moritz Leitner,Germany,Borussia Dortmund,1
Stefan Lex,Germany,FC Ingolstadt 04,1
Dominic Maroh,Slovenia,1. FC Köln,1
Marvin Matip,Cameroon,FC Ingolstadt 04,1
Alexander Meier,Germany,Eintracht Frankfurt,1
Maximilian Mittelstädt,Germany,Hertha BSC,1
 Naldo,Brazil,VfL Wolfsburg,1
Roman Neustädter,Russia,FC Schalke 04,1
Georg Niedermeier,Germany,VfB Stuttgart,1
Håvard Nordtveit,Norway,Bor. Mönchengladbach,1
Philipp Ochs,Germany,1899 Hoffenheim,1
Paweł Olkowski,Poland,1. FC Köln,1
Karim Onisiwo,Austria,1. FSV Mainz 05,1
Peter Pekarík,Slovakia,Hertha BSC,1
Slobodan Rajković,Serbia,SV Darmstadt 98,1
Stefan Reinartz,Germany,Eintracht Frankfurt,1
Arjen Robben,Netherlands,Bayern München,1
Sebastian Rode,Germany,Bayern München,1
 Roger,Brazil,FC Ingolstadt 04,1
Artjoms Rudņevs,Latvia,Hamburger SV,1
Sebastian Rudy,Germany,1899 Hoffenheim,1
Gōtoku Sakai,Japan,Hamburger SV,1
Julian Schieber,Germany,Hertha BSC,1
Manuel Schmiedebach,Germany,Hannover 96,1
Marvin Schulz,Germany,Bor. Mönchengladbach,1
Daniel Schwaab,Germany,VfB Stuttgart,1
Pirmin Schwegler,Switzerland,1899 Hoffenheim,1
Per Skjelbred,Norway,Hertha BSC,1
Emir Spahić,Bosnia-Herzegovina,Hamburger SV,1
Marc Stendera,Germany,Eintracht Frankfurt,1
Tobias Strobl,Germany,1899 Hoffenheim,1
Dominik Stroh-Engel,Germany,SV Darmstadt 98,1
Niklas Süle,Germany,1899 Hoffenheim,1
Borys Tashchy,Ukraine,VfB Stuttgart,1
Christian Träsch,Germany,VfL Wolfsburg,1
Mark Uth,Germany,1899 Hoffenheim,1
Johannes van den Bergh,Germany,Hertha BSC,1
Mario Vrančić,Bosnia-Herzegovina,SV Darmstadt 98,1
Luca Waldschmidt,Germany,Eintracht Frankfurt,1
Granit Xhaka,Switzerland,Bor. Mönchengladbach,1
Sambou Yatabaré,Mali,Werder Bremen,1
Simon Zoller,Germany,1. FC Köln,1
