player,country,team,assists
Ivan Rakitić,Croatia,FC Barcelona,2
 Roberto Lago,Spain,Getafe CF,2
 Roque Mesa,Spain,UD Las Palmas,2
Giuseppe Rossi,Italy,Levante UD,2
 Rubén Pérez,Spain,Granada CF,2
 Saúl,Spain,Atlético Madrid,2
 Sergio Álvarez,Spain,Sporting Gijón,2
 Sergio Ramos,Spain,Real Madrid,2
Isaac Success,Nigeria,Granada CF,2
 Tiago,Portugal,Atlético Madrid,2
Ricky van Wolfswinkel,Netherlands,Real Betis,2
Juan Vargas,Peru,Real Betis,2
 Víctor,Spain,Getafe CF,2
 Víctor Álvarez,Spain,Espanyol Barcelona,2
 Víctor Casadesús,Spain,Levante UD,2
 Weligton,Brazil,Málaga CF,2
 Abraham,Spain,Espanyol Barcelona,1
 Adriano,Brazil,FC Barcelona,1
 Aleix Vidal,Spain,FC Barcelona,1
 Álex,Spain,Deportivo La Coruña,1
 Álex Menéndez,Spain,Sporting Gijón,1
 Álvaro González,Spain,Espanyol Barcelona,1
 Álvaro Negredo,Spain,Valencia CF,1
 Amaya,Spain,Rayo Vallecano,1
Nordin Amrabat,Morocco,Málaga CF,1
Juanpi Añor,Venezuela,Málaga CF,1
 Antonio Luna,Spain,SD Eibar,1
 Aythami Artiles,Spain,UD Las Palmas,1
Alhassane Bangoura,Guinea,Rayo Vallecano,1
 Bartra,Spain,FC Barcelona,1
Cristiano Biraghi,Italy,Granada CF,1
Théo Bongonda,Belgium,Celta Vigo,1
 Bruma,Portugal,Real Sociedad,1
 Bruno Soriano,Spain,Villarreal CF,1
 Cala,Spain,Getafe CF,1
 Camacho,Spain,Málaga CF,1
Denis Cheryshev,Russia,Real Madrid,1
 Coke,Spain,Sevilla FC,1
Sebastián Cristóforo,Uruguay,Sevilla FC,1
Mauricio Cuero,Colombia,Levante UD,1
Emmanuel Culio,Argentina,UD Las Palmas,1
 Curro,Spain,Sevilla FC,1
 Daniel Carriço,Portugal,Sevilla FC,1
 David García,Spain,UD Las Palmas,1
 De la Bella,Spain,Real Sociedad,1
 Deyverson,Brazil,Levante UD,1
Marcelo Díaz,Chile,Celta Vigo,1
Pape Diop,Senegal,Espanyol Barcelona,1
Jonathan dos Santos,Mexico,Villarreal CF,1
Mauro Dos Santos,Argentina,SD Eibar,1
Abdoulaye Doucouré,France,Granada CF,1
 Duarte,Spain,Espanyol Barcelona,1
 Duda,Portugal,Málaga CF,1
 Eraso,Spain,Athletic Bilbao,1
Gonzalo Escalante,Argentina,SD Eibar,1
 Escudero,Spain,Sevilla FC,1
 Etxeita,Spain,Athletic Bilbao,1
 Fabián Ruiz,Spain,Real Betis,1
Zouhair Feddal,Morocco,Levante UD,1
Sofiane Féghouli,Algeria,Valencia CF,1
Augusto Fernández,Argentina,Atlético Madrid,1
Yannick Ferreira-Carrasco,Belgium,Atlético Madrid,1
Dimitri Foulquier,France,Granada CF,1
 Fran Rico,Spain,Granada CF,1
 Fransisco Varela,Spain,Real Betis,1
Nabil Ghilas,Algeria,Levante UD,1
José Giménez,Uruguay,Atlético Madrid,1
Diego Godín,Uruguay,Atlético Madrid,1
 Guerrero,Spain,Sporting Gijón,1
Jonás Gutiérrez,Argentina,Deportivo La Coruña,1
 Héctor,Spain,Real Sociedad,1
 Illarra,Spain,Real Sociedad,1
 Iturraspe,Spain,Athletic Bilbao,1
 Iván Ramis,Spain,SD Eibar,1
 Jaume Costa,Spain,Villarreal CF,1
 Javi Garrido,Spain,UD Las Palmas,1
 Javi Márquez,Spain,Granada CF,1
 Juan Rodríguez,Spain,Getafe CF,1
 Juanfran,Spain,Levante UD,1
 Juanfran,Spain,Atlético Madrid,1
Carlos Kameni,Cameroon,Málaga CF,1
Aymeric Laporte,France,Athletic Bilbao,1
 Leo Baptistão,Brazil,Villarreal CF,1
 Manucho,Angola,Rayo Vallecano,1
 Martín Montoya,Spain,Real Betis,1
 Mascarell,Spain,Sporting Gijón,1
 Medrán,Spain,Getafe CF,1
 Miguel Cardoso,Portugal,Deportivo La Coruña,1
 Miguel Lopes,Portugal,Granada CF,1
 Mikel Oyarzabal,Spain,Real Sociedad,1
 Mikel Rico,Spain,Athletic Bilbao,1
 Molina,Spain,Real Betis,1
 Molinero,Spain,Real Betis,1
Charly Musonda,Belgium,Real Betis,1
Steven N'Zonzi,France,Sevilla FC,1
Matías Nahuel,Spain,Villarreal CF,1
Aras Özbiliz,Armenia,Rayo Vallecano,1
 Pablo Pérez,Spain,Sporting Gijón,1
Thomas Partey,Ghana,Atlético Madrid,1
 Pepe,Portugal,Real Madrid,1
Hernán Pérez,Paraguay,Espanyol Barcelona,1
 Petros,Brazil,Real Betis,1
Germán Pezzella,Argentina,Real Betis,1
 Piqué,Spain,FC Barcelona,1
 Quini,Spain,Rayo Vallecano,1
Nemanja Radoja,Serbia,Celta Vigo,1
Adil Rami,France,Sevilla FC,1
 Raúl Baena,Spain,Rayo Vallecano,1
 Reyes,Spain,Sevilla FC,1
Federico Ricca,Uruguay,Málaga CF,1
 Rober Ibáñez,Spain,Granada CF,1
 Samu Castillejo,Spain,Villarreal CF,1
 Samuel,Spain,Villarreal CF,1
Antonio Sanabria,Paraguay,Sporting Gijón,1
 Sandro,Spain,FC Barcelona,1
Roque Santa Cruz,Paraguay,Málaga CF,1
 Santi Mina,Spain,Valencia CF,1
Stefan Šćepović,Serbia,Getafe CF,1
 Señé,Spain,Celta Vigo,1
 Sergi Gómez,Spain,Celta Vigo,1
 Toño García,Spain,Levante UD,1
 Trigueros,Spain,Villarreal CF,1
Emiliano Velázquez,Uruguay,Getafe CF,1
 Verdú,Spain,Levante UD,1
 Vicente Gómez,Spain,UD Las Palmas,1
 Willian José,Brazil,UD Las Palmas,1
