player,country,team,goal,penalty
Emil Forsberg,Sweden,RB Leipzig,2,1
Dennis Geiger,Germany,1899 Hoffenheim,2,0
Christian Gentner,Germany,VfB Stuttgart,2,0
Mario Götze,Germany,Borussia Dortmund,2,0
Marcel Halstenberg,Germany,RB Leipzig,2,0
Jonas Hector,Germany,1. FC Köln,2,0
Gerrit Holtmann,Germany,1. FSV Mainz 05,2,0
Miloš Jojić,Serbia,1. FC Köln,2,0
Zlatko Junuzović,Austria,Werder Bremen,2,0
Pavel Kadeřábek,Czech Republic,1899 Hoffenheim,2,0
Tim Kleindienst,Germany,SC Freiburg,2,0
Robin Koch,Germany,SC Freiburg,2,0
Ja-cheol Koo,South Korea,FC Augsburg,2,0
Danny Latza,Germany,1. FSV Mainz 05,2,0
Valentino Lazaro,Austria,Hertha BSC,2,0
Philipp Max,Germany,FC Augsburg,2,0
Alexandru Maxim,Romania,1. FSV Mainz 05,2,0
Niklas Moisander,Finland,Werder Bremen,2,0
Florian Niederlechner,Germany,SC Freiburg,2,0
Sokratis Papastathopoulos,Greece,Borussia Dortmund,2,0
Marko Pjaca,Croatia,FC Schalke 04,2,0
Karim Rekik,Netherlands,Hertha BSC,2,0
Nuri Şahin,Turkey,Borussia Dortmund,2,0
Suat Serdar,Germany,1. FSV Mainz 05,2,0
Frederik Sørensen,Denmark,1. FC Köln,2,0
Niklas Süle,Germany,Bayern München,2,0
 Thiago,Spain,Bayern München,2,0
Erik Thommy,Germany,FC Augsburg,2,0
Paul Verhaegh,Netherlands,VfL Wolfsburg,2,1
 Wendell,Brazil,Bayer Leverkusen,2,2
Bobby Wood,USA,Hamburger SV,2,1
Denis Zakaria,Switzerland,Bor. Mönchengladbach,2,0
Simon Zoller,Germany,1. FC Köln,2,0
Waldemar Anton,Germany,Hannover 96,1,0
Charles Aránguiz,Chile,Bayer Leverkusen,1,0
Takuma Asano,Japan,VfB Stuttgart,1,0
Ludwig Augustinsson,Sweden,Werder Bremen,1,0
Philipp Bargfrede,Germany,Werder Bremen,1,0
Julian Baumgartlinger,Austria,Bayer Leverkusen,1,0
Andreas Beck,Germany,VfB Stuttgart,1,0
Stefan Bell,Germany,1. FSV Mainz 05,1,0
Karim Bellarabi,Germany,Bayer Leverkusen,1,0
Charlison Benschop,Curaçao,Hannover 96,1,0
 Bernardo,Brazil,RB Leipzig,1,0
Danny Blum,Germany,Eintracht Frankfurt,1,0
Jakub Błaszczykowski,Poland,VfL Wolfsburg,1,0
Jérôme Boateng,Germany,Bayern München,1,0
Daniel Brosinski,Germany,1. FSV Mainz 05,1,1
Christian Clemens,Germany,1. FC Köln,1,0
Danny da Costa,Germany,Eintracht Frankfurt,1,0
Niklas Dorsch,Germany,Bayern München,1,0
 Douglas Santos,Brazil,Hamburger SV,1,0
Ondrej Duda,Slovakia,Hertha BSC,1,0
Marco Fabián,Mexico,Eintracht Frankfurt,1,0
Simon Falette,French Guyana,Eintracht Frankfurt,1,0
Iver Fossum,Norway,Hannover 96,1,0
Fabian Frei,Switzerland,1. FSV Mainz 05,1,0
Mijat Gaćinović,Serbia,Eintracht Frankfurt,1,0
Jean-Philippe Gbamin,Ivory Coast,1. FSV Mainz 05,1,0
Yannick Gerhardt,Germany,VfL Wolfsburg,1,0
Jérôme Gondorf,Germany,Werder Bremen,1,0
Florian Grillitsch,Austria,1899 Hoffenheim,1,0
Manuel Gulde,Germany,SC Freiburg,1,0
Christian Günter,Germany,SC Freiburg,1,0
Alexander Hack,Germany,1. FSV Mainz 05,1,0
Robin Hack,Germany,1899 Hoffenheim,1,0
Dominique Heintz,Germany,1. FC Köln,1,0
Nicolas Höfler,Germany,SC Freiburg,1,0
Lucas Höler,Germany,SC Freiburg,1,0
Mats Hummels,Germany,Bayern München,1,0
 Javi Martínez,Spain,Bayern München,1,0
Aron Jóhannsson,USA,Werder Bremen,1,0
Fabian Johnson,USA,Bor. Mönchengladbach,1,0
 Jorge Meré,Spain,1. FC Köln,1,0
Gideon Jung,Germany,Hamburger SV,1,0
Gojko Kačar,Serbia,FC Augsburg,1,0
Kevin Kampl,Slovenia,Bayer Leverkusen,1,0
Bartosz Kapustka,Poland,SC Freiburg,1,0
Kenan Karaman,Turkey,Hannover 96,1,0
Florian Kath,Germany,SC Freiburg,1,0
Rani Khedira,Germany,FC Augsburg,1,0
Joshua Kimmich,Germany,Bayern München,1,0
Lukas Klostermann,Germany,RB Leipzig,1,0
Lukas Klünter,Germany,1. FC Köln,1,0
Robin Knoche,Germany,VfL Wolfsburg,1,0
Dominik Kohr,Germany,Bayer Leverkusen,1,0
Julian Korb,Germany,Hannover 96,1,0
Vincent Koziello,France,1. FC Köln,1,0
 Mascarell,Spain,Eintracht Frankfurt,1,0
Alexander Meier,Germany,Eintracht Frankfurt,1,0
Nicolai Müller,Germany,Hamburger SV,1,0
Berkay Özcan,Turkey,VfB Stuttgart,1,0
Kyriakos Papadopoulos,Greece,Hamburger SV,1,0
Benjamin Pavard,France,VfB Stuttgart,1,0
Claudio Pizarro,Peru,1. FC Köln,1,0
Joel Pohjanpalo,Finland,Bayer Leverkusen,1,0
 Rafinha,Brazil,Bayern München,1,0
 Raphaël Guerreiro,Portugal,Borussia Dortmund,1,0
Milot Rashica,Kosovo,Werder Bremen,1,0
Panagiotis Retsos,Greece,Bayer Leverkusen,1,0
Marco Richter,Germany,FC Augsburg,1,0
Marcel Risse,Germany,1. FC Köln,1,0
Sebastian Rudy,Germany,Bayern München,1,0
Marco Russ,Germany,Eintracht Frankfurt,1,0
Sejad Salihović,Bosnia-Herzegovina,Hamburger SV,1,1
