player,country,team,goal,penalty
Grégory Bourillon,France,FC Lorient,2,0
John Boye,Ghana,Stade Rennes,2,0
Daniel Braaten,Norway,Toulouse FC,2,0
Jérémie Bréchet,France,ESTAC Troyes,2,0
Johan Cavalli,France,AC Ajaccio,2,0
Kamel Chafni,Morocco,Stade Brest,2,0
Benoît Cheyrou,France,Olympique Marseille,2,0
Fousseni Diawara,Mali,AC Ajaccio,2,0
Étienne Didot,France,Toulouse FC,2,0
Didier Digard,France,OGC Nice,2,0
Lucas Digne,France,Lille OSC,2,1
Thierry Doubaï,Ivory Coast,FC Sochaux,2,0
Rod Fanni,France,Olympique Marseille,2,0
Ricardo Faty,Senegal,AC Ajaccio,2,0
Nicolas Fauvergue,France,Stade Reims,2,0
Gueïda Fofana,France,Olympique Lyon,2,0
Romain Grange,France,AS Nancy,2,0
Lossémy Karaboué,Ivory Coast,AS Nancy,2,0
Wesley Lautoa,France,FC Lorient,2,0
Benoît Lesoimier,France,Stade Brest,2,0
Jordan Lotiès,France,AS Nancy,2,0
Jean Makoun,Cameroon,Stade Rennes,2,0
Steed Malbranque,France,Olympique Lyon,2,1
Aïssa Mandi,Algeria,Stade Reims,2,0
 Maxwell,Brazil,Paris Saint-Germain,2,0
Maor Melikson,Israel,Valenciennes FC,2,0
Ryan Mendes,Cape Verde,Lille OSC,2,0
Camel Meriem,France,OGC Nice,2,0
Mehdi Mostefa,Algeria,AC Ajaccio,2,0
Anthony Mounier,France,Montpellier HSC,2,0
Arnold Mvuemba,France,FC Lorient,2,1
Vincent Nogueira,France,FC Sochaux,2,0
Mounir Obbadi,Morocco,ESTAC Troyes,2,0
Benoît Pedretti,France,Lille OSC,2,0
Loïc Perrin,France,AS Saint-Étienne,2,0
Jaroslav Plašil,Czech Republic,Girondins Bordeaux,2,1
Loïc Poujol,France,FC Sochaux,2,0
Mohammed Rabiu,Ghana,Évian Thonon Gaillard,2,0
José Saez,France,Valenciennes FC,2,0
Mamadou Sakho,France,Paris Saint-Germain,2,0
Carlos Sánchez,Colombia,Valenciennes FC,2,0
Larsen Touré,Guinea,Stade Brest,2,0
Daniel Wass,Denmark,Évian Thonon Gaillard,2,0
Kurt Zouma,France,AS Saint-Étienne,2,0
Aymen Abdennour,Tunisia,Toulouse FC,1,0
Fabrice Abriel,France,OGC Nice,1,0
Ali Ahamada,France,Toulouse FC,1,0
Jean-Daniel Akpa-Akpro,Ivory Coast,Toulouse FC,1,0
Morgan Amalfitano,France,Olympique Marseille,1,0
Aldo Angoula,France,Évian Thonon Gaillard,1,0
Kévin Anin,France,OGC Nice,1,0
Serge Aurier,Ivory Coast,Toulouse FC,1,0
David Bellion,France,Girondins Bordeaux,1,0
 Betão,Brazil,Évian Thonon Gaillard,1,0
André Biyogo Poko,Gabon,Girondins Bordeaux,1,0
Jimmy Briand,France,Olympique Lyon,1,0
Luigi Bruins,Netherlands,OGC Nice,1,0
Edouard Butin,France,FC Sochaux,1,0
Clément Chantôme,France,Paris Saint-Germain,1,0
François Clerc,France,AS Saint-Étienne,1,0
Daniel Congré,France,Montpellier HSC,1,0
Sébastien Corchia,France,FC Sochaux,1,0
Romain Danzé,France,Stade Rennes,1,0
Nicolas de Préville,France,Stade Reims,1,0
Andy Delort,France,AC Ajaccio,1,1
Geoffrey Dernis,France,Stade Brest,1,0
Zouheir Dhaouadi,Tunisia,Évian Thonon Gaillard,1,0
Cheick Diarra,Mali,Stade Rennes,1,0
Sigamary Diarra,Mali,AC Ajaccio,1,0
Souleymane Diawara,Senegal,Olympique Marseille,1,0
Brice Dja Djedjé,Ivory Coast,Évian Thonon Gaillard,1,0
Abdoulaye Doucouré,France,Stade Rennes,1,0
Fabrice Ehret,France,Évian Thonon Gaillard,1,0
Mohamed Fofana,Mali,Stade Reims,1,0
Rachid Ghezzal,Algeria,Olympique Lyon,1,0
 Gil,Brazil,Valenciennes FC,1,0
