Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Juventus,38,23,15,0,68,20,48,84,470,67,4,725,262
2,Milan,38,24,8,6,74,33,41,80,534,75,4,589,219
3,Udinese,38,18,10,10,52,35,17,64,580,81,3,525,174
4,Lazio,38,18,8,12,56,47,9,62,613,76,9,500,178
5,Napoli,38,16,13,9,66,46,20,61,473,79,5,521,180
6,Inter,38,17,7,14,58,55,3,58,483,61,4,603,191
7,Roma,38,16,8,14,60,54,6,56,487,77,10,623,204
8,Parma,38,15,11,12,54,53,1,56,617,79,2,515,148
9,Atalanta,38,13,13,12,41,43,-2,52,592,96,4,413,142
10,Bologna,38,13,12,13,41,43,-2,51,638,96,3,444,155
11,Chievo,38,12,13,13,35,45,-10,49,652,82,1,430,136
12,Catania,38,11,15,12,47,52,-5,48,587,74,6,548,176
13,Fiorentina,38,11,13,14,37,43,-6,46,597,91,3,496,151
14,Siena,38,11,11,16,45,45,0,44,617,94,2,386,135
15,Cagliari,38,10,13,15,37,46,-9,43,613,78,2,475,142
16,Palermo,38,11,10,17,52,62,-10,43,592,84,6,498,179
17,Genoa,38,11,9,18,50,69,-19,42,585,87,11,440,163
18,Lecce,38,8,12,18,40,56,-16,36,629,104,9,429,137
19,Novara,38,7,11,20,35,65,-30,32,599,76,6,467,142
20,Cesena,38,4,10,24,24,60,-36,22,622,92,10,452,128
