Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Dortmund,34,25,6,3,80,25,55,81,450,33,2,550,213
2,Bayern Munich,34,23,4,7,77,22,55,73,472,42,3,530,212
3,Schalke 04,34,20,4,10,74,44,30,64,553,63,2,461,186
4,M'gladbach,34,17,9,8,49,24,25,60,428,49,1,439,168
5,Leverkusen,34,15,9,10,52,44,8,54,495,45,4,432,183
6,Stuttgart,34,15,8,11,63,46,17,53,545,62,4,468,196
7,Hannover,34,12,12,10,41,45,-4,48,551,64,4,408,135
8,Wolfsburg,34,13,5,16,47,60,-13,44,675,64,4,412,164
9,Werder Bremen,34,11,9,14,49,58,-9,42,548,65,5,504,159
10,Nurnberg,34,12,6,16,38,49,-11,42,585,72,2,418,139
11,Hoffenheim,34,10,11,13,41,47,-6,41,644,70,3,452,146
12,Freiburg,34,10,10,14,45,61,-16,40,577,57,1,405,145
13,Mainz,34,9,12,13,47,51,-4,39,584,49,2,421,148
14,Augsburg,34,8,14,12,36,49,-13,38,580,69,2,387,137
15,Hamburg,34,8,12,14,35,57,-22,36,589,64,2,438,160
16,Hertha,34,7,10,17,38,64,-26,31,519,64,8,371,129
17,FC Koln,34,8,6,20,39,75,-36,30,528,67,6,299,108
18,Kaiserslautern,34,4,11,19,24,54,-30,23,601,69,4,415,139
