Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Bayern Munich,34,28,4,2,80,17,63,88,380,44,1,607,257
2,Dortmund,34,24,6,4,82,34,48,78,391,39,0,529,212
3,Leverkusen,34,18,6,10,56,40,16,60,525,65,4,485,185
4,M'gladbach,34,17,4,13,67,50,17,55,461,45,3,454,191
5,Schalke 04,34,15,7,12,51,49,2,52,506,64,1,487,163
6,Mainz,34,14,8,12,46,42,4,50,528,53,1,383,150
7,Hertha,34,14,8,12,42,42,0,50,481,66,3,331,128
8,Wolfsburg,34,12,9,13,47,49,-2,45,457,55,3,489,194
9,FC Koln,34,10,13,11,38,42,-4,43,436,55,2,416,164
10,Hamburg,34,11,8,15,40,46,-6,41,576,73,3,373,136
11,Ingolstadt,34,10,10,14,33,42,-9,40,526,79,2,422,128
12,Augsburg,34,9,11,14,42,52,-10,38,532,81,2,444,150
13,Werder Bremen,34,10,8,16,50,65,-15,38,520,77,2,453,151
14,Darmstadt,34,9,11,14,38,53,-15,38,557,86,1,346,116
15,Hoffenheim,34,9,10,15,39,54,-15,37,469,56,3,379,134
16,Ein Frankfurt,34,9,9,16,34,52,-18,36,517,93,3,368,136
17,Stuttgart,34,9,6,19,50,75,-25,33,506,64,5,498,188
18,Hannover,34,7,4,23,31,62,-31,25,520,66,0,380,126
