Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Monaco,38,30,5,3,107,31,76,95,467,51,3,553,243
2,Paris SG,38,27,6,5,83,27,56,87,403,50,3,583,222
3,Nice,38,22,12,4,63,36,27,78,426,57,4,433,170
4,Lyon,38,21,4,13,80,48,32,67,501,61,5,570,207
5,Marseille,38,17,11,10,57,41,16,62,499,68,1,464,162
6,Bordeaux,38,15,14,9,53,43,10,59,442,64,5,451,155
7,Nantes,38,14,9,15,40,54,-14,51,530,76,3,456,139
8,St Etienne,38,12,14,12,41,42,-1,50,483,52,7,401,127
9,Rennes,38,12,14,12,36,42,-6,50,462,56,4,436,147
10,Guingamp,38,14,8,16,46,53,-7,50,495,57,4,443,165
11,Lille,38,13,7,18,40,47,-7,46,537,59,6,483,152
12,Angers,38,13,7,18,40,49,-9,46,435,58,5,527,178
13,Toulouse,38,10,14,14,37,41,-4,44,564,87,4,380,131
14,Metz,38,11,10,17,39,72,-33,43,514,71,7,357,117
15,Montpellier,38,10,9,19,48,66,-18,39,400,45,5,503,158
16,Dijon,38,8,13,17,46,58,-12,37,494,68,6,426,156
17,Caen,38,10,7,21,36,65,-29,37,438,59,2,459,138
18,Lorient,38,10,6,22,44,70,-26,36,445,67,5,428,146
19,Nancy,38,9,8,21,29,52,-23,35,497,76,5,373,107
20,Bastia,38,8,10,20,29,57,-28,34,457,69,14,383,118
