Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Man City,38,27,5,6,102,37,65,86,394,72,1,673,238
2,Liverpool,38,26,6,6,101,50,51,84,410,54,1,650,259
3,Chelsea,38,25,7,6,71,27,44,82,420,56,3,693,228
4,Arsenal,38,24,7,7,68,41,27,79,348,53,4,524,210
5,Everton,38,21,9,8,61,39,22,72,365,54,1,560,195
6,Tottenham,38,21,6,11,55,51,4,69,403,66,4,584,189
7,Man United,38,19,7,12,64,43,21,64,399,66,3,525,181
8,Southampton,38,15,11,12,54,46,8,56,443,60,0,531,177
9,Stoke,38,13,11,14,45,52,-7,50,485,72,5,425,139
10,Newcastle,38,15,4,19,43,59,-16,49,412,52,6,579,184
11,Crystal Palace,38,13,6,19,33,48,-15,45,404,57,2,414,143
12,Swansea,38,11,9,18,54,54,0,42,373,55,3,494,163
13,West Ham,38,11,7,20,40,51,-11,40,402,61,5,418,119
14,Sunderland,38,10,8,20,41,60,-19,38,444,68,7,490,137
15,Aston Villa,38,10,8,20,39,61,-22,38,484,78,0,430,134
16,Hull,38,10,7,21,38,53,-15,37,421,53,4,425,129
17,West Brom,38,7,15,16,43,59,-16,36,426,67,0,485,145
18,Norwich,38,8,9,21,28,62,-34,33,424,62,2,464,146
19,Fulham,38,9,5,24,40,85,-45,32,383,57,1,431,149
20,Cardiff,38,7,9,22,32,74,-42,30,342,49,1,419,126
