player,country,team,goal,penalty
 Fernandinho,Brazil,Manchester City,2,0
Darren Fletcher,Scotland,West Bromwich Albion,2,0
Christian Fuchs,Austria,Leicester City,2,0
Dan Gosling,England,AFC Bournemouth,2,0
Jeff Hendrick,Ireland,Burnley FC,2,0
José Holebas,Greece,Watford FC,2,0
Robert Huth,Germany,Leicester City,2,0
Daryl Janmaat,Netherlands,Watford FC,2,0
Vincent Janssen,Netherlands,Tottenham Hotspur,2,1
Christian Kabasele,Belgium,Watford FC,2,0
Younès Kaboul,France,Sunderland AFC,2,0
Michael Keane,England,Burnley FC,2,0
Laurent Koscielny,France,Arsenal FC,2,0
Dejan Lovren,Croatia,Liverpool FC,2,0
Harry Maguire,England,Hull City,2,0
Lazar Marković,Serbia,Hull City,2,0
Luka Milivojević,Serbia,Crystal Palace,2,2
Ahmed Musa,Nigeria,Leicester City,2,0
Shkodran Mustafi,Germany,Arsenal FC,2,0
Wilfred Ndidi,Nigeria,Leicester City,2,0
M'Baye Niang,Senegal,Watford FC,2,0
Martin Olsson,Sweden,Swansea City,2,0
Alex Oxlade-Chamberlain,England,Arsenal FC,2,0
Dimitri Payet,France,West Ham United,2,0
Roberto Pereyra,Argentina,Watford FC,2,0
Marc Pugh,England,AFC Bournemouth,2,0
Gastón Ramírez,Uruguay,Middlesbrough FC,2,0
Andrea Ranocchia,Italy,Hull City,2,0
Winston Reid,New Zealand,West Ham United,2,0
Danny Rose,England,Tottenham Hotspur,2,0
 Santi Cazorla,Spain,Arsenal FC,2,2
Danny Welbeck,England,Arsenal FC,2,0
Connor Wickham,England,Crystal Palace,2,0
Granit Xhaka,Switzerland,Arsenal FC,2,0
Charlie Adam,Scotland,Stoke City,1,1
Toby Alderweireld,Belgium,Tottenham Hotspur,1,0
Daniel Amartey,Ghana,Leicester City,1,0
 Ander Herrera,Spain,Manchester United,1,0
 Àngel Rangel,Spain,Swansea City,1,0
Scott Arfield,Canada,Burnley FC,1,0
Harry Arter,Ireland,AFC Bournemouth,1,0
Jordan Ayew,Ghana,Swansea City,1,0
 Azpilicueta,Spain,Chelsea FC,1,0
Patrick Bamford,England,Burnley FC,1,0
Joey Barton,England,Burnley FC,1,0
Daley Blind,Netherlands,Manchester United,1,0
Yannick Bolasie,Congo DR,Crystal Palace,1,0
 Borja Bastón,Spain,Swansea City,1,0
Sofiane Boufal,Morocco,Southampton FC,1,0
Robbie Brady,Ireland,Burnley FC,1,0
Miguel Britos,Uruguay,Watford FC,1,0
Jonathan Calleri,Argentina,West Ham United,1,0
Dominic Calvert-Lewin,England,Everton FC,1,0
Fraizer Campbell,England,Crystal Palace,1,0
Tom Carroll,England,Swansea City,1,0
Ben Chilwell,England,Leicester City,1,0
Jordy Clasie,Netherlands,Southampton FC,1,0
Gaël Clichy,France,Manchester City,1,0
 Daniel Ayala,Spain,Middlesbrough FC,1,0
 David Luiz,Brazil,Chelsea FC,1,0
Ben Davies,Wales,Tottenham Hotspur,1,0
Steven Defour,Belgium,Burnley FC,1,0
Fabian Delph,England,Manchester City,1,0
Mousa Dembélé,Belgium,Tottenham Hotspur,1,0
Mame Diouf,Senegal,Stoke City,1,0
Abdoulaye Doucouré,France,Watford FC,1,0
Stewart Downing,England,Middlesbrough FC,1,0
Danny Drinkwater,England,Leicester City,1,0
Marouane Fellaini,Belgium,Manchester United,1,0
Rudy Gestede,Benin,Middlesbrough FC,1,0
Ben Gibson,England,Middlesbrough FC,1,0
Demarai Gray,England,Leicester City,1,0
Jóhann Guðmundsson,Iceland,Burnley FC,1,0
Idrissa Gueye,Senegal,Everton FC,1,0
Josh Harrop,England,Manchester United,1,0
 Héctor Bellerín,Spain,Arsenal FC,1,0
