player,country,team,assists
 Adriano,Brazil,FC Barcelona,1
 Agirretxe,Spain,Real Sociedad,1
 Aketxe,Spain,Athletic Bilbao,1
 Álex,Spain,Deportivo La Coruña,1
 Alexis,Spain,Getafe CF,1
 André Gomes,Portugal,Valencia CF,1
 Ángel,Spain,SD Eibar,1
 Arbilla,Spain,Espanyol Barcelona,1
Ramon Azeez,Nigeria,UD Almería,1
 Balenziaga,Spain,Athletic Bilbao,1
Alhassane Bangoura,Guinea,Granada CF,1
 Bebé,Portugal,Córdoba CF,1
Thievy Bifouma,Congo,UD Almería,1
Arthur Boka,Ivory Coast,Málaga CF,1
Théo Bongonda,Belgium,Celta Vigo,1
Celso Borges,Costa Rica,Deportivo La Coruña,1
 Bruno Soriano,Spain,Villarreal CF,1
 Camarasa,Spain,Levante UD,1
 Candeias,Portugal,Granada CF,1
 Capa,Spain,SD Eibar,1
 Carles Gil,Spain,Valencia CF,1
 Carles Planas,Spain,Celta Vigo,1
 Casado,Spain,Málaga CF,1
 Cisma,Spain,Elche CF,1
 Coro,Spain,Elche CF,1
Babá Diawara,Senegal,Getafe CF,1
Pape Diop,Senegal,Levante UD,1
Jonathan dos Santos,Mexico,Villarreal CF,1
Sebastián Dubarbier,Argentina,UD Almería,1
 Duda,Portugal,Málaga CF,1
 Édgar,Spain,UD Almería,1
 Edimar,Brazil,Córdoba CF,1
Patrick Ekeng,Cameroon,Córdoba CF,1
 Fernando Torres,Spain,Atlético Madrid,1
 Fidel,Spain,Córdoba CF,1
Alfreð Finnbogason,Iceland,Real Sociedad,1
 Fran Rico,Spain,Granada CF,1
 Fran Vélez,Spain,UD Almería,1
 Granero,Spain,Real Sociedad,1
Antoine Griezmann,France,Atlético Madrid,1
Pablo Hernández,Chile,Celta Vigo,1
 Iago Aspas,Spain,Sevilla FC,1
 Iborra,Spain,Sevilla FC,1
 Iniesta,Spain,FC Barcelona,1
Emanuel Insúa,Argentina,Granada CF,1
 Iraola,Spain,Athletic Bilbao,1
Manuel Iturra,Chile,Granada CF,1
 Javi Fuego,Spain,Valencia CF,1
 Javi López,Spain,Espanyol Barcelona,1
 Jonny,Spain,Celta Vigo,1
 José Rodríguez,Spain,Deportivo La Coruña,1
 Jozabed,Spain,Rayo Vallecano,1
 Juanfran,Spain,Deportivo La Coruña,1
 Juankar,Spain,Granada CF,1
Nikos Karabelas,Greece,Levante UD,1
Grzegorz Krychowiak,Poland,Sevilla FC,1
 Lafita,Spain,Getafe CF,1
Aymeric Laporte,France,Athletic Bilbao,1
 Leo Baptistão,Brazil,Rayo Vallecano,1
 Luis Alberto,Spain,Málaga CF,1
 Luisinho,Portugal,Deportivo La Coruña,1
 Luso,Spain,Córdoba CF,1
 Manu del Moral,Spain,SD Eibar,1
 Manucho,Angola,Rayo Vallecano,1
 Miguel Torres,Spain,Málaga CF,1
 Miranda,Brazil,Atlético Madrid,1
 Mosquera,Spain,Elche CF,1
 Muniain,Spain,Athletic Bilbao,1
 Munir,Spain,FC Barcelona,1
 Nacho,Spain,Rayo Vallecano,1
Lucas Orbán,Argentina,Valencia CF,1
 Oriol Riera,Spain,Deportivo La Coruña,1
 Ortuño,Spain,Granada CF,1
 Paco Montañés,Spain,Espanyol Barcelona,1
Nicolás Pareja,Argentina,Sevilla FC,1
Enzo Pérez,Argentina,Valencia CF,1
 Piqué,Spain,FC Barcelona,1
 Rafinha,Brazil,FC Barcelona,1
 Ricardo Horta,Portugal,Málaga CF,1
 Rober Ibáñez,Spain,Granada CF,1
 Roberto Lago,Spain,Getafe CF,1
Enzo Roco,Chile,Elche CF,1
Garry Rodrigues,Cape Verde,Elche CF,1
Fausto Rossi,Italy,Córdoba CF,1
 Rubén Rochina,Spain,Granada CF,1
 Samuel,Spain,Málaga CF,1
Roque Santa Cruz,Paraguay,Málaga CF,1
 Santi Mina,Spain,Celta Vigo,1
 Sergio Ramos,Spain,Real Madrid,1
 Siqueira,Brazil,Atlético Madrid,1
 Soriano,Spain,UD Almería,1
Damián Suárez,Uruguay,Elche CF,1
Isaac Success,Nigeria,Granada CF,1
 Toché,Spain,Deportivo La Coruña,1
 Trigueros,Spain,Villarreal CF,1
 Trujillo,Spain,UD Almería,1
Ikechukwu Uche,Nigeria,Villarreal CF,1
Emiliano Velázquez,Uruguay,Getafe CF,1
 Weligton,Brazil,Málaga CF,1
 Williams,Spain,Athletic Bilbao,1
 Xumetra,Spain,Levante UD,1
Abdoul Yoda,France,Getafe CF,1
 Yuri,Spain,Real Sociedad,1
Jonathan Zongo,Burkina Faso,UD Almería,1
