player,country,team,assists
Lionel Messi,Argentina,FC Barcelona,21
Mesut Özil,Germany,Real Madrid,18
 Dani Alves,Brazil,FC Barcelona,13
 Xabi Prieto,Spain,Real Sociedad,13
 Cristiano Ronaldo,Portugal,Real Madrid,12
 Mata,Spain,Valencia CF,12
Ángel Di María,Argentina,Real Madrid,11
 Borja Valero,Spain,Villarreal CF,9
 Santi Cazorla,Spain,Villarreal CF,9
 David Villa,Spain,FC Barcelona,8
 José Callejón,Spain,Espanyol Barcelona,8
 Pedro,Spain,FC Barcelona,8
 Valdo,Cape Verde,Levante UD,8
Karim Benzema,France,Real Madrid,7
 Duda,Portugal,Málaga CF,7
 Eliseu,Portugal,Málaga CF,7
 Gavilán,Spain,Getafe CF,7
 Iraola,Spain,Athletic Bilbao,7
 Joaquín,Spain,Valencia CF,7
 Luis García,Spain,Espanyol Barcelona,7
Diego Perotti,Argentina,Sevilla FC,7
Giuseppe Rossi,Italy,Villarreal CF,7
 Verdú,Spain,Espanyol Barcelona,7
 Xavi,Spain,FC Barcelona,7
 Álvaro Negredo,Spain,Sevilla FC,6
Gonzalo Castro,Uruguay,RCD Mallorca,6
 Crusat,Spain,UD Almería,6
 David López,Spain,Athletic Bilbao,6
Diego Forlán,Uruguay,Atlético Madrid,6
Gonzalo Higuaín,Argentina,Real Madrid,6
 Juanlu,Spain,Levante UD,6
 Kiko Femenía,Spain,Hércules CF,6
 Llorente,Spain,Real Sociedad,6
 Pablo Hernández,Spain,Valencia CF,6
 Reyes,Spain,Atlético Madrid,6
 Xabi Alonso,Spain,Real Madrid,6
 Apoño,Spain,Málaga CF,5
Hernán Bernardello,Argentina,UD Almería,5
 Camuñas,Spain,CA Osasuna,5
 Gabi,Spain,Real Zaragoza,5
 Jesús Navas,Spain,Sevilla FC,5
 Juanfran,Spain,Atlético Madrid,5
 Kaká,Brazil,Real Madrid,5
Mickaël Pereira,France,RCD Mallorca,5
Masoud Shojaei,Iran,CA Osasuna,5
 Simão,Portugal,Atlético Madrid,5
Pierre Webó,Cameroon,RCD Mallorca,5
Kun Agüero,Argentina,Atlético Madrid,4
 Bruno Soriano,Spain,Villarreal CF,4
Diego Colotto,Argentina,Deportivo La Coruña,4
Jonathan de Guzmán,Netherlands,RCD Mallorca,4
Sebastián Fernández,Uruguay,Málaga CF,4
 Gabilondo,Spain,Athletic Bilbao,4
 Iniesta,Spain,FC Barcelona,4
 Lora,Spain,Sporting Gijón,4
 Manu del Moral,Spain,Getafe CF,4
 Marcelo,Brazil,Real Madrid,4
 Munitis,Spain,Racing Santander,4
Pablo Osvaldo,Italy,Espanyol Barcelona,4
 Parejo,Spain,Getafe CF,4
Pablo Piatti,Argentina,UD Almería,4
 Puñal,Spain,CA Osasuna,4
 Romaric,Ivory Coast,Sevilla FC,4
 Soriano,Spain,CA Osasuna,4
Ikechukwu Uche,Nigeria,Real Zaragoza,4
 Arana,Spain,Racing Santander,3
 Aranda,Spain,CA Osasuna,3
Kennedy Bakırcıoğlu,Sweden,Racing Santander,3
Éver Banega,Argentina,Valencia CF,3
 Braulio,Spain,Real Zaragoza,3
 Busquets,Spain,FC Barcelona,3
Martín Cáceres,Uruguay,Sevilla FC,3
 De las Cuevas,Spain,Sporting Gijón,3
 Diego Costa,Spain,Atlético Madrid,3
 Jesús Gámez,Spain,Málaga CF,3
 Jonas,Brazil,Valencia CF,3
Mehdi Lacen,Algeria,Racing Santander,3
 Llorente,Spain,Athletic Bilbao,3
 Mario Suárez,Spain,Atlético Madrid,3
 Martí,Spain,RCD Mallorca,3
Jérémy Mathieu,France,Valencia CF,3
 Miku,Venezuela,Getafe CF,3
 Nilmar,Brazil,Villarreal CF,3
 Pedro Ríos,Spain,Getafe CF,3
 Raúl García,Spain,Atlético Madrid,3
 Ricardo Costa,Portugal,Valencia CF,3
 Sendoa,Spain,Hércules CF,3
 Soldado,Spain,Valencia CF,3
 Susaeta,Spain,Athletic Bilbao,3
 Tiago Gomes,Portugal,Hércules CF,3
 Toquero,Spain,Athletic Bilbao,3
 Tote,Spain,Hércules CF,3
Kalu Uche,Nigeria,UD Almería,3
Nelson Valdez,Paraguay,Hércules CF,3
 Víctor Sánchez,Spain,Getafe CF,3
Lautaro Acosta,Argentina,Sevilla FC,2
 Adrián,Spain,Deportivo La Coruña,2
 Aduriz,Spain,Valencia CF,2
 Alberto Rivera,Spain,Sporting Gijón,2
 Álvaro Cejudo,Spain,CA Osasuna,2
 Ander Herrera,Spain,Real Zaragoza,2
 Ángel López,Spain,Villarreal CF,2
 Antonio López,Spain,Atlético Madrid,2
 Aranburu,Spain,Real Sociedad,2
 Arizmendi,Spain,Getafe CF,2
Derek Boateng,Ghana,Getafe CF,2
 Bojan,Spain,FC Barcelona,2
Felipe Caicedo,Ecuador,Levante UD,2
 Calleja,Spain,CA Osasuna,2
 Canella,Spain,Sporting Gijón,2
 Cani,Spain,Villarreal CF,2
 Carlos Martínez,Spain,Real Sociedad,2
 Carmelo,Spain,Sporting Gijón,2
 Casquero,Spain,Getafe CF,2
 Castro,Portugal,Sporting Gijón,2
 Catalá,Spain,Villarreal CF,2
 Cisma,Spain,Racing Santander,2
Tino Costa,Argentina,Valencia CF,2
 Cote,Spain,Sporting Gijón,2
 David Cortés,Spain,Hércules CF,2
 De Marcos,Spain,Athletic Bilbao,2
 Diego Castro,Spain,Sporting Gijón,2
Pape Diop,Senegal,Racing Santander,2
