player,country,team,assists
Artem Kravets,Ukraine,Granada CF,2
 Luciano,Brazil,CD Leganés,2
 Luisinho,Portugal,Deportivo La Coruña,2
 Marco Asensio,Spain,Real Madrid,2
 Marcos Llorente,Spain,CD Alavés,2
 Mariano,Brazil,Sevilla FC,2
Luka Modrić,Croatia,Real Madrid,2
 Muniain,Spain,Athletic Bilbao,2
Mateo Musacchio,Argentina,Villarreal CF,2
 Oier,Spain,CA Osasuna,2
 Omar,Spain,CD Leganés,2
 Pablo Fornals,Spain,Málaga CF,2
Thomas Partey,Ghana,Atlético Madrid,2
 Petros,Brazil,Real Betis,2
 Rafa Navarro,Spain,Real Betis,2
 Rafinha,Brazil,FC Barcelona,2
 Recio,Spain,Málaga CF,2
 Roque Mesa,Spain,UD Las Palmas,2
Roberto Rosales,Venezuela,Málaga CF,2
 Santi Mina,Spain,Valencia CF,2
 Señé,Spain,Celta Vigo,2
 Susaeta,Spain,Athletic Bilbao,2
Alexander Szymanowski,Argentina,CD Leganés,2
Raphaël Varane,France,Real Madrid,2
Carlos Vela,Mexico,Real Sociedad,2
 Yuri,Spain,Real Sociedad,2
 Adrián,Spain,SD Eibar,1
 Adrián,Spain,Villarreal CF,1
 Aduriz,Spain,Athletic Bilbao,1
 Alexandre Pato,Brazil,Villarreal CF,1
 Alexis,Spain,CD Alavés,1
 Álvaro,Spain,Espanyol Barcelona,1
 Álvaro Cejudo,Spain,Real Betis,1
 Álvaro González,Spain,Espanyol Barcelona,1
Fernando Amorebieta,Venezuela,Sporting Gijón,1
 André Gomes,Portugal,FC Barcelona,1
Sergio Araujo,Argentina,UD Las Palmas,1
Ryan Babel,Netherlands,Deportivo La Coruña,1
Jean-Sylvain Babin,France,Sporting Gijón,1
Cédric Bakambu,Congo DR,Villarreal CF,1
 Balenziaga,Spain,Athletic Bilbao,1
 Barral,Spain,Granada CF,1
 Bigas,Spain,UD Las Palmas,1
Jérémie Boga,Ivory Coast,Granada CF,1
Cayetano Bonnín,Dom. Republic,CA Osasuna,1
Rafael Borré,Colombia,Villarreal CF,1
Darko Brašanac,Serbia,Real Betis,1
 Bustinza,Spain,CD Leganés,1
Gustavo Cabral,Argentina,Celta Vigo,1
Felipe Caicedo,Ecuador,Espanyol Barcelona,1
 Camarasa,Spain,CD Alavés,1
 Canella,Spain,Sporting Gijón,1
Mehdi Carcela-González,Morocco,Granada CF,1
 Carlos Castro,Spain,Sporting Gijón,1
 Carlos Soler,Spain,Valencia CF,1
 Charles,Brazil,Málaga CF,1
 Cote,Spain,Villarreal CF,1
 Dani Castellano,Spain,UD Las Palmas,1
 Dani García,Spain,SD Eibar,1
 David Costas,Spain,Celta Vigo,1
 David García,Spain,UD Las Palmas,1
 David Simón,Spain,UD Las Palmas,1
 David Timor,Spain,CD Leganés,1
 De las Cuevas,Spain,CA Osasuna,1
 Deyverson,Brazil,CD Alavés,1
Ryan Donk,Netherlands,Real Betis,1
 Édgar,Spain,CD Alavés,1
Youssef En-Nesyri,Morocco,Málaga CF,1
 Eraso,Spain,Athletic Bilbao,1
 Erik Morán,Spain,CD Leganés,1
Gonzalo Escalante,Argentina,SD Eibar,1
 Fábio Coentrão,Portugal,Real Madrid,1
Zouhair Feddal,Morocco,CD Alavés,1
 Fontàs,Spain,Celta Vigo,1
 Fran Rico,Spain,Granada CF,1
 Fuentes,Spain,CA Osasuna,1
