player,country,team,assists
Lionel Messi,Argentina,FC Barcelona,12
 Pablo Fornals,Spain,Villarreal CF,12
Luis Suárez,Uruguay,FC Barcelona,12
Karim Benzema,France,Real Madrid,10
 Gonçalo Guedes,Portugal,Valencia CF,9
Antoine Griezmann,France,Atlético Madrid,9
Pione Sisto,Denmark,Celta Vigo,9
Daniel Wass,Denmark,Celta Vigo,9
 Cote,Spain,SD Eibar,8
Andrés Guardado,Mexico,Real Betis,8
 Jordi Alba,Spain,FC Barcelona,8
 Morales,Spain,Levante UD,8
 Álex Granell,Spain,Girona FC,7
 Isco,Spain,Real Madrid,7
 Joaquín,Spain,Real Betis,7
Toni Kroos,Germany,Real Madrid,7
 Lucas Vázquez,Spain,Real Madrid,7
 Parejo,Spain,Valencia CF,7
 Sergi Roberto,Spain,FC Barcelona,7
 Adrián,Spain,Deportivo La Coruña,6
Carlos Bacca,Colombia,Villarreal CF,6
 Barragán,Spain,Real Betis,6
Ousmane Dembélé,France,FC Barcelona,6
 Fabián Ruiz,Spain,Real Betis,6
 Ibai,Spain,CD Alavés,6
 Lucas Pérez,Spain,Deportivo La Coruña,6
 Marcelo,Brazil,Real Madrid,6
 Marco Asensio,Spain,Real Madrid,6
Luka Modrić,Croatia,Real Madrid,6
 Munir,Spain,CD Alavés,6
 Sergio García,Spain,Espanyol Barcelona,6
Franco Vázquez,Italy,Sevilla FC,6
 Williams,Spain,Athletic Bilbao,6
 Borja García,Spain,Girona FC,5
 Canales,Spain,Real Sociedad,5
 Coutinho,Brazil,FC Barcelona,5
 Cristiano Ronaldo,Portugal,Real Madrid,5
 Hugo Mallo,Spain,Celta Vigo,5
 Iago Aspas,Spain,Celta Vigo,5
 Illarra,Spain,Real Sociedad,5
Adnan Januzaj,Belgium,Real Sociedad,5
 Koke,Spain,Atlético Madrid,5
 Mikel Oyarzabal,Spain,Real Sociedad,5
 Nolito,Spain,Sevilla FC,5
 Pablo Sarabia,Spain,Sevilla FC,5
 Pedraza,Spain,CD Alavés,5
 Portu,Spain,Girona FC,5
Ivan Rakitić,Croatia,FC Barcelona,5
 Samu Castillejo,Spain,Villarreal CF,5
Nordin Amrabat,Morocco,CD Leganés,4
 Busquets,Spain,FC Barcelona,4
 Campaña,Spain,Levante UD,4
 Carlos Soler,Spain,Valencia CF,4
Ángel Correa,Argentina,Atlético Madrid,4
 Dani Raba,Spain,Villarreal CF,4
Fayçal Fajr,Morocco,Getafe CF,4
Yannick Ferreira-Carrasco,Belgium,Atlético Madrid,4
Maximiliano Gómez,Uruguay,Celta Vigo,4
 Joan Jordán,Spain,SD Eibar,4
 Jozabed,Spain,Celta Vigo,4
Geoffrey Kondogbia,France,Valencia CF,4
 Martín,Spain,CD Alavés,4
 Martín Montoya,Spain,Valencia CF,4
Johan Mojica,Colombia,Girona FC,4
 Molina,Spain,Getafe CF,4
 Odriozola,Spain,Real Sociedad,4
 Rodrigo,Spain,Valencia CF,4
Damián Suárez,Uruguay,Getafe CF,4
 Trigueros,Spain,Villarreal CF,4
Šime Vrsaljko,Croatia,Atlético Madrid,4
 Willian José,Brazil,Real Sociedad,4
 Xabi Prieto,Spain,Real Sociedad,4
Florin Andone,Romania,Deportivo La Coruña,3
 Andreas Pereira,Brazil,Valencia CF,3
 Aritz Elustondo,Spain,Real Sociedad,3
Éver Banega,Argentina,Sevilla FC,3
Wissam Ben Yedder,France,Sevilla FC,3
Celso Borges,Costa Rica,Deportivo La Coruña,3
Ryad Boudebouz,Algeria,Real Betis,3
Jonathan Calleri,Argentina,UD Las Palmas,3
 Casemiro,Brazil,Real Madrid,3
 Cristian Tello,Spain,Real Betis,3
Amath Diedhiou,Senegal,Getafe CF,3
 Diego Costa,Spain,Atlético Madrid,3
Riza Durmisi,Denmark,Real Betis,3
 Eraso,Spain,CD Leganés,3
Bernardo Espinosa,Colombia,Girona FC,3
 Gayà,Spain,Valencia CF,3
 Guerrero,Spain,CD Leganés,3
John Guidetti,Sweden,CD Alavés,3
 Iván Alejo,Spain,SD Eibar,3
 Ivi,Spain,Levante UD,3
 Jonathan Viera,Spain,UD Las Palmas,3
 Jurado,Spain,Espanyol Barcelona,3
 Leo Baptistão,Brazil,Espanyol Barcelona,3
 Mario,Spain,Villarreal CF,3
 Paco Alcácer,Spain,FC Barcelona,3
 Pedro León,Spain,SD Eibar,3
Pablo Piatti,Argentina,Espanyol Barcelona,3
 Portillo,Spain,Getafe CF,3
 Rodri,Spain,Villarreal CF,3
 Saúl,Spain,Atlético Madrid,3
Enes Ünal,Turkey,Levante UD,3
 Adán,Spain,Real Betis,2
 Álvaro González,Spain,Villarreal CF,2
 Ángel,Spain,Getafe CF,2
Juanpi Añor,Venezuela,Málaga CF,2
 Antonio Luna,Spain,Levante UD,2
 Antunes,Portugal,Getafe CF,2
Gareth Bale,Wales,Real Madrid,2
 Balenziaga,Spain,Athletic Bilbao,2
 Beñat,Spain,Athletic Bilbao,2
 Borja Valle,Spain,Deportivo La Coruña,2
 Cala,Spain,Getafe CF,2
Gonzalo Castro,Uruguay,Málaga CF,2
 Dani Carvajal,Spain,Real Madrid,2
 Dani Castellano,Spain,UD Las Palmas,2
 De Marcos,Spain,Athletic Bilbao,2
 Denis Suárez,Spain,FC Barcelona,2
 Diego Rico,Spain,CD Leganés,2
Lucas Digne,France,FC Barcelona,2
 Duarte,Spain,CD Alavés,2
Nabil El Zhar,Morocco,CD Leganés,2
 Escudero,Spain,Sevilla FC,2
 Filipe Luís,Brazil,Atlético Madrid,2
Junior Firpo,Dom. Republic,Real Betis,2
 Gabriel,Brazil,CD Leganés,2
Kevin Gameiro,France,Atlético Madrid,2
