player,country,team,assists
Miralem Pjanić,Bosnia-Herzegovina,AS Roma,12
Paul Pogba,France,Juventus,12
Marek Hamšík,Slovakia,SSC Napoli,11
Riccardo Saponara,Italy,Empoli FC,11
Papu Gómez,Argentina,Atalanta,10
Lorenzo Insigne,Italy,SSC Napoli,10
Giacomo Bonaventura,Italy,AC Milan,9
Paulo Dybala,Argentina,Juventus,9
 Morata,Spain,Juventus,9
Diego Perotti,Argentina,AS Roma,9
Andrea Belotti,Italy,Torino FC,8
Miroslav Klose,Germany,Lazio Roma,8
Valter Birsa,Slovenia,Chievo Verona,7
 José Callejón,Spain,SSC Napoli,7
Riccardo Meggiorini,Italy,Chievo Verona,7
Domenico Berardi,Italy,Sassuolo Calcio,6
 Borja Valero,Spain,ACF Fiorentina,6
 Bruno Peres,Brazil,Torino FC,6
Edin Džeko,Bosnia-Herzegovina,AS Roma,6
Josip Iličič,Slovenia,ACF Fiorentina,6
Senad Lulić,Bosnia-Herzegovina,Lazio Roma,6
Luis Muriel,Colombia,Sampdoria,6
Ivan Perišić,Croatia,Inter,6
Tomás Rincón,Venezuela,Genoa CFC,6
Mohamed Salah,Egypt,AS Roma,6
Federico Viviani,Italy,Hellas Verona,6
Paweł Wszołek,Poland,Hellas Verona,6
 Allan,Brazil,SSC Napoli,5
Cristian Ansaldi,Argentina,Genoa CFC,5
 Cristian Tello,Spain,ACF Fiorentina,5
Juan Cuadrado,Colombia,Juventus,5
Gregoire Defrel,France,Sassuolo Calcio,5
Federico Dionisi,Italy,Frosinone Calcio,5
Oscar Hiljemark,Sweden,US Palermo,5
 Jorginho,Italy,SSC Napoli,5
Nikola Kalinić,Croatia,ACF Fiorentina,5
Massimo Maccarone,Italy,Empoli FC,5
Dries Mertens,Belgium,SSC Napoli,5
Daniel Pavlović,Bosnia-Herzegovina,Frosinone Calcio,5
Nicola Sansone,Italy,Sassuolo Calcio,5
Franco Vázquez,Italy,US Palermo,5
Keita Baldé,Senegal,Lazio Roma,4
Federico Bernardeschi,Italy,ACF Fiorentina,4
Franco Brienza,Italy,Bologna FC,4
Marcelo Brozović,Croatia,Inter,4
 Bruno Fernandes,Portugal,Udinese Calcio,4
Antonio Candreva,Italy,Lazio Roma,4
Antonio Cassano,Italy,Sampdoria,4
Antonio Di Gaudio,Italy,Carpi FC,4
Alfred Duncan,Ghana,Sassuolo Calcio,4
 Felipe Anderson,Brazil,Lazio Roma,4
Matías Fernández,Chile,ACF Fiorentina,4
Mauro Icardi,Argentina,Inter,4
Sami Khedira,Germany,Juventus,4
Diego Laxalt,Uruguay,Genoa CFC,4
 Luiz Adriano,Brazil,AC Milan,4
Mario Mandžukić,Croatia,Juventus,4
 Marcos Alonso,Spain,ACF Fiorentina,4
Maximiliano Moralez,Argentina,Atalanta,4
Rodrigo Palacio,Argentina,Inter,4
Andrea Rispoli,Italy,US Palermo,4
Šime Vrsaljko,Croatia,Sassuolo Calcio,4
Piotr Zieliński,Poland,Empoli FC,4
Afriyie Acquah,Ghana,Torino FC,3
 Alex Sandro,Brazil,Juventus,3
Carlos Bacca,Colombia,AC Milan,3
Lucas Biglia,Argentina,Lazio Roma,3
Fabrizio Cacciatore,Italy,Chievo Verona,3
Carlos Carbonero,Colombia,Sampdoria,3
Danilo Cataldi,Italy,Lazio Roma,3
Antonio Di Natale,Italy,Udinese Calcio,3
Lucas Digne,France,AS Roma,3
 Éder,Italy,Inter,3
Patrice Evra,France,Juventus,3
Alessandro Florenzi,Italy,AS Roma,3
Manolo Gabbiadini,Italy,SSC Napoli,3
Faouzi Ghoulam,Algeria,SSC Napoli,3
Fredy Guarín,Colombia,Inter,3
