player,country,team,assists
Edin Džeko,Bosnia-Herzegovina,AS Roma,13
 José Callejón,Spain,SSC Napoli,13
Mohamed Salah,Egypt,AS Roma,13
Papu Gómez,Argentina,Atalanta,12
Domenico Berardi,Italy,Sassuolo Calcio,11
Marek Hamšík,Slovakia,SSC Napoli,11
 Borja Valero,Spain,ACF Fiorentina,10
Antonio Candreva,Italy,Inter,10
 Felipe Anderson,Brazil,Lazio Roma,10
Lorenzo Insigne,Italy,SSC Napoli,10
Dries Mertens,Belgium,SSC Napoli,10
Andrea Belotti,Italy,Torino FC,9
Valter Birsa,Slovenia,Chievo Verona,9
 Iago Falqué,Spain,Torino FC,9
Mauro Icardi,Argentina,Inter,9
Senad Lulić,Bosnia-Herzegovina,Lazio Roma,9
Diego Perotti,Argentina,AS Roma,9
Andrea Petagna,Italy,Atalanta,9
Miralem Pjanić,Bosnia-Herzegovina,Juventus,9
 Suso,Spain,AC Milan,9
Ladislav Krejčí,Czech Republic,Bologna FC,8
Adem Ljajić,Serbia,Torino FC,8
Sergej Milinković-Savić,Serbia,Lazio Roma,8
Ivan Perišić,Croatia,Inter,8
Kevin Strootman,Netherlands,AS Roma,8
Paulo Dybala,Argentina,Juventus,7
Ciro Immobile,Italy,Lazio Roma,7
Mauricio Isla,Chile,Cagliari Calcio,7
Luis Muriel,Colombia,Sampdoria,7
Piotr Zieliński,Poland,SSC Napoli,7
 Allan,Brazil,SSC Napoli,6
Keita Baldé,Senegal,Lazio Roma,6
Éver Banega,Argentina,Inter,6
Lucas Castro,Argentina,Chievo Verona,6
Juan Cuadrado,Colombia,Juventus,6
Alessandro Diamanti,Italy,US Palermo,6
Faouzi Ghoulam,Algeria,SSC Napoli,6
Lorenzo Pellegrini,Italy,Sassuolo Calcio,6
Matteo Politano,Italy,Sassuolo Calcio,6
 Alex Sandro,Brazil,Juventus,5
Daniele Baselli,Italy,Torino FC,5
 Cristian Tello,Spain,ACF Fiorentina,5
Davide Di Gennaro,Italy,Cagliari Calcio,5
Stephan El Shaarawy,Italy,AS Roma,5
Roberto Inglese,Italy,Chievo Verona,5
 João Mário,Portugal,Inter,5
Radja Nainggolan,Belgium,AS Roma,5
Panagiotis Tachtsidis,Greece,Cagliari Calcio,5
Marcello Trotta,Italy,FC Crotone,5
Francesco Zampano,Italy,Pescara Calcio,5
Duván Zapata,Colombia,Udinese Calcio,5
Davide Zappacosta,Italy,Torino FC,5
Federico Bernardeschi,Italy,ACF Fiorentina,4
Cristiano Biraghi,Italy,Pescara Calcio,4
Andrea Conti,Italy,Atalanta,4
Daniele De Rossi,Italy,AS Roma,4
Gregoire Defrel,France,Sassuolo Calcio,4
 Éder,Italy,Inter,4
Remo Freuler,Switzerland,Atalanta,4
Emil Hallfreðsson,Iceland,Udinese Calcio,4
Josip Iličič,Slovenia,ACF Fiorentina,4
Jakub Jankto,Czech Republic,Udinese Calcio,4
Franck Kessié,Ivory Coast,Atalanta,4
Diego Laxalt,Uruguay,Genoa CFC,4
Darko Lazović,Serbia,Genoa CFC,4
Pol Lirola,Spain,Sassuolo Calcio,4
Guido Marilungo,Italy,Empoli FC,4
 Miguel Veloso,Portugal,Genoa CFC,4
Hrvoje Milić,Croatia,ACF Fiorentina,4
Fabio Quagliarella,Italy,Sampdoria,4
Antonino Ragusa,Italy,Sassuolo Calcio,4
Vasco Regini,Italy,Sampdoria,4
Marcus Rohdén,Sweden,FC Crotone,4
Marco Sau,Italy,Cagliari Calcio,4
Patrik Schick,Czech Republic,Sampdoria,4
Leonardo Spinazzola,Italy,Atalanta,4
Matías Vecino,Uruguay,ACF Fiorentina,4
Silvan Widmer,Switzerland,Udinese Calcio,4
Emmanuel Agyemang-Badu,Ghana,Udinese Calcio,3
Haitam Aleesami,Norway,US Palermo,3
Carlos Bacca,Colombia,AC Milan,3
Milan Badelj,Croatia,ACF Fiorentina,3
Andrea Barberis,Italy,FC Crotone,3
Lucas Biglia,Argentina,Lazio Roma,3
Giacomo Bonaventura,Italy,AC Milan,3
Gianluca Caprari,Italy,Pescara Calcio,3
Federico Chiesa,Italy,ACF Fiorentina,3
Ivaylo Chochev,Bulgaria,US Palermo,3
Danilo D'Ambrosio,Italy,Inter,3
Lorenzo De Silvestri,Italy,Torino FC,3
Stefan de Vrij,Netherlands,Lazio Roma,3
Federico Di Francesco,Italy,Bologna FC,3
 Diego Farias,Brazil,Cagliari Calcio,3
Blerim Džemaili,Switzerland,Bologna FC,3
 Edenilson,Brazil,Genoa CFC,3
Alessandro Florenzi,Italy,AS Roma,3
Roberto Gagliardini,Italy,Atalanta,3
 Gerard Deulofeu,Spain,AC Milan,3
Gonzalo Higuaín,Argentina,Juventus,3
Juan Iturbe,Paraguay,AS Roma,3
 João Pedro,Brazil,Cagliari Calcio,3
 Jorginho,Italy,SSC Napoli,3
Nikola Kalinić,Croatia,ACF Fiorentina,3
Sami Khedira,Germany,Juventus,3
Jasmin Kurtić,Slovenia,Atalanta,3
Gianluca Lapadula,Italy,AC Milan,3
Karol Linetty,Poland,Sampdoria,3
Massimo Maccarone,Italy,Empoli FC,3
Mario Mandžukić,Croatia,Juventus,3
Ledian Memushaj,Albania,Pescara Calcio,3
Alexandru Mitriţă,Romania,Pescara Calcio,3
Emiliano Moretti,Italy,Torino FC,3
M'Baye Niang,Senegal,AC Milan,3
Rodrigo Palacio,Argentina,Inter,3
Manuel Pasqual,Italy,Empoli FC,3
Sergio Pellissier,Italy,Chievo Verona,3
Tomás Rincón,Venezuela,Genoa CFC,3
Andrea Rispoli,Italy,US Palermo,3
Riccardo Saponara,Italy,ACF Fiorentina,3
Matías Silvestre,Argentina,Sampdoria,3
José Sosa,Argentina,AC Milan,3
Adrian Stoian,Romania,FC Crotone,3
Adel Taarabt,Morocco,Genoa CFC,3
Francesco Totti,Italy,AS Roma,3
Simone Verdi,Italy,Bologna FC,3
Ignazio Abate,Italy,AC Milan,2
Ricardo Álvarez,Argentina,Sampdoria,2
Khouma Babacar,Senegal,ACF Fiorentina,2
Antonio Barreca,Italy,Torino FC,2
Dušan Basta,Serbia,Lazio Roma,2
Ahmad Benali,Libya,Pescara Calcio,2
Marco Benassi,Italy,Torino FC,2
Lucas Boyé,Argentina,Torino FC,2
 Bruno Fernandes,Portugal,Sampdoria,2
 Bruno Henrique,Brazil,US Palermo,2
Fabrizio Cacciatore,Italy,Chievo Verona,2
Giorgio Chiellini,Italy,Juventus,2
Bryan Cristante,Italy,Atalanta,2
 Dani Alves,Brazil,Juventus,2
Rodrigo de Paul,Argentina,Udinese Calcio,2
Mattia De Sciglio,Italy,AC Milan,2
Godfred Donsah,Ghana,Bologna FC,2
Diego Falcinelli,Italy,FC Crotone,2
Matías Fernández,Chile,AC Milan,2
Massimo Gobbi,Italy,Chievo Verona,2
Artur Ioniță,Moldova,Cagliari Calcio,2
Armando Izzo,Italy,Genoa CFC,2
Rade Krunić,Bosnia-Herzegovina,Empoli FC,2
