player,country,team,assists
Domenico Berardi,Italy,Sassuolo Calcio,10
Marek Hamšík,Slovakia,SSC Napoli,10
Franco Vázquez,Italy,US Palermo,10
Antonio Candreva,Italy,Lazio Roma,9
Paulo Dybala,Argentina,US Palermo,9
Emil Hallfreðsson,Iceland,Hellas Verona,9
Miralem Pjanić,Bosnia-Herzegovina,AS Roma,8
Antonio Di Natale,Italy,Udinese Calcio,7
 Felipe Anderson,Brazil,Lazio Roma,7
Gonzalo Higuaín,Argentina,SSC Napoli,7
Senad Lulić,Bosnia-Herzegovina,Lazio Roma,7
Dries Mertens,Belgium,SSC Napoli,7
Carlos Tévez,Argentina,Juventus,7
Mirko Valdifiori,Italy,Empoli FC,7
Andrea Bertolacci,Italy,Genoa CFC,6
Matías Fernández,Chile,ACF Fiorentina,6
Mauro Icardi,Argentina,Inter,6
Miroslav Klose,Germany,Lazio Roma,6
Massimo Maccarone,Italy,Empoli FC,6
Claudio Marchisio,Italy,Juventus,6
Rodrigo Palacio,Argentina,Inter,6
Francesco Totti,Italy,AS Roma,6
Ignazio Abate,Italy,AC Milan,5
 Allan,Brazil,Udinese Calcio,5
Edgar Barreto,Paraguay,US Palermo,5
Lazaros Christodoulopoulos,Greece,Hellas Verona,5
 Edenilson,Brazil,Genoa CFC,5
Alexander Farnerud,Sweden,Torino FC,5
Fredy Guarín,Colombia,Inter,5
Stephan Lichtsteiner,Switzerland,Juventus,5
Alessandro Matri,Italy,Genoa CFC,5
Simone Missiroli,Italy,Sassuolo Calcio,5
Maximiliano Moralez,Argentina,Atalanta,5
 Morata,Spain,Juventus,5
Luis Muriel,Colombia,Sampdoria,5
Diego Perotti,Argentina,Genoa CFC,5
Marco Sau,Italy,Cagliari Calcio,5
Silvan Widmer,Switzerland,Udinese Calcio,5
Franco Brienza,Italy,AC Cesena,4
Juan Cuadrado,Colombia,ACF Fiorentina,4
Gregoire Defrel,France,AC Cesena,4
 Éder,Italy,Sampdoria,4
Alessandro Florenzi,Italy,AS Roma,4
 Gervinho,Ivory Coast,AS Roma,4
 Hernanes,Brazil,Inter,4
Keisuke Honda,Japan,AC Milan,4
Víctor Ibarbo,Colombia,AS Roma,4
Riccardo Meggiorini,Italy,Chievo Verona,4
Jérémy Ménez,France,AC Milan,4
Andrea Pirlo,Italy,Juventus,4
Fabio Quagliarella,Italy,Torino FC,4
Nicola Sansone,Italy,Sassuolo Calcio,4
Dušan Basta,Serbia,Lazio Roma,3
Giacomo Bonaventura,Italy,AC Milan,3
Alessio Cerci,Italy,AC Milan,3
Luca Cigarini,Italy,Atalanta,3
Massimo Coda,Italy,Parma FC,3
 Danilo Avelar,Brazil,Cagliari Calcio,3
Lorenzo De Silvestri,Italy,Sampdoria,3
 Diego Farias,Brazil,Cagliari Calcio,3
Boukary Dramé,Senegal,Atalanta,3
Filip Đorđević,Serbia,Lazio Roma,3
Omar El Kaddouri,Morocco,Torino FC,3
Samuel Eto'o,Cameroon,Sampdoria,3
Manolo Gabbiadini,Italy,Sampdoria,3
 Guilherme,Brazil,Udinese Calcio,3
 Iago Falqué,Spain,Genoa CFC,3
Josip Iličič,Slovenia,ACF Fiorentina,3
Lorenzo Insigne,Italy,SSC Napoli,3
Cristóbal Jorquera,Chile,Parma FC,3
 José Callejón,Spain,SSC Napoli,3
Panagiotis Kone,Greece,Udinese Calcio,3
Cristian Ledesma,Italy,Lazio Roma,3
Christian Maggio,Italy,SSC Napoli,3
Francesco Magnanelli,Italy,Sassuolo Calcio,3
Nikola Maksimović,Serbia,Torino FC,3
 Marcos Alonso,Spain,ACF Fiorentina,3
 Mário Rui,Portugal,Empoli FC,3
Emiliano Moretti,Italy,Torino FC,3
Simone Padoin,Italy,Juventus,3
Angelo Palombo,Italy,Sampdoria,3
Alberto Paloschi,Italy,Chievo Verona,3
Manuel Pasqual,Italy,ACF Fiorentina,3
Roberto Pereyra,Argentina,Juventus,3
David Pizarro,Chile,ACF Fiorentina,3
Paul Pogba,France,Juventus,3
Manuel Pucciarelli,Italy,Empoli FC,3
Mohamed Salah,Egypt,ACF Fiorentina,3
Riccardo Saponara,Italy,AC Milan,3
Saphir Taïder,Algeria,Sassuolo Calcio,3
Matías Vecino,Uruguay,Empoli FC,3
Giuseppe Vives,Italy,Torino FC,3
Šime Vrsaljko,Croatia,Sassuolo Calcio,3
Khouma Babacar,Senegal,ACF Fiorentina,2
Milan Badelj,Croatia,ACF Fiorentina,2
Antonio Balzano,Italy,Cagliari Calcio,2
Daniele Baselli,Italy,Atalanta,2
Ishak Belfodil,Algeria,Parma FC,2
Marco Benassi,Italy,Torino FC,2
Federico Bernardeschi,Italy,ACF Fiorentina,2
 Borja Valero,Spain,ACF Fiorentina,2
Marco Borriello,Italy,AS Roma,2
Rubén Botta,Argentina,Chievo Verona,2
 Bruno Fernandes,Portugal,Udinese Calcio,2
 Bruno Peres,Brazil,Torino FC,2
Carlos Carbonero,Colombia,AC Cesena,2
Antonio Cassano,Italy,Parma FC,2
Danilo Cataldi,Italy,Lazio Roma,2
Luis Cavanda,Belgium,Lazio Roma,2
Kingsley Coman,France,Juventus,2
Andrea Cossu,Italy,Cagliari Calcio,2
