player,country,team,goal,penalty
Robin van Persie,Netherlands,Arsenal FC,30,2
Wayne Rooney,England,Manchester United,27,6
Kun Agüero,Argentina,Manchester City,23,3
Emmanuel Adebayor,Togo,Tottenham Hotspur,17,3
Yakubu Ayegbeni,Nigeria,Blackburn Rovers,17,4
Clint Dempsey,USA,Fulham FC,17,0
Demba Ba,Senegal,Newcastle United,16,2
Grant Holt,England,Norwich City,15,2
Edin Džeko,Bosnia-Herzegovina,Manchester City,14,0
Mario Balotelli,Italy,Manchester City,13,3
Papiss Demba Cissé,Senegal,Newcastle United,13,0
Steven Fletcher,Scotland,Wolverhampton Wanderers,12,0
Danny Graham,England,Swansea City,12,1
Jermain Defoe,England,Tottenham Hotspur,11,0
Frank Lampard,England,Chelsea FC,11,3
Daniel Sturridge,England,Chelsea FC,11,0
Luis Suárez,Uruguay,Liverpool FC,11,0
Rafael van der Vaart,Netherlands,Tottenham Hotspur,11,1
Gareth Bale,Wales,Tottenham Hotspur,10,0
Peter Crouch,England,Stoke City,10,0
Javier Hernández,Mexico,Manchester United,10,1
Peter Odemwingie,Nigeria,West Bromwich Albion,10,0
Darren Bent,England,Aston Villa,9,2
Nikica Jelavić,Croatia,Everton FC,9,1
Steve Morison,Wales,Norwich City,9,0
Danny Welbeck,England,Manchester United,9,0
Nicklas Bendtner,Denmark,Arsenal FC,8,1
Heiðar Helguson,Iceland,Queens Park Rangers,8,2
Matthew Jarvis,England,Wolverhampton Wanderers,8,0
Ivan Klasnić,Croatia,Bolton Wanderers,8,1
Shane Long,Ireland,West Bromwich Albion,8,1
 Nani,Portugal,Manchester United,8,0
Anthony Pilkington,Ireland,Norwich City,8,0
Scott Sinclair,England,Swansea City,8,4
Theo Walcott,England,Arsenal FC,8,0
Dimitar Berbatov,Bulgaria,Manchester United,7,2
Franco Di Santo,Argentina,Wigan Athletic,7,0
Junior Hoilett,Canada,Blackburn Rovers,7,0
Sebastian Larsson,Sweden,Sunderland AFC,7,0
Jamie Mackie,Scotland,Queens Park Rangers,7,0
 Mikel Arteta,Spain,Arsenal FC,7,1
Stéphane Sessègnon,Benin,Sunderland AFC,7,0
Gylfi Sigurðsson,Iceland,Swansea City,7,0
Jon Walters,Ireland,Stoke City,7,4
Bobby Zamora,England,Fulham FC,7,1
Craig Bellamy,Wales,Liverpool FC,6,0
Djibril Cissé,France,Queens Park Rangers,6,0
 David Silva,Spain,Manchester City,6,0
Kevin Davies,England,Bolton Wanderers,6,1
 Fernando Torres,Spain,Chelsea FC,6,0
Adam Johnson,England,Manchester City,6,0
 Mata,Spain,Chelsea FC,6,0
Victor Moses,Nigeria,Wigan Athletic,6,0
Pavel Pogrebnyak,Russia,Fulham FC,6,0
John Terry,England,Chelsea FC,6,0
Yaya Touré,Ivory Coast,Manchester City,6,0
Thomas Vermaelen,Belgium,Arsenal FC,6,0
Ashley Young,England,Manchester United,6,0
Gabriel Agbonlahor,England,Aston Villa,5,0
Victor Anichebe,Nigeria,Everton FC,5,0
Hatem Ben Arfa,France,Newcastle United,5,0
Didier Drogba,Ivory Coast,Chelsea FC,5,1
Nathan Dyer,England,Swansea City,5,0
Steven Gerrard,England,Liverpool FC,5,0
 Jordi Gómez,Spain,Wigan Athletic,5,2
James McClean,Ireland,Sunderland AFC,5,0
James Morrison,Scotland,West Bromwich Albion,5,0
Samir Nasri,France,Arsenal FC,5,0
 Ramires,Brazil,Chelsea FC,5,0
Joe Allen,Wales,Swansea City,4,0
Leighton Baines,England,Everton FC,4,3
Yossi Benayoun,Israel,Arsenal FC,4,0
