player,country,team,goal,penalty
Edinson Cavani,Uruguay,Paris Saint-Germain,35,7
Alexandre Lacazette,France,Olympique Lyon,28,10
Radamel Falcao,Colombia,AS Monaco,21,4
Bafétimbi Gomis,France,Olympique Marseille,20,3
Florian Thauvin,France,Olympique Marseille,16,1
Mario Balotelli,Italy,OGC Nice,15,3
Kylian Mbappé,France,AS Monaco,15,0
Ivan Santini,Croatia,SM Caen,15,3
Nicolas de Préville,France,Lille OSC,14,5
Steve Mounié,Benin,Montpellier HSC,14,0
Benjamin Moukandjo,Cameroon,FC Lorient,13,3
Jimmy Briand,France,EA Guingamp,12,3
 Lucas,Brazil,Paris Saint-Germain,12,1
Emiliano Sala,Argentina,FC Nantes,12,1
Ryad Boudebouz,Algeria,Montpellier HSC,11,3
Martin Braithwaite,Denmark,Toulouse FC,11,4
Loïs Diony,France,Dijon FCO,11,0
Alassane Pléa,France,OGC Nice,11,1
Enzo Crivelli,France,SC Bastia,10,0
Valère Germain,France,AS Monaco,10,0
 Fabinho,Brazil,AS Monaco,9,7
Nabil Fekir,France,Olympique Lyon,9,2
 Júlio Tavares,Cape Verde,Dijon FCO,9,2
Thomas Lemar,France,AS Monaco,9,0
Ronny Rodelin,France,SM Caen,9,1
Diego Rolán,Uruguay,Girondins Bordeaux,9,0
Giovanni Sio,Ivory Coast,Stade Rennes,9,0
Majeed Waris,Ghana,FC Lorient,9,1
 Bernardo Silva,Portugal,AS Monaco,8,0
Wylan Cyprien,France,OGC Nice,8,0
Issiar Dia,France,AS Nancy,8,1
Cheick Diabaté,Mali,FC Metz,8,3
Famara Diédhiou,Senegal,Angers SCO,8,1
Yannis Salibur,France,EA Guingamp,8,1
Corentin Tolisso,France,Olympique Lyon,8,0
Mathieu Valbuena,France,Olympique Lyon,8,0
Guido Carrillo,Argentina,AS Monaco,7,0
Romain Hamouma,France,AS Saint-Étienne,7,2
Pierre Lees-Melou,France,Dijon FCO,7,0
 Malcom,Brazil,Girondins Bordeaux,7,0
Jean Michaël Seri,Ivory Coast,OGC Nice,7,2
Ola Toivonen,Sweden,Toulouse FC,7,0
Karl Toko Ekambi,Cameroon,Angers SCO,7,0
Robert Berić,Slovenia,AS Saint-Étienne,6,0
 Boschilia,Brazil,AS Monaco,6,0
Maxwel Cornet,Ivory Coast,Olympique Lyon,6,0
Ángel Di María,Argentina,Paris Saint-Germain,6,0
 Éder,Portugal,Lille OSC,6,1
Mevlüt Erdinç,Turkey,FC Metz,6,3
Kamil Glik,Poland,AS Monaco,6,0
François Kamano,Guinea,Girondins Bordeaux,6,0
Gaëtan Laborde,France,Girondins Bordeaux,6,0
Préjuce Nakoulma,Burkina Faso,FC Nantes,6,0
Younousse Sankharé,Senegal,Girondins Bordeaux,6,0
Valentín Vada,Argentina,Girondins Bordeaux,6,2
Jimmy Cabot,France,FC Lorient,5,0
Andy Delort,France,Toulouse FC,5,1
Memphis Depay,Netherlands,Olympique Lyon,5,0
Moustapha Diallo,Senegal,EA Guingamp,5,0
Anastasios Donis,Greece,OGC Nice,5,0
Yann Karamoh,France,SM Caen,5,0
Sylvain Marveaux,France,FC Lorient,5,0
Cheikh N'Doye,Senegal,Angers SCO,5,0
Casimir Ninga,Chad,Montpellier HSC,5,0
Ismaïla Sarr,Senegal,FC Metz,5,0
Yacine Bammou,Morocco,FC Nantes,4,0
Marcus Coco,France,EA Guingamp,4,0
Gaël Danic,France,SC Bastia,4,0
Nill De Pauw,Belgium,EA Guingamp,4,0
Adama Diakhaby,France,Stade Rennes,4,1
Julian Draxler,Germany,Paris Saint-Germain,4,0
Valentin Eysseric,France,OGC Nice,4,0
Yoann Gourcuff,France,Stade Rennes,4,0
Kamil Grosicki,Poland,Stade Rennes,4,1
Yann Jouffre,France,FC Metz,4,2
Christopher Jullien,France,Toulouse FC,4,0
Blaise Matuidi,France,Paris Saint-Germain,4,0
Kévin Monnet-Paquet,France,AS Saint-Étienne,4,0
Clinton N'Jie,Cameroon,Olympique Marseille,4,0
Dimitri Payet,France,Olympique Marseille,4,0
Loïc Perrin,France,AS Saint-Étienne,4,0
 Rolando,Portugal,Olympique Marseille,4,0
 Rony Lopes,Portugal,Lille OSC,4,0
Nolan Roux,France,AS Saint-Étienne,4,3
Wesley Saïd,France,Stade Rennes,4,0
Frédéric Sammaritano,France,Dijon FCO,4,1
Morgan Sanson,France,Montpellier HSC,4,0
Mariusz Stępiński,Poland,FC Nantes,4,0
Mehdi Abeid,France,Dijon FCO,3,0
Youssef Aït Bennasser,Morocco,AS Nancy,3,0
Jonathan Bamba,France,Angers SCO,3,0
Younès Belhanda,Morocco,OGC Nice,3,0
Yassine Benzia,Algeria,Lille OSC,3,1
Michaël Ciani,France,FC Lorient,3,0
Maurice Dalé,France,AS Nancy,3,0
Sadio Diallo,Guinea,SC Bastia,3,0
Simon Falette,French Guyana,FC Metz,3,0
Guillaume Gillet,Belgium,FC Nantes,3,0
Paul Lasne,France,Montpellier HSC,3,0
Mickaël Le Bihan,France,OGC Nice,3,0
Maxime Lopez,France,Olympique Marseille,3,0
Georges Mandjeck,Cameroon,FC Metz,3,0
Thomas Mangani,France,Angers SCO,3,2
Faitout Maouassa,France,AS Nancy,3,0
 Marquinhos,Brazil,Paris Saint-Germain,3,0
Isaac Mbenza,Belgium,Montpellier HSC,3,0
Alexandre Mendy,France,EA Guingamp,3,0
Jérémy Ménez,France,Girondins Bordeaux,3,0
Ndombe Mubele,Congo DR,Stade Rennes,3,0
Prince Oniangué,Congo,SC Bastia,3,0
Adam Ounas,Algeria,Girondins Bordeaux,3,1
Vincent Pajot,France,AS Saint-Étienne,3,0
Nicolas Pépé,Ivory Coast,Angers SCO,3,0
Sloan Privat,French Guyana,EA Guingamp,3,0
Adrien Rabiot,France,Paris Saint-Germain,3,0
Allan Saint-Maximin,France,SC Bastia,3,0
 Thiago Silva,Brazil,Paris Saint-Germain,3,0
Cédric Varrault,France,Dijon FCO,3,0
Jordan Veretout,France,AS Saint-Étienne,3,0
Tiemoué Bakayoko,France,AS Monaco,2,0
Paul Baysse,France,OGC Nice,2,0
Hervé Bazile,Haiti,SM Caen,2,0
Thievy Bifouma,Congo,SC Bastia,2,0
Rémy Cabella,France,Olympique Marseille,2,0
Pierrick Capelle,France,Angers SCO,2,0
Lucas Deaux,France,EA Guingamp,2,0
Alou Diarra,France,AS Nancy,2,0
 Diego Carlos,Brazil,FC Nantes,2,0
Issa Diop,France,Toulouse FC,2,0
Jimmy Durmaz,Sweden,Toulouse FC,2,0
Julien Féret,France,SM Caen,2,0
Rachid Ghezzal,Algeria,Olympique Lyon,2,0
 Jemerson,Brazil,AS Monaco,2,0
 João Moutinho,Portugal,AS Monaco,2,0
Isaac Kiese Thelin,Sweden,Girondins Bordeaux,2,1
Layvin Kurzawa,France,Paris Saint-Germain,2,0
Jordan Lotiès,France,Dijon FCO,2,0
Opa Nguette,France,FC Metz,2,0
Arnaud Nordin,France,AS Saint-Étienne,2,0
Paul-Georges Ntep,France,Stade Rennes,2,0
Nicolas Pallois,France,Girondins Bordeaux,2,0
Romain Philippoteaux,France,FC Lorient,2,0
Loïc Puyo,France,AS Nancy,2,0
 Ricardo Pereira,Portugal,OGC Nice,2,0
Valentin Rongier,France,FC Nantes,2,0
Stéphane Sessègnon,Benin,Montpellier HSC,2,0
Djibril Sidibé,France,AS Monaco,2,0
Flavien Tait,France,Angers SCO,2,0
Adrien Thomasson,France,FC Nantes,2,0
Adama Traoré,Mali,AS Monaco,2,0
Óscar Trejo,Argentina,Toulouse FC,2,0
Marco Verratti,Italy,Paris Saint-Germain,2,0
Thibaut Vion,France,FC Metz,2,0
Jérémie Aliadiére,France,FC Lorient,1,0
Ibrahim Amadou,Cameroon,Lille OSC,1,0
Morgan Amalfitano,France,Lille OSC,1,0
Jean-Kévin Augustin,France,Paris Saint-Germain,1,0
Tobias Badila,France,AS Nancy,1,0
Dylan Bahamboula,France,Dijon FCO,1,0
Marko Baša,Montenegro,Lille OSC,1,0
Nicolas Benezet,France,EA Guingamp,1,0
Pierre Bengtsson,Sweden,SC Bastia,1,0
Franck Béria,France,Lille OSC,1,0
Yves Bissouma,Mali,Lille OSC,1,0
Ludovic Blas,France,EA Guingamp,1,0
Yann Bodiger,France,Toulouse FC,1,1
Grégory Bourillon,France,Angers SCO,1,0
Alexis Busin,France,AS Nancy,1,0
Yannick Cahuzac,France,SC Bastia,1,0
Souleymane Camara,Senegal,Montpellier HSC,1,0
Julien Cetout,France,AS Nancy,1,0
Renato Civelli,Argentina,Lille OSC,1,0
Renaud Cohade,France,FC Metz,1,0
Daniel Congré,France,Montpellier HSC,1,0
Sébastien Corchia,France,Lille OSC,1,0
Benjamin Corgnet,France,AS Saint-Étienne,1,0
Joffrey Cuffaut,France,AS Nancy,1,0
Modou Diagne,Senegal,AS Nancy,1,0
Mouctar Diakhaby,France,Olympique Lyon,1,0
Habib Diallo,Senegal,FC Metz,1,0
Étienne Didot,France,EA Guingamp,1,0
Nabil Dirar,Morocco,AS Monaco,1,0
Alexander Djiku,France,SC Bastia,1,0
 Doria,Brazil,Olympique Marseille,1,0
Odsonne Édouard,France,Toulouse FC,1,0
Anwar el Ghazi,Netherlands,Lille OSC,1,0
Patrice Evra,France,Olympique Marseille,1,0
Rod Fanni,France,Olympique Marseille,1,0
Jordan Ferri,France,Olympique Lyon,1,0
Thibault Giresse,France,EA Guingamp,1,0
Joris Gnagnon,France,Stade Rennes,1,0
Maxime Gonalons,France,Olympique Lyon,1,0
Pierre-Yves Hamel,France,FC Lorient,1,0
Amine Harit,Morocco,FC Nantes,1,0
Gauthier Hein,France,FC Metz,1,0
 Hilton,Brazil,Montpellier HSC,1,0
Adrien Hunou,France,Stade Rennes,1,0
Jonathan Ikoné,France,Montpellier HSC,1,0
Jules Iloki,France,FC Nantes,1,0
Christophe Jallet,France,Olympique Lyon,1,0
Corentin Jean,France,AS Monaco,1,0
 Jesé,Spain,Paris Saint-Germain,1,1
 Jorge,Brazil,AS Monaco,1,0
 Jorghinho,Portugal,AS Saint-Étienne,1,0
Aldo Kalulu,France,Olympique Lyon,1,0
Billy Ketkeophomphone,France,Angers SCO,1,0
Anthony Koura,France,AS Nancy,1,0
Vincent Koziello,France,OGC Nice,1,0
Wesley Lautoa,France,FC Lorient,1,0
Vincent Le Goff,France,FC Lorient,1,0
Igor Lewczuk,Poland,Girondins Bordeaux,1,0
 Lucas Lima,Brazil,FC Nantes,1,1
Emanuel Mammana,Argentina,Olympique Lyon,1,0
Vincent Manceau,France,Angers SCO,1,0
Christophe Mandanne,Réunion,AS Nancy,1,0
Jordan Marié,France,Dijon FCO,1,0
Thomas Meunier,Belgium,Paris Saint-Germain,1,0
 Mexer,Mozambique,Stade Rennes,1,0
Guido Milán,Argentina,FC Metz,1,0
Arnold Mvuemba,France,FC Lorient,1,0
Christopher Nkunku,France,Paris Saint-Germain,1,0
Julien Palmieri,France,Lille OSC,1,0
Felipe Pardo,Colombia,FC Nantes,1,0
Mateo Pavlović,Croatia,Angers SCO,1,0
Benoît Pedretti,France,AS Nancy,1,0
Jaroslav Plašil,Czech Republic,Girondins Bordeaux,1,0
Florentin Pogba,Guinea,AS Saint-Étienne,1,0
Sanjin Prcić,Bosnia-Herzegovina,Stade Rennes,1,0
Yohann Rivière,France,Dijon FCO,1,0
Jérôme Roussillon,France,Montpellier HSC,1,0
Dylan Saint-Louis,France,AS Saint-Étienne,1,0
Henri Saivet,Senegal,AS Saint-Étienne,1,0
Pape Sané,Senegal,SM Caen,1,0
Malang Sarr,France,OGC Nice,1,0
 Sergi Darder,Spain,Olympique Lyon,1,0
Grégory Sertić,France,Girondins Bordeaux,1,0
Ellyes Skhiri,Tunisia,Montpellier HSC,1,0
Naïm Sliti,Tunisia,Lille OSC,1,0
