player,country,team,goal,penalty
Valentin Eysseric,France,OGC Nice,2,1
Radamel Falcao,Colombia,AS Monaco,2,1
Rod Fanni,France,Olympique Marseille,2,0
Michael Frey,Switzerland,Lille OSC,2,0
Guillaume Gillet,Belgium,SC Bastia,2,0
Thibault Giresse,France,EA Guingamp,2,0
Baptiste Guillaume,Belgium,RC Lens,2,0
Giannelli Imbula,France,Olympique Marseille,2,0
N'Golo Kanté,France,SM Caen,2,0
Anders Konradsen,Norway,Stade Rennes,2,0
Paul Lasne,France,Montpellier HSC,2,0
Mario Lemina,Gabon,Olympique Marseille,2,0
Fabien Lemoine,France,AS Saint-Étienne,2,0
 Marquinhos,Brazil,Paris Saint-Germain,2,0
Nicolas Maurice-Belay,France,Girondins Bordeaux,2,0
Ryan Mendes,Cape Verde,Lille OSC,2,0
François Modesto,France,SC Bastia,2,0
Kévin Monnet-Paquet,France,AS Saint-Étienne,2,0
Georges-Kévin N'Koudou,France,FC Nantes,2,0
Nicolas N'Koulou,Cameroon,Olympique Marseille,2,0
Julien Palmieri,France,SC Bastia,2,0
 Pedro Henrique,Brazil,Stade Rennes,2,0
Romain Philippoteaux,France,FC Lorient,2,0
Jérémy Pied,France,EA Guingamp,2,0
Alaixys Romao,Togo,Olympique Marseille,2,0
Bouna Sarr,Guinea,FC Metz,2,1
Ronnie Schwartz,Denmark,EA Guingamp,2,0
Djibril Sidibé,France,Lille OSC,2,0
Modou Sougou,Senegal,Évian Thonon Gaillard,2,0
Adrien Thomasson,France,Évian Thonon Gaillard,2,0
Siaka Tiéné,Ivory Coast,Montpellier HSC,2,0
Thomas Touré,Ivory Coast,Girondins Bordeaux,2,0
Adama Traoré,Mali,Lille OSC,2,0
Marco Verratti,Italy,Paris Saint-Germain,2,0
Oswaldo Vizcarrondo,Venezuela,FC Nantes,2,0
Alaeddine Yahia,Tunisia,SM Caen,2,0
Vincent Aboubakar,Cameroon,FC Lorient,1,1
Baptiste Aloé,France,Olympique Marseille,1,0
Benjamin André,France,Stade Rennes,1,0
Sylvain Armand,France,Stade Rennes,1,0
Mathias Autret,France,FC Lorient,1,0
Djamel Bakar,France,Montpellier HSC,1,0
Florent Balmont,France,Lille OSC,1,0
Ismaël Bangoura,Guinea,FC Nantes,1,0
Abdelaziz Barrada,Morocco,Olympique Marseille,1,0
Marko Baša,Montenegro,Lille OSC,1,0
Paul Baysse,France,AS Saint-Étienne,1,0
Saïd Benrahma,Algeria,OGC Nice,1,0
Nicki Bille Nielsen,Denmark,Évian Thonon Gaillard,1,0
Nicolás Blandi,Argentina,Évian Thonon Gaillard,1,0
Grégory Bourillon,France,Stade Reims,1,0
Jonathan Brison,France,AS Saint-Étienne,1,0
Yohan Cabaye,France,Paris Saint-Germain,1,0
Yannick Cahuzac,France,SC Bastia,1,0
Zoumana Camara,France,Paris Saint-Germain,1,0
Cédric Cambon,France,Évian Thonon Gaillard,1,0
Jérémy Clément,France,AS Saint-Étienne,1,0
Renaud Cohade,France,AS Saint-Étienne,1,0
Sébastien Corchia,France,Lille OSC,1,0
Enzo Crivelli,France,Girondins Bordeaux,1,0
Damien Da Silva,France,SM Caen,1,0
Gaël Danic,France,Olympique Lyon,1,0
Antoine Devaux,France,Stade Reims,1,0
Moustapha Diallo,Senegal,EA Guingamp,1,0
Didier Digard,France,OGC Nice,1,0
Ladislas Douniama,Congo,EA Guingamp,1,0
Elderson Echiéjilé,Nigeria,AS Monaco,1,0
 Fabinho,Brazil,AS Monaco,1,0
Jordan Ferri,France,Olympique Lyon,1,0
Lamine Gassama,Senegal,FC Lorient,1,0
Romain Genevois,Haiti,OGC Nice,1,0
Maxime Gonalons,France,Olympique Lyon,1,1
Clément Grenier,France,Olympique Lyon,1,0
Niklas Hult,Sweden,OGC Nice,1,0
Lars Jacobsen,Denmark,EA Guingamp,1,0
Christophe Jallet,France,Olympique Lyon,1,0
Jean-Armel Kana-Biyik,Cameroon,Toulouse FC,1,0
Ahmed Kantari,Morocco,RC Lens,1,1
Ahmed Kashi,France,FC Metz,1,0
Isaac Kiese Thelin,Sweden,Girondins Bordeaux,1,0
Simon Kjær,Denmark,Lille OSC,1,0
Geoffrey Kondogbia,France,AS Monaco,1,0
Bakary Koné,Burkina Faso,Olympique Lyon,1,0
Djakaridja Koné,Burkina Faso,Évian Thonon Gaillard,1,0
Lamine Koné,Ivory Coast,FC Lorient,1,0
Sergey Krivets,Belarus,FC Metz,1,0
Grejohn Kyei,France,Stade Reims,1,0
Vincent Le Goff,France,FC Lorient,1,0
Kévin Lejeune,France,FC Metz,1,0
Thomas Lemar,France,SM Caen,1,0
Dorian Lévêque,France,EA Guingamp,1,0
Aristote Madiani,France,RC Lens,1,0
 Mariano,Brazil,Girondins Bordeaux,1,0
Jonas Martin,France,Montpellier HSC,1,0
Sylvain Marveaux,France,EA Guingamp,1,0
 Matheus Carvalho,Brazil,AS Monaco,1,0
Neal Maupay,Argentina,OGC Nice,1,0
Rio Mavuba,France,Lille OSC,1,0
Jonathan Mensah,Ghana,Évian Thonon Gaillard,1,0
Guido Milán,Argentina,FC Metz,1,0
Victor Montaño,Colombia,Montpellier HSC,1,0
Jérémy Morel,France,Olympique Marseille,1,0
Mehdi Mostefa,Algeria,FC Lorient,1,0
Yrondu Musavu-King,Gabon,SM Caen,1,0
Landry N'Guémo,Cameroon,AS Saint-Étienne,1,0
Pavle Ninkov,Serbia,Toulouse FC,1,0
Lalaina Nomenjanahary,Madagascar,RC Lens,1,0
Dany Nounkeu,Cameroon,Évian Thonon Gaillard,1,0
 Odaïr Fortes,Cape Verde,Stade Reims,1,0
Billel Omrani,France,Olympique Marseille,1,0
José Palomino,Argentina,FC Metz,1,0
Lloyd Palun,Gabon,OGC Nice,1,0
Loïc Perrin,France,AS Saint-Étienne,1,0
Alexi Peuget,France,Stade Reims,1,0
Marc Planus,France,Girondins Bordeaux,1,0
Florentin Pogba,Guinea,AS Saint-Étienne,1,0
Maxime Poundje,France,Girondins Bordeaux,1,0
Sanjin Prcić,Bosnia-Herzegovina,Stade Rennes,1,0
Grégoire Puel,France,OGC Nice,1,0
Florian Raspentino,Algeria,SM Caen,1,0
Moustapha Sall,Senegal,AS Saint-Étienne,1,0
Lamine Sané,Senegal,Girondins Bordeaux,1,0
Ferjani Sassi,Tunisia,FC Metz,1,0
Grégory Sertić,France,Girondins Bordeaux,1,0
Nicolas Seube,France,SM Caen,1,0
Itay Shechter,Israel,FC Nantes,1,0
Pantxi Sirieix,France,Toulouse FC,1,0
Olivier Sorlin,France,Évian Thonon Gaillard,1,0
Issiaga Sylla,Guinea,Toulouse FC,1,0
Franck Tabanou,France,AS Saint-Étienne,1,0
Yeltsin Tejeda,Costa Rica,Évian Thonon Gaillard,1,0
 Thiago Silva,Brazil,Paris Saint-Germain,1,0
 Tiago Ilori,Portugal,Girondins Bordeaux,1,0
Almamy Touré,Mali,AS Monaco,1,0
Lacina Traoré,Ivory Coast,AS Monaco,1,0
Samuel Umtiti,France,Olympique Lyon,1,0
Pierrick Valdivia,France,RC Lens,1,0
Gregory van der Wiel,Netherlands,Paris Saint-Germain,1,0
Cédric Yamberé,France,Girondins Bordeaux,1,0
Sambou Yatabaré,Mali,EA Guingamp,1,0
Mohamed Yattara,Guinea,Olympique Lyon,1,0
