player,country,team,assists
Dimitri Payet,France,Olympique Marseille,17
Javier Pastore,Argentina,Paris Saint-Germain,12
Nabil Fekir,France,Olympique Lyon,10
Yannick Ferreira-Carrasco,Belgium,AS Monaco,10
Romain Hamouma,France,AS Saint-Étienne,10
Marco Verratti,Italy,Paris Saint-Germain,9
Sofiane Boufal,Morocco,Lille OSC,8
Zlatan Ibrahimović,Sweden,Paris Saint-Germain,8
Anthony Mounier,France,Montpellier HSC,8
Alassane Pléa,France,OGC Nice,8
 Diego,Brazil,Stade Reims,7
Jérémy Pied,France,EA Guingamp,7
Julien Féret,France,SM Caen,6
Jordan Ferri,France,Olympique Lyon,6
Alexandre Lacazette,France,Olympique Lyon,6
Clinton N'Jie,Cameroon,Olympique Lyon,6
Serge Aurier,Ivory Coast,Paris Saint-Germain,5
Jordan Ayew,Ghana,FC Lorient,5
Claudio Beauvue,Guadeloupe,EA Guingamp,5
Gaëtan Charbonnier,France,Stade Reims,5
Abdoulaye Doucouré,France,Stade Rennes,5
Valentin Eysseric,France,OGC Nice,5
 João Moutinho,Portugal,AS Monaco,5
N'Golo Kanté,France,SM Caen,5
Wahbi Khazri,Tunisia,Girondins Bordeaux,5
Ezequiel Lavezzi,Argentina,Paris Saint-Germain,5
 Lucas,Brazil,Paris Saint-Germain,5
Florent Malouda,French Guyana,FC Metz,5
Nicolas Maurice-Belay,France,Girondins Bordeaux,5
Paul-Georges Ntep,France,Stade Rennes,5
Aleksandar Pešić,Serbia,Toulouse FC,5
Younousse Sankharé,Senegal,EA Guingamp,5
Franck Tabanou,France,AS Saint-Étienne,5
Jordan Veretout,France,FC Nantes,5
Romain Alessandrini,France,Olympique Marseille,4
Éric Bauthéac,France,OGC Nice,4
Gaëtan Bussmann,France,FC Metz,4
 Carlos Eduardo,Brazil,OGC Nice,4
Gaël Danic,France,Olympique Lyon,4
Yoann Gourcuff,France,Olympique Lyon,4
Max Gradel,Ivory Coast,AS Saint-Étienne,4
Benjamin Jeannot,France,FC Lorient,4
Layvin Kurzawa,France,AS Monaco,4
Thomas Lemar,France,SM Caen,4
Anthony Martial,France,AS Monaco,4
Jonas Martin,France,Montpellier HSC,4
Benjamin Mendy,France,Olympique Marseille,4
Walid Mesloub,Algeria,FC Lorient,4
Divock Origi,Belgium,Lille OSC,4
 Raphaël Guerreiro,Portugal,FC Lorient,4
Adrien Regattin,Morocco,Toulouse FC,4
Bouna Sarr,Guinea,FC Metz,4
Florian Thauvin,France,Olympique Marseille,4
Adrien Thomasson,France,Évian Thonon Gaillard,4
Gregory van der Wiel,Netherlands,Paris Saint-Germain,4
Daniel Wass,Denmark,Évian Thonon Gaillard,4
Kassim Abdallah,France,Évian Thonon Gaillard,3
Jean-Daniel Akpa-Akpro,Ivory Coast,Toulouse FC,3
André Ayew,Ghana,Olympique Marseille,3
Floyd Ayité,Togo,SC Bastia,3
Ludovic Baal,French Guyana,RC Lens,3
Jean-Christophe Bahebeck,France,Paris Saint-Germain,3
Florent Balmont,France,Lille OSC,3
Yacine Bammou,Morocco,FC Nantes,3
Lucas Barrios,Paraguay,Montpellier HSC,3
Hervé Bazile,Haiti,SM Caen,3
Henri Bédimo,Cameroon,Olympique Lyon,3
Wissam Ben Yedder,France,Toulouse FC,3
Kévin Bérigaud,France,Montpellier HSC,3
 Bernardo Silva,Portugal,AS Monaco,3
Christian Brüls,Belgium,Stade Rennes,3
Benjamin Corgnet,France,AS Saint-Étienne,3
Adamo Coulibaly,France,RC Lens,3
Bryan Dabo,France,Montpellier HSC,3
Nicolas de Préville,France,Stade Reims,3
Brice Dja Djedjé,Ivory Coast,Olympique Marseille,3
Rachid Ghezzal,Algeria,Olympique Lyon,3
Kamil Grosicki,Poland,Stade Rennes,3
Christophe Jallet,France,Olympique Lyon,3
François Kamano,Guinea,SC Bastia,3
Isaac Kiese Thelin,Sweden,Girondins Bordeaux,3
Kévin Lejeune,France,FC Metz,3
Fabien Lemoine,France,AS Saint-Étienne,3
Christophe Mandanne,Réunion,EA Guingamp,3
 Mariano,Brazil,Girondins Bordeaux,3
Sylvain Marveaux,France,EA Guingamp,3
 Maxwell,Brazil,Paris Saint-Germain,3
Lalaina Nomenjanahary,Madagascar,RC Lens,3
 Odaïr Fortes,Cape Verde,Stade Reims,3
 Pedro Henrique,Brazil,Stade Rennes,3
Florian Raspentino,Algeria,SM Caen,3
Diego Rolán,Uruguay,Girondins Bordeaux,3
Nolan Roux,France,Lille OSC,3
Emiliano Sala,Argentina,Girondins Bordeaux,3
Morgan Sanson,France,Montpellier HSC,3
Modou Sougou,Senegal,Évian Thonon Gaillard,3
 Thiago Motta,Italy,Paris Saint-Germain,3
Thomas Touré,Ivory Coast,Girondins Bordeaux,3
Óscar Trejo,Argentina,Toulouse FC,3
Ricky van Wolfswinkel,Netherlands,AS Saint-Étienne,3
Dennis Appiah,France,SM Caen,2
Cédric Barbosa,France,Évian Thonon Gaillard,2
Saïd Benrahma,Algeria,OGC Nice,2
Ryad Boudebouz,Algeria,SC Bastia,2
Martin Braithwaite,Denmark,Toulouse FC,2
Souleymane Camara,Senegal,Montpellier HSC,2
Dimitri Cavaré,France,RC Lens,2
Clément Chantôme,France,Girondins Bordeaux,2
Diego Contento,Germany,Girondins Bordeaux,2
Wylan Cyprien,France,RC Lens,2
Romain Danzé,France,Stade Rennes,2
Cheick Diabaté,Mali,Girondins Bordeaux,2
Nabil Dirar,Morocco,AS Monaco,2
Tongo Doumbia,Mali,Toulouse FC,2
Rod Fanni,France,Olympique Marseille,2
Serge Gakpé,Togo,FC Nantes,2
André-Pierre Gignac,France,Olympique Marseille,2
Guillaume Gillet,Belgium,SC Bastia,2
Maxime Gonalons,France,Olympique Lyon,2
Clément Grenier,France,Olympique Lyon,2
Idrissa Gueye,Senegal,Lille OSC,2
Philipp Hosiner,Austria,Stade Rennes,2
Giannelli Imbula,France,Olympique Marseille,2
Bengali-Fodé Koita,France,SM Caen,2
Aïssa Mandi,Algeria,Stade Reims,2
Blaise Matuidi,France,Paris Saint-Germain,2
François Moubandje,Switzerland,Toulouse FC,2
David N'Gog,France,Stade Reims,2
Lenny Nangis,France,SM Caen,2
Julien Palmieri,France,SC Bastia,2
Mathieu Peybernes,France,SC Bastia,2
Jaroslav Plašil,Czech Republic,Girondins Bordeaux,2
Alaixys Romao,Togo,Olympique Marseille,2
 Rony Lopes,Portugal,Lille OSC,2
Allan Saint-Maximin,France,AS Saint-Étienne,2
Nicolas Seube,France,SM Caen,2
Djibril Sidibé,France,Lille OSC,2
Franck Signorino,France,Stade Reims,2
Gilles Sunu,Togo,Évian Thonon Gaillard,2
Yeltsin Tejeda,Costa Rica,Évian Thonon Gaillard,2
Corentin Tolisso,France,Olympique Lyon,2
Samuel Umtiti,France,Olympique Lyon,2
Sambou Yatabaré,Mali,EA Guingamp,2
Rafidine Abdullah,Comoros,FC Lorient,1
Jordan Adéoti,Benin,SM Caen,1
Abel Aguilar,Colombia,Toulouse FC,1
Jordan Amavi,France,OGC Nice,1
Johan Audel,Martinique,FC Nantes,1
Mathias Autret,France,FC Lorient,1
Djamel Bakar,France,Montpellier HSC,1
Ismaël Bangoura,Guinea,FC Nantes,1
Maxime Barthelmé,France,FC Lorient,1
Alejandro Bedoya,USA,FC Nantes,1
Nicolas Benezet,France,Évian Thonon Gaillard,1
Franck Béria,France,Lille OSC,1
Milan Biševac,Serbia,Olympique Lyon,1
Yann Bodiger,France,Toulouse FC,1
Alexy Bosetti,France,OGC Nice,1
Benjamin Bourigeaud,France,RC Lens,1
Gianni Bruno,Belgium,Évian Thonon Gaillard,1
Yohan Cabaye,France,Paris Saint-Germain,1
Yannick Cahuzac,France,SC Bastia,1
Jean Calvé,France,SM Caen,1
Zoumana Camara,France,Paris Saint-Germain,1
Edinson Cavani,Uruguay,Paris Saint-Germain,1
Jérémy Clément,France,AS Saint-Étienne,1
François Clerc,France,AS Saint-Étienne,1
Sébastien Corchia,France,Lille OSC,1
Enzo Crivelli,France,Girondins Bordeaux,1
Mathieu Deplagne,France,Montpellier HSC,1
Moustapha Diallo,Senegal,EA Guingamp,1
Étienne Didot,France,Toulouse FC,1
Didier Digard,France,OGC Nice,1
Lucas Digne,France,Paris Saint-Germain,1
Laurent Dos Santos,France,EA Guingamp,1
Abdelhamid El-Kaoutari,Morocco,Montpellier HSC,1
Mevlüt Erdinç,Turkey,AS Saint-Étienne,1
Michael Frey,Switzerland,Lille OSC,1
Lamine Gassama,Senegal,FC Lorient,1
Romain Genevois,Haiti,OGC Nice,1
Valère Germain,France,AS Monaco,1
Thibault Giresse,France,EA Guingamp,1
Dragoş Grigore,Romania,Toulouse FC,1
Mahamadou Habibou,Central Afr. Republic,Stade Rennes,1
Kian Hansen,Denmark,FC Nantes,1
Niklas Hult,Sweden,OGC Nice,1
Emmanuel Imorou,Benin,SM Caen,1
Lars Jacobsen,Denmark,EA Guingamp,1
Yann Jouffre,France,FC Lorient,1
Abdoulaye Keita,Mali,SC Bastia,1
Geoffrey Kondogbia,France,AS Monaco,1
Lamine Koné,Ivory Coast,FC Lorient,1
Sergey Krivets,Belarus,FC Metz,1
Valentin Lavigne,France,FC Lorient,1
Vincent Le Goff,France,FC Lorient,1
Jérôme Le Moigne,France,RC Lens,1
Reynald Lemaître,France,EA Guingamp,1
Cheikh M'Bengue,Senegal,Stade Rennes,1
Aristote Madiani,France,RC Lens,1
Steed Malbranque,France,Olympique Lyon,1
Joris Marveaux,France,Montpellier HSC,1
 Matheus Carvalho,Brazil,AS Monaco,1
Chris Mavinga,Congo DR,Stade Reims,1
Ryan Mendes,Cape Verde,Lille OSC,1
Oménuké Mfulu,Congo DR,Stade Reims,1
Yohan Mollo,France,AS Saint-Étienne,1
Kévin Monnet-Paquet,France,AS Saint-Étienne,1
Taylor Moore,England,RC Lens,1
Mehdi Mostefa,Algeria,FC Lorient,1
Benjamin Moukandjo,Cameroon,Stade Reims,1
Deme N'Diaye,Senegal,RC Lens,1
Yeni N'Gbakoto,France,FC Metz,1
Georges-Kévin N'Koudou,France,FC Nantes,1
Clarck N'Sikulu,Congo DR,Évian Thonon Gaillard,1
Didier Ndong,Gabon,FC Lorient,1
Adama Niane,Mali,FC Nantes,1
Pavle Ninkov,Serbia,Toulouse FC,1
Lucas Ocampos,Argentina,AS Monaco,1
Vincent Pajot,France,Stade Rennes,1
José Palomino,Argentina,FC Metz,1
Romain Philippoteaux,France,FC Lorient,1
Jean-Jacques Pierre,Haiti,SM Caen,1
Maxime Poundje,France,Girondins Bordeaux,1
