player,country,team,assists
Isaac Kiese Thelin,Sweden,Girondins Bordeaux,2
Layvin Kurzawa,France,Paris Saint-Germain,2
Paul Lasne,France,Montpellier HSC,2
Aaron Leya Iseka,Belgium,Olympique Marseille,2
Giovani Lo Celso,Argentina,Paris Saint-Germain,2
 Lucas Lima,Brazil,FC Nantes,2
Jérémy Ménez,France,Girondins Bordeaux,2
Lenny Nangis,France,SC Bastia,2
Axel Ngando,France,SC Bastia,2
Casimir Ninga,Chad,Montpellier HSC,2
Adam Ounas,Algeria,Girondins Bordeaux,2
Julien Palmieri,France,Lille OSC,2
Benoît Pedretti,France,AS Nancy,2
Loïc Perrin,France,AS Saint-Étienne,2
Romain Philippoteaux,France,FC Lorient,2
Vincent Rüfli,Switzerland,Dijon FCO,2
Henri Saivet,Senegal,AS Saint-Étienne,2
Hiroki Sakai,Japan,Olympique Marseille,2
Ivan Santini,Croatia,SM Caen,2
Bouna Sarr,Guinea,Olympique Marseille,2
 Sergi Darder,Spain,Olympique Lyon,2
Stéphane Sessègnon,Benin,Montpellier HSC,2
Naïm Sliti,Tunisia,Lille OSC,2
Flavien Tait,France,Angers SCO,2
Kévin Théophile-Catherine,France,AS Saint-Étienne,2
 Thiago Silva,Brazil,Paris Saint-Germain,2
Adrien Thomasson,France,FC Nantes,2
Valentín Vada,Argentina,Girondins Bordeaux,2
 Xeka,Portugal,Lille OSC,2
Youssef Aït Bennasser,Morocco,AS Nancy,1
Romain Alessandrini,France,Olympique Marseille,1
Jérémie Aliadiére,France,FC Lorient,1
Junior Alonso,Paraguay,Lille OSC,1
Benjamin Angoua,Ivory Coast,EA Guingamp,1
 Anthony Lopes,Portugal,Olympique Lyon,1
Mauro Arambarri,Uruguay,Girondins Bordeaux,1
Benoît Assou-Ekotto,Cameroon,FC Metz,1
Tiemoué Bakayoko,France,AS Monaco,1
Mario Balotelli,Italy,OGC Nice,1
Yacine Bammou,Morocco,FC Nantes,1
Maxime Barthelmé,France,FC Lorient,1
Paul Baysse,France,OGC Nice,1
Jérémie Bela,France,Dijon FCO,1
Anthony Belmonte,France,Dijon FCO,1
Nicolas Benezet,France,EA Guingamp,1
Pierre Bengtsson,Sweden,SC Bastia,1
Ludovic Blas,France,EA Guingamp,1
Mathieu Bodmer,France,EA Guingamp,1
Erick Cabaco,Uruguay,AS Nancy,1
Pierrick Capelle,France,Angers SCO,1
Guido Carrillo,Argentina,AS Monaco,1
Fouad Chafik,Morocco,Dijon FCO,1
Diego Contento,Germany,Girondins Bordeaux,1
Enzo Crivelli,France,SC Bastia,1
Joffrey Cuffaut,France,AS Nancy,1
Damien Da Silva,France,SM Caen,1
Bryan Dabo,France,AS Saint-Étienne,1
Moustapha Diallo,Senegal,EA Guingamp,1
Étienne Didot,France,EA Guingamp,1
Anastasios Donis,Greece,OGC Nice,1
Cheick Doukouré,Ivory Coast,FC Metz,1
Jimmy Durmaz,Sweden,Toulouse FC,1
Moryké Fofana,Ivory Coast,FC Lorient,1
 Gonçalo Guedes,Portugal,Paris Saint-Germain,1
Frédéric Guilbert,France,Girondins Bordeaux,1
Youssouf Hadji,Morocco,AS Nancy,1
Amine Harit,Morocco,FC Nantes,1
Jordan Ikoko,Congo DR,EA Guingamp,1
Jonathan Ikoné,France,Montpellier HSC,1
Benjamin Jeannot,France,FC Lorient,1
 Jemerson,Brazil,AS Monaco,1
 Jorghinho,Portugal,AS Saint-Étienne,1
Christopher Jullien,France,Toulouse FC,1
Aldo Kalulu,France,Olympique Lyon,1
Christophe Kerbrat,France,EA Guingamp,1
Erwin Koffi,France,FC Lorient,1
Vincent Koziello,France,OGC Nice,1
Mickaël Le Bihan,France,OGC Nice,1
Vincent Le Goff,France,FC Lorient,1
Igor Lewczuk,Poland,Girondins Bordeaux,1
Alexandre Llovet,France,Montpellier HSC,1
Cheikh M'Bengue,Senegal,AS Saint-Étienne,1
Christophe Mandanne,Réunion,AS Nancy,1
Mohamed Mara,Guinea,FC Lorient,1
Vincent Marchetti,France,AS Nancy,1
Jordan Marié,France,Dijon FCO,1
Marvin Martin,France,Dijon FCO,1
Isaac Mbenza,Belgium,Montpellier HSC,1
Walid Mesloub,Algeria,FC Lorient,1
 Mexer,Mozambique,Stade Rennes,1
Florent Mollet,France,FC Metz,1
Mehdi Mostefa,Algeria,SC Bastia,1
François Moubandje,Switzerland,Toulouse FC,1
Benjamin Moukandjo,Cameroon,FC Lorient,1
Ndombe Mubele,Congo DR,Stade Rennes,1
Arnold Mvuemba,France,FC Lorient,1
