player,country,team,assists
Joel Campbell,Costa Rica,FC Lorient,1
Benoît Cheyrou,France,Olympique Marseille,1
Michaël Ciani,France,Girondins Bordeaux,1
Édouard Cissé,France,AJ Auxerre,1
Aly Cissokho,France,Olympique Lyon,1
François Clerc,France,OGC Nice,1
Kafoumba Coulibaly,Ivory Coast,OGC Nice,1
Mathieu Coutadeur,France,FC Lorient,1
Stéphane Dalmat,France,Stade Rennes,1
Mathieu Debuchy,France,Lille OSC,1
Geoffrey Dernis,France,Montpellier HSC,1
Antoine Devaux,France,Toulouse FC,1
Zié Diabaté,Ivory Coast,Dijon FCO,1
Alou Diarra,France,Olympique Marseille,1
Sigamary Diarra,Mali,FC Lorient,1
Souleymane Diawara,Senegal,Olympique Marseille,1
Didier Digard,France,OGC Nice,1
Brice Dja Djedjé,Ivory Coast,Évian Thonon Gaillard,1
Tongo Doumbia,Mali,Stade Rennes,1
David Ducourtioux,France,Valenciennes FC,1
Albin Ebondo,France,AS Saint-Étienne,1
Innocent Emeghara,Switzerland,FC Lorient,1
Rod Fanni,France,Olympique Marseille,1
Pierre-Alain Frau,France,SM Caen,1
Yoann Gourcuff,France,Olympique Lyon,1
Sidney Govou,France,Évian Thonon Gaillard,1
Elliot Grandin,France,OGC Nice,1
Josuha Guilavogui,France,AS Saint-Étienne,1
Massadio Haïdara,France,AS Nancy,1
David Hellebuyck,France,OGC Nice,1
 Hilton,Brazil,Montpellier HSC,1
Nicolas Isimat-Mirin,France,Valenciennes FC,1
Cyril Jeunechamp,France,Montpellier HSC,1
Jo-gook Jung,South Korea,AJ Auxerre,1
 Jussiê,Brazil,Girondins Bordeaux,1
Charles Kaboré,Burkina Faso,Olympique Marseille,1
Gaël Kakuta,France,Dijon FCO,1
Jean-Armel Kana-Biyik,Cameroon,Stade Rennes,1
Lamine Koné,Ivory Coast,FC Lorient,1
Alexandre Lacazette,France,Olympique Lyon,1
Grégory Leca,France,SM Caen,1
Mario Lička,Czech Republic,Stade Brest,1
Lisandro López,Argentina,Olympique Lyon,1
Dejan Lovren,Croatia,Olympique Lyon,1
Yann M'Vila,France,Stade Rennes,1
Thomas Mangani,France,AS Nancy,1
Sylvain Marchal,France,AS Saint-Étienne,1
Lucas Mareque,Argentina,FC Lorient,1
Rudy Mater,France,Valenciennes FC,1
Blaise Matuidi,France,Paris Saint-Germain,1
Jean-Pascal Mignot,France,AS Saint-Étienne,1
Yassine Mikari,Tunisia,FC Sochaux,1
Benjamin Moukandjo,Cameroon,AS Nancy,1
Eric Mouloungui,Gabon,OGC Nice,1
Landry N'Guémo,Cameroon,Girondins Bordeaux,1
Tae-hee Nam,South Korea,Valenciennes FC,1
Pavle Ninkov,Serbia,Toulouse FC,1
Benjamin Nivet,France,SM Caen,1
Vincent Nogueira,France,FC Sochaux,1
 Paulo Machado,Portugal,Toulouse FC,1
Loïc Perrin,France,AS Saint-Étienne,1
Jérémy Pied,France,Olympique Lyon,1
Loïc Poujol,France,FC Sochaux,1
Sébastien Puygrenier,France,AS Nancy,1
Mohammed Rabiu,Ghana,Évian Thonon Gaillard,1
