player,country,team,goal,penalty
Gonzalo Higuaín,Argentina,SSC Napoli,36,3
Paulo Dybala,Argentina,Juventus,19,6
Carlos Bacca,Colombia,AC Milan,18,2
Mauro Icardi,Argentina,Inter,16,1
Leonardo Pavoletti,Italy,Genoa CFC,14,0
Mohamed Salah,Egypt,AS Roma,14,0
 Éder,Italy,Inter,13,3
Josip Iličič,Slovenia,ACF Fiorentina,13,7
Massimo Maccarone,Italy,Empoli FC,13,1
Andrea Belotti,Italy,Torino FC,12,4
Lorenzo Insigne,Italy,SSC Napoli,12,2
Nikola Kalinić,Croatia,ACF Fiorentina,12,0
Cyril Théréau,France,Udinese Calcio,11,0
Antonio Candreva,Italy,Lazio Roma,10,6
Alberto Gilardino,Italy,US Palermo,10,0
Mario Mandžukić,Croatia,Juventus,10,0
Miralem Pjanić,Bosnia-Herzegovina,AS Roma,10,1
Daniel Ciofani,Italy,Frosinone Calcio,9,2
Federico Dionisi,Italy,Frosinone Calcio,9,1
Marco Borriello,Italy,Atalanta,8,1
Mattia Destro,Italy,Bologna FC,8,2
Edin Džeko,Bosnia-Herzegovina,AS Roma,8,2
Stephan El Shaarawy,Italy,AS Roma,8,0
Alberto Paloschi,Italy,Chievo Verona,8,1
Paul Pogba,France,Juventus,8,1
Fabio Quagliarella,Italy,Sampdoria,8,1
Roberto Soriano,Italy,Sampdoria,8,0
Franco Vázquez,Italy,US Palermo,8,1
Duván Zapata,Colombia,Udinese Calcio,8,0
Domenico Berardi,Italy,Sassuolo Calcio,7,3
Gregoire Defrel,France,Sassuolo Calcio,7,0
 Felipe Anderson,Brazil,Lazio Roma,7,0
Alessandro Florenzi,Italy,AS Roma,7,0
Emanuele Giaccherini,Italy,Bologna FC,7,0
Papu Gómez,Argentina,Atalanta,7,0
 José Callejón,Spain,SSC Napoli,7,0
Miroslav Klose,Germany,Lazio Roma,7,1
 Morata,Spain,Juventus,7,1
Ivan Perišić,Croatia,Inter,7,0
Nicola Sansone,Italy,Sassuolo Calcio,7,0
Valter Birsa,Slovenia,Chievo Verona,6,2
Giacomo Bonaventura,Italy,AC Milan,6,0
Sergio Floccari,Italy,Bologna FC,6,0
 Gervinho,Ivory Coast,AS Roma,6,0
Marek Hamšík,Slovakia,SSC Napoli,6,1
Stevan Jovetić,Montenegro,Inter,6,1
Luis Muriel,Colombia,Sampdoria,6,0
Radja Nainggolan,Belgium,AS Roma,6,0
Giampaolo Pazzini,Italy,Hellas Verona,6,3
Manuel Pucciarelli,Italy,Empoli FC,6,0
 Suso,Spain,AC Milan,6,0
Luca Toni,Italy,Hellas Verona,6,3
Khouma Babacar,Senegal,ACF Fiorentina,5,1
Manolo Gabbiadini,Italy,SSC Napoli,5,1
Ciro Immobile,Italy,Torino FC,5,2
Sami Khedira,Germany,Juventus,5,0
Kevin Lasagna,Italy,Carpi FC,5,0
Riccardo Meggiorini,Italy,Chievo Verona,5,0
Dries Mertens,Belgium,SSC Napoli,5,0
M'Baye Niang,Senegal,AC Milan,5,2
Sergio Pellissier,Italy,Chievo Verona,5,2
Mauricio Pinilla,Chile,Atalanta,5,0
Eros Pisano,Italy,Hellas Verona,5,0
Matteo Politano,Italy,Sassuolo Calcio,5,0
Riccardo Saponara,Italy,Empoli FC,5,0
Francesco Totti,Italy,AS Roma,5,1
Simone Zaza,Italy,Juventus,5,0
Piotr Zieliński,Poland,Empoli FC,5,0
Francesco Acerbi,Italy,Sassuolo Calcio,4,0
Emmanuel Agyemang-Badu,Ghana,Udinese Calcio,4,0
Keita Baldé,Senegal,Lazio Roma,4,0
Daniele Baselli,Italy,Torino FC,4,0
Lucas Biglia,Argentina,Lazio Roma,4,2
