player,country,team,goal,penalty
Martin Amedick,Germany,1. FC Kaiserslautern,2,0
Tranquillo Barnetta,Switzerland,Bayer Leverkusen,2,0
Fin Bartels,Germany,FC St. Pauli,2,0
Arthur Boka,Ivory Coast,VfB Stuttgart,2,0
Eric Maxim Choupo-Moting,Cameroon,Hamburger SV,2,0
 Chris,Brazil,Eintracht Frankfurt,2,0
Christian Clemens,Germany,1. FC Köln,2,0
Almog Cohen,Israel,1. FC Nürnberg,2,0
Marvin Compper,Germany,1899 Hoffenheim,2,0
 Dante,Brazil,Bor. Mönchengladbach,2,0
 Duncan,Denmark,1. FSV Mainz 05,2,0
Eljero Elia,Netherlands,Hamburger SV,2,0
Johannes Flum,Germany,SC Freiburg,2,0
Mike Frantz,Germany,1. FC Nürnberg,2,0
Timo Gebhart,Germany,VfB Stuttgart,2,1
 Geromel,Brazil,1. FC Köln,2,0
Mato Jajalo,Bosnia-Herzegovina,1. FC Köln,2,0
Marcell Jansen,Germany,Hamburger SV,2,0
Gojko Kačar,Serbia,Hamburger SV,2,0
Michal Kadlec,Czech Republic,Bayer Leverkusen,2,0
Benjamin Köhler,Germany,Eintracht Frankfurt,2,0
Max Kruse,Germany,FC St. Pauli,2,0
Martin Lanig,Germany,1. FC Köln,2,0
Joris Mathijsen,Netherlands,Hamburger SV,2,0
Adam Matuszczyk,Poland,1. FC Köln,2,0
Alexander Meier,Germany,Eintracht Frankfurt,2,0
Per Mertesacker,Germany,Werder Bremen,2,0
Youssef Mohamad,Lebanon,1. FC Köln,2,0
Nikolče Noveski,Macedonia,1. FSV Mainz 05,2,0
Patrick Ochs,Germany,Eintracht Frankfurt,2,0
Shinji Okazaki,Japan,VfB Stuttgart,2,0
Javier Pinola,Argentina,1. FC Nürnberg,2,1
Jonathan Pitroipa,Burkina Faso,Hamburger SV,2,0
Stefan Reinartz,Germany,Bayer Leverkusen,2,0
Sascha Riether,Germany,VfL Wolfsburg,2,0
Marcel Risse,Germany,1. FSV Mainz 05,2,0
Stiven Rivić,Croatia,1. FC Kaiserslautern,2,0
Sebastian Rode,Germany,Eintracht Frankfurt,2,0
