player,country,team,goal,penalty
Alexander Meier,Germany,Eintracht Frankfurt,19,3
Robert Lewandowski,Poland,Bayern München,17,1
Arjen Robben,Netherlands,Bayern München,17,2
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,16,2
Bas Dost,Netherlands,VfL Wolfsburg,16,0
Franco Di Santo,Argentina,Werder Bremen,13,3
Thomas Müller,Germany,Bayern München,13,3
Karim Bellarabi,Germany,Bayer Leverkusen,12,0
Shinji Okazaki,Japan,1. FSV Mainz 05,12,0
 Raffael,Brazil,Bor. Mönchengladbach,12,0
Patrick Herrmann,Germany,Bor. Mönchengladbach,11,0
Max Kruse,Germany,Bor. Mönchengladbach,11,3
Heung-min Son,South Korea,Bayer Leverkusen,11,0
Raúl Bobadilla,Paraguay,FC Augsburg,10,0
Kevin De Bruyne,Belgium,VfL Wolfsburg,10,0
Haris Seferović,Switzerland,Eintracht Frankfurt,10,0
Lars Stindl,Germany,Hannover 96,10,1
Anthony Ujah,Nigeria,1. FC Köln,10,0
Stefan Aigner,Germany,Eintracht Frankfurt,9,0
Eric Maxim Choupo-Moting,Cameroon,FC Schalke 04,9,2
Mario Götze,Germany,Bayern München,9,0
Martin Harnik,Austria,VfB Stuttgart,9,0
Klaas Jan Huntelaar,Netherlands,FC Schalke 04,9,0
Stefan Kießling,Germany,Bayer Leverkusen,9,0
Nils Petersen,Germany,SC Freiburg,9,1
Davie Selke,Germany,Werder Bremen,9,0
Hakan Çalhanoğlu,Turkey,Bayer Leverkusen,8,0
 Joselu,Spain,Hannover 96,8,1
Kevin Volland,Germany,1899 Hoffenheim,8,0
Tobias Werner,Germany,FC Augsburg,8,0
Daniel Caligiuri,Germany,VfL Wolfsburg,7,0
Daniel Ginczek,Germany,VfB Stuttgart,7,0
Anthony Modeste,France,1899 Hoffenheim,7,0
 Naldo,Brazil,VfL Wolfsburg,7,0
Ivica Olić,Croatia,Hamburger SV,7,0
Marco Reus,Germany,Borussia Dortmund,7,0
 Roberto Firmino,Brazil,1899 Hoffenheim,7,0
Julian Schieber,Germany,Hertha BSC,7,0
Vladimír Darida,Czech Republic,SC Freiburg,6,5
Josip Drmić,Switzerland,Bayer Leverkusen,6,0
Zlatko Junuzović,Austria,Werder Bremen,6,0
Elias Kachunga,Congo DR,SC Paderborn 07,6,0
Salomon Kalou,Ivory Coast,Hertha BSC,6,2
Yunus Mallı,Turkey,1. FSV Mainz 05,6,0
Ricardo Rodríguez,Switzerland,VfL Wolfsburg,6,3
Paul Verhaegh,Netherlands,FC Augsburg,6,6
Christian Gentner,Germany,VfB Stuttgart,5,0
Shinji Kagawa,Japan,Borussia Dortmund,5,0
Hiroshi Kiyotake,Japan,Hannover 96,5,0
Ja-cheol Koo,South Korea,1. FSV Mainz 05,5,3
Matthias Lehmann,Germany,1. FC Köln,5,4
Max Meyer,Germany,FC Schalke 04,5,0
Ivan Perišić,Croatia,VfL Wolfsburg,5,0
Eugen Polanski,Poland,1899 Hoffenheim,5,2
Franck Ribéry,France,Bayern München,5,0
Marcel Risse,Germany,1. FC Köln,5,0
Bastian Schweinsteiger,Germany,Bayern München,5,0
Maximilian Arnold,Germany,VfL Wolfsburg,4,0
Fin Bartels,Germany,Werder Bremen,4,0
Roy Beerens,Netherlands,Hertha BSC,4,0
Änis Ben-Hatira,Tunisia,Hertha BSC,4,0
Julian Brandt,Germany,Bayer Leverkusen,4,0
Daniel Didavi,Germany,VfB Stuttgart,4,0
Tarik Elyounoussi,Norway,1899 Hoffenheim,4,0
Mike Frantz,Germany,SC Freiburg,4,0
Johannes Geis,Germany,1. FSV Mainz 05,4,1
Pierre-Michel Lasogga,Germany,Hamburger SV,4,0
Alexander Madlung,Germany,Eintracht Frankfurt,4,0
Admir Mehmedi,Switzerland,SC Freiburg,4,0
Sebastian Rudy,Germany,1899 Hoffenheim,4,0
Lukas Rupp,Germany,SC Paderborn 07,4,0
Jonathan Schmid,France,SC Freiburg,4,0
Moritz Stoppelkamp,Germany,SC Paderborn 07,4,0
Ádám Szalai,Hungary,1899 Hoffenheim,4,0
Rafael van der Vaart,Netherlands,Hamburger SV,4,3
Halil Altintop,Turkey,FC Augsburg,3,0
Tranquillo Barnetta,Switzerland,FC Schalke 04,3,0
Stefan Bell,Germany,1. FSV Mainz 05,3,0
Jimmy Briand,France,Hannover 96,3,0
