player,country,team,goal,penalty
Eliran Atar,Israel,Stade Reims,2,0
Fatih Atik,France,EA Guingamp,2,0
Jean-Christophe Bahebeck,France,Valenciennes FC,2,0
Marko Baša,Montenegro,Lille OSC,2,0
Yassine Benzia,Algeria,Olympique Lyon,2,0
Mathieu Bodmer,France,OGC Nice,2,0
Edouard Butin,France,FC Sochaux,2,0
Aboubacar Camara,Guinea,AC Ajaccio,2,0
Clément Chantôme,France,Toulouse FC,2,0
Benoît Cheyrou,France,Olympique Marseille,2,0
Djibril Cissé,France,SC Bastia,2,0
François Clerc,France,AS Saint-Étienne,2,0
Antoine Devaux,France,Stade Reims,2,0
Moustapha Diallo,Senegal,EA Guingamp,2,0
Ricardo Faty,Senegal,AC Ajaccio,2,0
Gueïda Fofana,France,Olympique Lyon,2,0
Christopher Glombard,Martinique,Stade Reims,2,0
 Henrique,Brazil,Girondins Bordeaux,2,0
Timothée Kolodziejczak,France,OGC Nice,2,0
Bakary Koné,Burkina Faso,Olympique Lyon,2,0
Miloš Krasić,Serbia,SC Bastia,2,0
Anthony Le Tallec,France,Valenciennes FC,2,0
Fabien Lemoine,France,AS Saint-Étienne,2,0
 Lucas Mendes,Brazil,Olympique Marseille,2,0
 Marquinhos,Brazil,Paris Saint-Germain,2,0
Anthony Martial,France,AS Monaco,2,0
Neal Maupay,Argentina,OGC Nice,2,0
Maor Melikson,Israel,Valenciennes FC,2,2
Jérémy Ménez,France,Paris Saint-Germain,2,0
François Modesto,France,SC Bastia,2,0
Mehdi Mostefa,Algeria,AC Ajaccio,2,0
Nicolas N'Koulou,Cameroon,Olympique Marseille,2,0
Clarck N'Sikulu,Congo DR,Évian Thonon Gaillard,2,0
Grenddy Perozo,Venezuela,AC Ajaccio,2,0
Adrien Rabiot,France,Paris Saint-Germain,2,0
Ronny Rodelin,France,Lille OSC,2,0
Diego Rolán,Uruguay,Girondins Bordeaux,2,1
Silvio Romero,Argentina,Stade Rennes,2,0
José Saez,France,Valenciennes FC,2,0
Benjamin Stambouli,France,Montpellier HSC,2,0
Alain Traoré,Burkina Faso,FC Lorient,2,0
Óscar Trejo,Argentina,Toulouse FC,2,0
Abel Aguilar,Colombia,Toulouse FC,1,0
Karim Aït Fana,Morocco,Montpellier HSC,1,0
Jean-Daniel Akpa-Akpro,Ivory Coast,Toulouse FC,1,0
Benjamin Angoua,Ivory Coast,Valenciennes FC,1,0
Aldo Angoula,France,Évian Thonon Gaillard,1,0
Johan Audel,Martinique,FC Nantes,1,0
Djamel Bakar,France,Montpellier HSC,1,0
Tiemoué Bakayoko,France,Stade Rennes,1,0
Ismaël Bangoura,Guinea,FC Nantes,1,0
Cédric Barbosa,France,Évian Thonon Gaillard,1,0
Maxime Barthelmé,France,FC Lorient,1,0
Henri Bédimo,Cameroon,Olympique Lyon,1,0
Vincent Bessat,France,FC Nantes,1,0
Christian Brüls,Belgium,OGC Nice,1,0
Cédric Cambon,France,Évian Thonon Gaillard,1,0
 Carlão,Brazil,FC Sochaux,1,0
Johan Cavalli,France,AC Ajaccio,1,0
Renaud Cohade,France,AS Saint-Étienne,1,0
Daniel Congré,France,Montpellier HSC,1,0
Mathieu Coutadeur,France,FC Lorient,1,0
Marco da Silva,France,Valenciennes FC,1,0
Lucas Deaux,France,FC Nantes,1,0
Jonathan Delaplace,France,Lille OSC,1,0
Jean Deza,Peru,Montpellier HSC,1,0
Sigamary Diarra,Mali,AC Ajaccio,1,0
Souleymane Diawara,Senegal,Olympique Marseille,1,0
Étienne Didot,France,Toulouse FC,1,0
 Diego,Brazil,Stade Reims,1,0
Ismaël Diomandé,Ivory Coast,AS Saint-Étienne,1,0
Nabil Dirar,Morocco,AS Monaco,1,0
Brice Dja Djedjé,Ivory Coast,Évian Thonon Gaillard,1,0
Koffi Djidji,Ivory Coast,FC Nantes,1,0
Cheick Doukouré,Ivory Coast,FC Lorient,1,0
Ladislas Douniama,Congo,EA Guingamp,1,0
David Ducourtioux,France,Valenciennes FC,1,0
Bruno Écuélé,Gabon,FC Lorient,1,0
Fabrice Ehret,France,Évian Thonon Gaillard,1,0
Eloge Enza Yamissi,Central Afr. Republic,Valenciennes FC,1,0
Nabil Fekir,France,Olympique Lyon,1,0
Ludovic Genest,France,SC Bastia,1,0
Faouzi Ghoulam,Algeria,AS Saint-Étienne,1,1
Idrissa Gueye,Senegal,Lille OSC,1,0
Cédric Hountondji,Benin,Stade Rennes,1,0
 Ilan,Brazil,SC Bastia,1,0
Giannelli Imbula,France,Olympique Marseille,1,0
 João Moutinho,Portugal,AS Monaco,1,0
Jean-Armel Kana-Biyik,Cameroon,Stade Rennes,1,0
Claudiu Keșerü,Romania,SC Bastia,1,0
Saber Khalifa,Tunisia,Olympique Marseille,1,0
Geoffrey Kondogbia,France,AS Monaco,1,0
Lamine Koné,Ivory Coast,FC Lorient,1,0
Anders Konradsen,Norway,Stade Rennes,1,0
Steeven Langil,Martinique,EA Guingamp,1,0
Wesley Lautoa,France,FC Lorient,1,0
Joseph Lopy,Senegal,FC Sochaux,1,0
Jean Makoun,Cameroon,Stade Rennes,1,0
Steed Malbranque,France,Olympique Lyon,1,0
Christophe Mandanne,Réunion,EA Guingamp,1,0
Florian Marange,France,FC Sochaux,1,0
Joris Marveaux,France,Montpellier HSC,1,0
Arthur Masuaku,France,Valenciennes FC,1,0
