player,country,team,goal,penalty
Mauro Icardi,Argentina,Inter,22,4
Luca Toni,Italy,Hellas Verona,22,4
Carlos Tévez,Argentina,Juventus,20,2
Gonzalo Higuaín,Argentina,SSC Napoli,18,3
Jérémy Ménez,France,AC Milan,16,8
Domenico Berardi,Italy,Sassuolo Calcio,15,6
Manolo Gabbiadini,Italy,Sampdoria,15,0
Antonio Di Natale,Italy,Udinese Calcio,14,1
Paulo Dybala,Argentina,US Palermo,13,3
Miroslav Klose,Germany,Lazio Roma,13,0
Fabio Quagliarella,Italy,Torino FC,13,3
 Iago Falqué,Spain,Genoa CFC,12,2
 José Callejón,Spain,SSC Napoli,11,0
Simone Zaza,Italy,Sassuolo Calcio,11,1
Antonio Candreva,Italy,Lazio Roma,10,2
 Felipe Anderson,Brazil,Lazio Roma,10,0
Massimo Maccarone,Italy,Empoli FC,10,1
Marco Parolo,Italy,Lazio Roma,10,0
Cyril Théréau,France,Udinese Calcio,10,0
Franco Vázquez,Italy,US Palermo,10,1
Gregoire Defrel,France,AC Cesena,9,0
 Éder,Italy,Sampdoria,9,1
Maxi López,Argentina,Chievo Verona,9,0
Stefano Mauri,Italy,Lazio Roma,9,0
Alberto Paloschi,Italy,Chievo Verona,9,0
Mauricio Pinilla,Chile,Atalanta,9,1
Luca Rigoni,Italy,US Palermo,9,0
Franco Brienza,Italy,AC Cesena,8,3
Germán Denis,Argentina,Atalanta,8,3
Mattia Destro,Italy,AC Milan,8,0
Filip Đorđević,Serbia,Lazio Roma,8,0
Josip Iličič,Slovenia,ACF Fiorentina,8,1
Adem Ljajić,Serbia,AS Roma,8,1
 Morata,Spain,Juventus,8,0
Rodrigo Palacio,Argentina,Inter,8,0
Leonardo Pavoletti,Italy,Genoa CFC,8,0
Paul Pogba,France,Juventus,8,0
Francesco Totti,Italy,AS Roma,8,4
Khouma Babacar,Senegal,ACF Fiorentina,7,0
Giacomo Bonaventura,Italy,AC Milan,7,0
Kamil Glik,Poland,Torino FC,7,0
Marek Hamšík,Slovakia,SSC Napoli,7,0
 Llorente,Spain,Juventus,7,0
Alessandro Matri,Italy,Genoa CFC,7,0
Sergio Pellissier,Italy,Chievo Verona,7,1
Gonzalo Rodríguez,Argentina,ACF Fiorentina,7,1
Riccardo Saponara,Italy,AC Milan,7,1
Marco Sau,Italy,Cagliari Calcio,7,0
Arturo Vidal,Chile,Juventus,7,2
Andrea Belotti,Italy,US Palermo,6,1
Andrea Bertolacci,Italy,Genoa CFC,6,0
 Diego Farias,Brazil,Cagliari Calcio,6,0
Juan Gómez,Argentina,Hellas Verona,6,0
Fredy Guarín,Colombia,Inter,6,0
Keisuke Honda,Japan,AC Milan,6,0
Dries Mertens,Belgium,SSC Napoli,6,1
Mohamed Salah,Egypt,ACF Fiorentina,6,0
Duván Zapata,Colombia,SSC Napoli,6,0
 Alejandro Rodríguez,Spain,AC Cesena,5,1
Antonio Cassano,Italy,Parma FC,5,1
Albin Ekdal,Sweden,Cagliari Calcio,5,0
Alessandro Florenzi,Italy,AS Roma,5,1
 Hernanes,Brazil,Inter,5,0
 João Pedro,Brazil,Cagliari Calcio,5,0
Mateo Kovačić,Croatia,Inter,5,0
Nicolás López,Uruguay,Hellas Verona,5,0
Maximiliano Moralez,Argentina,Atalanta,5,0
Radja Nainggolan,Belgium,AS Roma,5,0
M'Baye Niang,Senegal,AC Milan,5,0
Pablo Osvaldo,Italy,Inter,5,0
Miralem Pjanić,Bosnia-Herzegovina,AS Roma,5,0
Manuel Pucciarelli,Italy,Empoli FC,5,0
Nicola Sansone,Italy,Sassuolo Calcio,5,0
Lorenzo Tonelli,Italy,Empoli FC,5,0
Luca Antonelli,Italy,AC Milan,4,0
Duje Čop,Croatia,Cagliari Calcio,4,0
Juan Cuadrado,Colombia,ACF Fiorentina,4,0
 Danilo Avelar,Brazil,Cagliari Calcio,4,3
Lorenzo De Silvestri,Italy,Sampdoria,4,0
Alberto Gilardino,Italy,ACF Fiorentina,4,0
