player,country,team,goal,penalty
Andreas Christensen,Denmark,Bor. Mönchengladbach,2,0
Kingsley Coman,France,Bayern München,2,0
Marvin Compper,Germany,RB Leipzig,2,0
Mahmoud Dahoud,Germany,Bor. Mönchengladbach,2,0
Vladimír Darida,Czech Republic,Hertha BSC,2,0
Breel Embolo,Switzerland,FC Schalke 04,2,0
Alexander Esswein,Germany,Hertha BSC,2,0
Mijat Gaćinović,Serbia,Eintracht Frankfurt,2,0
Jeffrey Gouweleeuw,Netherlands,FC Augsburg,2,0
Florian Grillitsch,Austria,Werder Bremen,2,0
Benjamin Hübner,Germany,1899 Hoffenheim,2,0
Klaas Jan Huntelaar,Netherlands,FC Schalke 04,2,0
Szabolcs Huszti,Hungary,Eintracht Frankfurt,2,0
 Jairo,Spain,1. FSV Mainz 05,2,2
 Juan Bernat,Spain,Bayern München,2,0
Florian Kainz,Austria,Werder Bremen,2,0
Sonny Kittel,Germany,FC Ingolstadt 04,2,0
Dominik Kohr,Germany,FC Augsburg,2,0
Ja-cheol Koo,South Korea,FC Augsburg,2,0
Kyriakos Papadopoulos,Greece,Bayer Leverkusen,2,0
Sokratis Papastathopoulos,Greece,Borussia Dortmund,2,0
Felix Platte,Germany,SV Darmstadt 98,2,0
Adrián Ramos,Colombia,Borussia Dortmund,2,0
Ante Rebić,Croatia,Eintracht Frankfurt,2,0
Marcel Risse,Germany,1. FC Köln,2,0
Ricardo Rodríguez,Switzerland,VfL Wolfsburg,2,1
Sebastian Rudy,Germany,1899 Hoffenheim,2,0
Lukas Rupp,Germany,1899 Hoffenheim,2,0
Sidney Sam,Germany,SV Darmstadt 98,2,2
Sven Schipplock,Germany,SV Darmstadt 98,2,0
André Schürrle,Germany,Borussia Dortmund,2,1
Sandro Sirigu,Germany,SV Darmstadt 98,2,0
Niklas Süle,Germany,1899 Hoffenheim,2,0
Aytaç Sulu,Turkey,SV Darmstadt 98,2,0
Mitchell Weiser,Germany,Hertha BSC,2,0
 Wendell,Brazil,Bayer Leverkusen,2,0
Oscar Wendt,Sweden,Bor. Mönchengladbach,2,0
