player,country,team,goal,penalty
Moussa Sow,Senegal,Lille OSC,25,1
Kevin Gameiro,France,FC Lorient,22,2
Youssef El-Arabi,Morocco,SM Caen,17,2
Lisandro López,Argentina,Olympique Lyon,17,2
Grégory Pujol,France,Valenciennes FC,17,0
Loïc Rémy,France,OGC Nice,16,0
 Gervinho,Ivory Coast,Lille OSC,15,0
Brown Ideye,Nigeria,FC Sochaux,15,0
Modibo Maïga,Mali,FC Sochaux,15,0
 Nenê,Brazil,Paris Saint-Germain,14,1
Dimitri Payet,France,AS Saint-Étienne,13,1
Olivier Giroud,France,Montpellier HSC,12,3
Chu-young Park,South Korea,AS Monaco,12,3
André Ayew,Ghana,Olympique Marseille,11,0
Bafétimbi Gomis,France,Olympique Lyon,10,0
Anthony Modeste,France,Girondins Bordeaux,10,4
Gaël Danic,France,Valenciennes FC,9,0
Bruno Grougi,Martinique,Stade Brest,9,3
Romain Hamouma,France,SM Caen,9,0
Guillaume Hoarau,France,Paris Saint-Germain,9,1
Victor Montaño,Colombia,Stade Rennes,9,2
Ryad Boudebouz,Algeria,FC Sochaux,8,3
Mevlüt Erdinç,Turkey,Paris Saint-Germain,8,0
André-Pierre Gignac,France,Olympique Marseille,8,0
Lucho González,Argentina,Olympique Marseille,8,0
Youssouf Hadji,Morocco,AS Nancy,8,1
Eric Mouloungui,Gabon,OGC Nice,8,1
Emmanuel Rivière,France,AS Saint-Étienne,8,0
Razak Boukari,Togo,RC Lens,7,1
Eden Hazard,Belgium,Lille OSC,7,0
Bakary Sako,Mali,AS Saint-Étienne,7,2
Jimmy Briand,France,Olympique Lyon,6,0
Julien Féret,France,AS Nancy,6,0
Lynel Kitambala,France,FC Lorient,6,0
Nolan Roux,France,Stade Brest,6,0
Kandia Traoré,Ivory Coast,SM Caen,6,0
Morgan Amalfitano,France,FC Lorient,5,1
 Andre Luiz,Brazil,AS Nancy,5,0
Valter Birsa,Slovenia,AJ Auxerre,5,1
Mathieu Bodmer,France,Paris Saint-Germain,5,1
Daniel Braaten,Norway,Toulouse FC,5,0
Pierre-Alain Frau,France,Lille OSC,5,0
Ireneusz Jeleń,Poland,AJ Auxerre,5,0
Issam Jemâa,Tunisia,RC Lens,5,0
Danijel Ljuboja,Serbia,OGC Nice,5,0
 Michel Bastos,Brazil,Olympique Lyon,5,0
Benoît Pedretti,France,AJ Auxerre,5,0
Damien Perquis,Poland,FC Sochaux,5,0
Federico Santander,Paraguay,Toulouse FC,5,0
Moussa Sissoko,France,Toulouse FC,5,1
Alain Traoré,Burkina Faso,AJ Auxerre,5,0
Bakaye Traoré,Mali,AS Nancy,5,0
Marama Vahirua,France,AS Nancy,5,0
 Adriano,Brazil,AS Monaco,4,0
Pierre-Emerick Aubameyang,Gabon,AS Monaco,4,0
Jonathan Ayité,Togo,Stade Brest,4,1
Laurent Batlles,France,AS Saint-Étienne,4,0
Pascal Berenguer,France,AS Nancy,4,0
Yacine Brahimi,Algeria,Stade Rennes,4,0
Souleymane Camara,Senegal,Montpellier HSC,4,0
Mauro Cetto,Argentina,Toulouse FC,4,0
Cheick Diabaté,Mali,Girondins Bordeaux,4,1
Alou Diarra,France,Girondins Bordeaux,4,0
Franck Dja Djédjé,Ivory Coast,AC Arles-Avignon,4,0
 Eduardo,Brazil,RC Lens,4,0
Ludovic Giuly,France,Paris Saint-Germain,4,0
Adil Hermach,Morocco,RC Lens,4,0
 Jussiê,Brazil,Girondins Bordeaux,4,0
Foued Kadir,Algeria,Valenciennes FC,4,0
Yohan Mollo,France,SM Caen,4,0
Daniel Niculae,Romania,AS Monaco,4,0
Dennis Oliech,Kenya,AJ Auxerre,4,0
 Paulo Machado,Portugal,Toulouse FC,4,3
Loïc Perrin,France,AS Saint-Étienne,4,0
Jaroslav Plašil,Czech Republic,Girondins Bordeaux,4,0
Romain Poyet,France,Stade Brest,4,0
Julien Quercia,France,AJ Auxerre,4,0
Sébastien Roudet,France,RC Lens,4,1
Mamadou Sakho,France,Paris Saint-Germain,4,0
Franck Tabanou,France,Toulouse FC,4,0
Taye Taïwo,Nigeria,Olympique Marseille,4,2
Larsen Touré,Guinea,Stade Brest,4,0
 Túlio de Melo,Brazil,Lille OSC,4,0
Mathieu Valbuena,France,Olympique Marseille,4,0
Kanga Akalé,Ivory Coast,RC Lens,3,0
Younès Belhanda,Morocco,Montpellier HSC,3,0
Garry Bocaly,France,Montpellier HSC,3,0
Rémy Cabella,France,AC Arles-Avignon,3,0
Benoît Cheyrou,France,Olympique Marseille,3,0
Michaël Ciani,France,Girondins Bordeaux,3,0
Renato Civelli,Argentina,OGC Nice,3,0
Roy Contout,French Guyana,AJ Auxerre,3,0
Sigamary Diarra,Mali,FC Lorient,3,0
Kaba Diawara,Guinea,AC Arles-Avignon,3,1
Dariusz Dudka,Poland,AJ Auxerre,3,1
Marco Estrada,Chile,Montpellier HSC,3,0
Emerse Faé,Ivory Coast,OGC Nice,3,1
Yoann Gourcuff,France,Girondins Bordeaux,3,0
Gabriel Heinze,Argentina,Olympique Marseille,3,0
Kim Källström,Sweden,Olympique Lyon,3,0
Jirès Kembo Ekoko,Congo DR,Stade Rennes,3,0
Yann Kermorgant,France,AC Arles-Avignon,3,0
Mario Lička,Czech Republic,Stade Brest,3,1
Kader Mangane,Senegal,Stade Rennes,3,0
Marvin Martin,France,FC Sochaux,3,0
Nicolas Maurice-Belay,France,FC Sochaux,3,0
Jean-Pascal Mignot,France,AJ Auxerre,3,0
Benjamin Moukandjo,Cameroon,AS Monaco,3,0
Anthony Mounier,France,OGC Nice,3,0
M'Baye Niang,Senegal,SM Caen,3,0
Benjamin Nivet,France,SM Caen,3,0
Jérémy Pied,France,Olympique Lyon,3,0
Miralem Pjanić,Bosnia-Herzegovina,Olympique Lyon,3,0
Mahamadou Samassa,Mali,Olympique Marseille,3,0
 Wendel,Brazil,Girondins Bordeaux,3,0
Alaeddine Yahia,Tunisia,RC Lens,3,0
Paul Alo'o Efoulou,Cameroon,AS Nancy,2,0
Sylvain Armand,France,Paris Saint-Germain,2,0
Jordan Ayew,Ghana,Olympique Marseille,2,0
Ismaël Bangoura,Guinea,Stade Rennes,2,0
Chaouki Ben Saada,Tunisia,OGC Nice,2,0
Milan Biševac,Serbia,Valenciennes FC,2,1
Carlos Bocanegra,USA,AS Saint-Étienne,2,0
Edouard Butin,France,FC Sochaux,2,0
Yohan Cabaye,France,Lille OSC,2,0
Zoumana Camara,France,Paris Saint-Germain,2,0
Étienne Capoue,France,Toulouse FC,2,0
Clément Chantôme,France,Paris Saint-Germain,2,0
Daniel Congré,France,Toulouse FC,2,0
Alexandre Cuvillier,France,AS Nancy,2,0
Stéphane Dalmat,France,Stade Rennes,2,0
Mathieu Debuchy,France,Lille OSC,2,1
Étienne Didot,France,Toulouse FC,2,0
Mathieu Dossevi,Togo,Valenciennes FC,2,0
Boukary Dramé,Senegal,FC Sochaux,2,0
David Ducourtioux,France,Valenciennes FC,2,0
 Ederson,Brazil,Olympique Lyon,2,0
 Fernando Menegazzo,Brazil,Girondins Bordeaux,2,0
Kamel Ghilas,Algeria,AC Arles-Avignon,2,0
Yoan Gouffran,France,Girondins Bordeaux,2,0
Jo-gook Jung,South Korea,AJ Auxerre,2,0
Jérôme Leroy,France,Stade Rennes,2,0
Benoît Lesoimier,France,Stade Brest,2,0
Yann M'Vila,France,Stade Rennes,2,1
Toifilou Maoulida,France,RC Lens,2,0
Camel Meriem,France,AC Arles-Avignon,2,0
Jérémy Morel,France,FC Lorient,2,0
Arnold Mvuemba,France,FC Lorient,2,1
