player,country,team,goal,penalty
Souleymane Camara,Senegal,Montpellier HSC,2,0
Pierrick Capelle,France,Angers SCO,2,0
Marcus Coco,France,EA Guingamp,2,0
Wylan Cyprien,France,OGC Nice,2,0
Bryan Dabo,France,AS Saint-Étienne,2,1
Lucas Deaux,France,EA Guingamp,2,0
Adama Diakhaby,France,AS Monaco,2,0
Étienne Didot,France,EA Guingamp,2,0
Rachid Ghezzal,Algeria,AS Monaco,2,0
Joris Gnagnon,France,Stade Rennes,2,0
 Jemerson,Brazil,AS Monaco,2,0
 Jonathan Cafú,Brazil,Girondins Bordeaux,2,0
Christopher Jullien,France,Toulouse FC,2,0
Bakary Koné,Burkina Faso,RC Strasbourg,2,0
Jules Koundé,France,Girondins Bordeaux,2,0
Layvin Kurzawa,France,Paris Saint-Germain,2,0
Thomas Lemar,France,AS Monaco,2,0
 Lucas Lima,Brazil,FC Nantes,2,0
Thomas Mangani,France,Angers SCO,2,1
John Mendoza,Colombia,Amiens SC,2,0
Kévin Monnet-Paquet,France,AS Saint-Étienne,2,0
Ibrahima Niane,Senegal,FC Metz,2,0
Benjamin Nivet,France,ESTAC Troyes,2,0
Vincent Pajot,France,AS Saint-Étienne,2,0
Mateo Pavlović,Croatia,Angers SCO,2,0
Bryan Pelé,France,ESTAC Troyes,2,0
Ezequiel Ponce,Argentina,Lille OSC,2,0
Diafra Sakho,Senegal,Stade Rennes,2,0
Jean Michaël Seri,Ivory Coast,OGC Nice,2,0
Djibril Sidibé,France,AS Monaco,2,0
Neven Subotić,Serbia,AS Saint-Étienne,2,0
Moussa Sylla,France,AS Monaco,2,0
Romain Thomas,France,Angers SCO,2,0
Valentín Vada,Argentina,Girondins Bordeaux,2,0
 Xeka,Portugal,Dijon FCO,2,0
 Yuri,Spain,Paris Saint-Germain,2,0
Kelvin Amian Adou,France,Toulouse FC,1,0
 Andrei,Brazil,FC Nantes,1,0
Chidozie Awaziem,Nigeria,FC Nantes,1,0
Karim Azamoum,France,ESTAC Troyes,1,0
Farès Bahlouli,France,Lille OSC,1,0
Florent Balmont,France,Dijon FCO,1,0
Nicolas Basin,France,FC Metz,1,0
Yassine Benzia,Algeria,Lille OSC,1,0
Alexis Blin,France,Toulouse FC,1,0
Mathieu Bodmer,France,Amiens SC,1,0
 Brandon,Spain,Stade Rennes,1,0
Renaud Cohade,France,FC Metz,1,0
Daniel Congré,France,Montpellier HSC,1,0
Quentin Cornette,France,Amiens SC,1,0
Kalifa Coulibaly,Mali,FC Nantes,1,0
Lassana Coulibaly,Mali,Angers SCO,1,0
Nicolas Cozza,France,Montpellier HSC,1,0
 Dani Alves,Brazil,Paris Saint-Germain,1,0
 Danilo Avelar,Brazil,Amiens SC,1,0
 Dante,Brazil,OGC Nice,1,0
Jessy Deminguet,France,SM Caen,1,0
Fallou Diagné,Senegal,FC Metz,1,0
Mouctar Diakhaby,France,Olympique Lyon,1,0
Bakaye Dibassy,Mali,Amiens SC,1,0
 Diego Carlos,Brazil,FC Nantes,1,0
Assane Dioussé,Senegal,AS Saint-Étienne,1,0
Keagan Dolly,South Africa,Montpellier HSC,1,0
Mathieu Dossevi,Togo,FC Metz,1,0
Félix Eboa Eboa,Cameroon,EA Guingamp,1,0
 Edgar Ié,Portugal,Lille OSC,1,0
Oualid El Hajjam,Morocco,Amiens SC,1,0
 Gabriel Silva,Brazil,AS Saint-Étienne,1,0
Ignatius Ganago,Cameroon,OGC Nice,1,0
Yoann Gourcuff,France,Stade Rennes,1,0
Jérémy Grimm,France,RC Strasbourg,1,0
Frédéric Guilbert,France,SM Caen,1,0
Baptiste Guillaume,Belgium,Angers SCO,1,0
Oussema Haddadi,Tunisia,Dijon FCO,1,0
Jonathan Ikoné,France,Montpellier HSC,1,0
Giannelli Imbula,France,Toulouse FC,1,0
Corentin Jean,France,Toulouse FC,1,0
 João Moutinho,Portugal,AS Monaco,1,0
 Jordi Mboula,Spain,AS Monaco,1,0
 Jorge,Brazil,AS Monaco,1,0
Christophe Kerbrat,France,EA Guingamp,1,0
Christian Kouakou,Ivory Coast,SM Caen,1,0
Rene Krhin,Slovenia,FC Nantes,1,0
Paul Lasne,France,Montpellier HSC,1,0
 Lucas,Brazil,Paris Saint-Germain,1,0
Zinédine Machach,Morocco,Toulouse FC,1,0
Habib Maïga,Ivory Coast,AS Saint-Étienne,1,0
Kader Mangane,Senegal,RC Strasbourg,1,0
Myziane Maolida,France,Olympique Lyon,1,0
Jordan Marié,France,Dijon FCO,1,0
Soualiho Meïté,France,AS Monaco,1,0
Thomas Monconduit,France,Amiens SC,1,0
Guy N'Gosso,Cameroon,Amiens SC,1,0
Santy Ngom,Senegal,FC Nantes,1,0
Casimir Ninga,Chad,Montpellier HSC,1,0
Paul-Georges Ntep,France,AS Saint-Étienne,1,0
Prince Oniangué,Congo,Angers SCO,1,0
 Pedro Mendes,Portugal,Montpellier HSC,1,0
Sanjin Prcić,Bosnia-Herzegovina,Stade Rennes,1,0
Adrien Rabiot,France,Paris Saint-Germain,1,0
 Rafael,Brazil,Olympique Lyon,1,0
Andrea Raggi,Italy,AS Monaco,1,0
Adil Rami,France,Olympique Marseille,1,0
 Rolando,Portugal,Olympique Marseille,1,0
Valentin Rongier,France,FC Nantes,1,0
Junior Sambia,France,Montpellier HSC,1,0
Ibrahim Sangaré,Ivory Coast,Toulouse FC,1,0
Ernest Seka,France,RC Strasbourg,1,0
Stéphane Sessègnon,Benin,Montpellier HSC,1,0
 Somália,Brazil,Toulouse FC,1,0
Gilles Sunu,Togo,Angers SCO,1,0
Issiaga Sylla,Guinea,Toulouse FC,1,0
Jordan Tell,Guadeloupe,Stade Rennes,1,0
Kenny Tete,Netherlands,Olympique Lyon,1,0
 Thiago Motta,Italy,Paris Saint-Germain,1,0
 Thiago Silva,Brazil,Paris Saint-Germain,1,0
Abdoulaye Touré,France,FC Nantes,1,0
Almamy Touré,Mali,AS Monaco,1,0
Cédric Varrault,France,Dijon FCO,1,0
Rémi Walter,France,ESTAC Troyes,1,0
Bongani Zungu,South Africa,Amiens SC,1,0
