Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Real Madrid,38,32,4,2,121,32,89,100,526,89,5,729,299
2,Barcelona,38,28,7,3,114,29,85,91,407,71,4,623,287
3,Valencia,38,17,10,11,59,44,15,61,643,127,6,511,180
4,Malaga,38,17,7,14,54,53,1,58,430,72,7,534,209
5,Ath Madrid,38,15,11,12,53,46,7,56,685,127,4,579,213
6,Levante,38,16,7,15,54,50,4,55,483,115,3,393,144
7,Osasuna,38,13,15,10,44,61,-17,54,581,97,8,466,166
8,Mallorca,38,14,10,14,42,46,-4,52,680,119,6,437,145
9,Sevilla,38,13,11,14,48,47,1,50,497,110,8,588,204
10,Ath Bilbao,38,12,13,13,49,52,-3,49,550,102,8,461,161
11,Sociedad,38,12,11,15,46,52,-6,47,461,79,8,477,148
12,Betis,38,13,8,17,47,56,-9,47,547,96,7,516,168
13,Getafe,38,12,11,15,40,51,-11,47,580,125,8,373,116
14,Espanol,38,12,10,16,46,56,-10,46,587,126,7,498,171
15,Vallecano,38,13,4,21,53,73,-20,43,615,124,4,491,190
16,Zaragoza,38,12,7,19,36,61,-25,43,670,119,9,436,143
17,Granada,38,12,6,20,35,56,-21,42,439,106,10,492,168
18,Villarreal,38,9,14,15,39,53,-14,41,535,92,5,453,174
19,Sp Gijon,38,10,7,21,42,69,-27,37,643,117,5,461,147
20,Santander,38,4,15,19,28,63,-35,27,607,115,8,356,117
