player,country,team,goal,penalty
Emiliano Armenteros,Argentina,Rayo Vallecano,2,0
 Castro,Portugal,Sporting Gijón,2,0
 Dani Alves,Brazil,FC Barcelona,2,0
 Dani Estrada,Spain,Real Sociedad,2,0
 Dídac Vilà,Spain,Espanyol Barcelona,2,0
 Edu Oriol,Spain,Real Zaragoza,2,0
Sebastián Eguren,Uruguay,Sporting Gijón,2,0
 Eliseu,Portugal,Málaga CF,2,0
Bernardo Espinosa,Colombia,Racing Santander,2,0
Federico Fazio,Argentina,Sevilla FC,2,0
 Fran Rico,Spain,Granada CF,2,0
 Gabi,Spain,Atlético Madrid,2,0
 Gabilondo,Spain,Athletic Bilbao,2,0
 Gálvez,Spain,Sporting Gijón,2,0
Álex Geijo,Spain,Granada CF,2,0
Abdelkader Ghezzal,Algeria,Levante UD,2,0
Diego Godín,Uruguay,Atlético Madrid,2,0
 Iniesta,Spain,FC Barcelona,2,0
 Isaac Cuenca,Spain,FC Barcelona,2,0
 Iván Ramis,Spain,RCD Mallorca,2,0
 Jairo,Spain,Racing Santander,2,0
 Joaquín,Spain,Málaga CF,2,0
 Jordi Alba,Spain,Valencia CF,2,0
 José Nunes,Portugal,RCD Mallorca,2,0
Sami Khedira,Germany,Real Madrid,2,0
 Koke,Spain,Atlético Madrid,2,0
Enzo Maresca,Italy,Málaga CF,2,0
Gary Medel,Chile,Sevilla FC,2,0
 Movilla,Spain,Rayo Vallecano,2,0
 Muniain,Spain,Athletic Bilbao,2,0
Ariel Nahuelpán,Argentina,Racing Santander,2,0
 Nano,Spain,Levante UD,2,0
 Pedro Ríos,Spain,Getafe CF,2,0
Mickaël Pereira,France,RCD Mallorca,2,0
Pablo Piatti,Argentina,Valencia CF,2,0
 Piqué,Spain,FC Barcelona,2,0
 Pozuelo,Spain,Real Betis,2,0
Adil Rami,France,Valencia CF,2,0
 Rovérsio,Brazil,CA Osasuna,2,0
 San José,Spain,Athletic Bilbao,2,0
 Sevilla,Spain,Real Betis,2,2
 Thiago,Spain,FC Barcelona,2,0
 Trashorras,Spain,Rayo Vallecano,2,1
 Xabi Prieto,Spain,Real Sociedad,2,0
 Abel Gómez,Spain,Granada CF,1,0
 Abraham,Spain,Real Zaragoza,1,0
 Adriano,Brazil,FC Barcelona,1,0
 Alberto Botía,Spain,Sporting Gijón,1,0
Juan Albín,Uruguay,Espanyol Barcelona,1,0
Hamit Altintop,Turkey,Real Madrid,1,0
 Álvaro González,Spain,Racing Santander,1,0
 Ander Herrera,Spain,Athletic Bilbao,1,0
 Ángel López,Spain,Villarreal CF,1,0
 Antonio Luna,Spain,Sevilla FC,1,0
 Arribas,Spain,Rayo Vallecano,1,0
 Aurtenetxe,Spain,Athletic Bilbao,1,0
 Ballesteros,Spain,Levante UD,1,0
Pablo Barrera,Mexico,Real Zaragoza,1,0
Thievy Bifouma,Congo,Espanyol Barcelona,1,0
 Busquets,Spain,FC Barcelona,1,0
Gustavo Cabral,Argentina,Levante UD,1,0
Martín Cáceres,Uruguay,Sevilla FC,1,0
 Cala,Spain,Sevilla FC,1,0
 Camacho,Spain,Málaga CF,1,0
 Camuñas,Spain,Villarreal CF,1,0
 Canales,Spain,Valencia CF,1,0
 Carmelo,Spain,Sporting Gijón,1,0
 Casquero,Spain,Getafe CF,1,0
 Christian,Spain,Racing Santander,1,0
 Colsa,Spain,Racing Santander,1,0
 Cristian Gómez,Spain,Espanyol Barcelona,1,0
Paulo da Silva,Paraguay,Real Zaragoza,1,0
 David López,Spain,Athletic Bilbao,1,1
Jonathan de Guzmán,Netherlands,RCD Mallorca,1,0
Andrija Delibašić,Montenegro,Rayo Vallecano,1,0
Pape Diop,Senegal,Racing Santander,1,0
 Dorado,Spain,Real Betis,1,0
 Duda,Portugal,Málaga CF,1,0
Tomislav Dujmović,Croatia,Real Zaragoza,1,0
 Elustondo,Spain,Real Sociedad,1,0
Julien Escudé,France,Sevilla FC,1,0
 Farinós,Spain,Levante UD,1,1
 Gavilán,Spain,Getafe CF,1,0
Diego Ifrán,Uruguay,Real Sociedad,1,0
 Iraola,Spain,Athletic Bilbao,1,0
 Iturraspe,Spain,Athletic Bilbao,1,0
 Jaime,Spain,Granada CF,1,0
 Javi López,Spain,Espanyol Barcelona,1,0
 Juanmi,Spain,Málaga CF,1,0
Efraín Juárez,Mexico,Real Zaragoza,1,0
 Júlio Baptista,Brazil,Málaga CF,1,0
 Koke,Spain,Rayo Vallecano,1,1
 Labaka,Spain,Rayo Vallecano,1,0
Mehdi Lacen,Algeria,Getafe CF,1,0
Roland Lamah,Belgium,CA Osasuna,1,0
Maurizio Lanzaro,Italy,Real Zaragoza,1,0
 Lolo,Spain,CA Osasuna,1,0
 Mainz,Spain,Granada CF,1,0
 Mario,Spain,Villarreal CF,1,0
 Martí,Spain,RCD Mallorca,1,0
Alejandro Martinuccio,Argentina,Villarreal CF,1,0
 Míchel,Spain,Getafe CF,1,0
 Miguel Flaño,Spain,CA Osasuna,1,0
 Miguel Torres,Spain,Getafe CF,1,0
 Mikel,Spain,Real Sociedad,1,0
 Miranda,Brazil,Atlético Madrid,1,0
Jefferson Montero,Ecuador,Real Betis,1,0
 Nacho,Spain,Real Betis,1,0
 Nélson,Portugal,Real Betis,1,0
 Pedro Botelho,Brazil,Levante UD,1,0
 Pedro León,Spain,Getafe CF,1,0
 Pepe,Portugal,Real Madrid,1,0
 Pina,Spain,RCD Mallorca,1,0
 Pizzi,Portugal,Atlético Madrid,1,0
Leonardo Ponzio,Argentina,Real Zaragoza,1,1
 Raúl Baena,Spain,Espanyol Barcelona,1,0
 Reyes,Spain,Atlético Madrid,1,0
Gonzalo Rodríguez,Argentina,Villarreal CF,1,0
 Rubén Pardo,Spain,Real Sociedad,1,0
 Rui Fonte,Portugal,Espanyol Barcelona,1,0
 Sergio,Spain,CA Osasuna,1,0
 Tito,Spain,Rayo Vallecano,1,0
 Torrejón,Spain,Racing Santander,1,0
Piotr Trochowski,Germany,Sevilla FC,1,0
 Valera,Spain,Getafe CF,1,0
Raphaël Varane,France,Real Madrid,1,0
 Weligton,Brazil,Málaga CF,1,0
 Xabi Alonso,Spain,Real Madrid,1,0
