player,country,team,goal,penalty
 Diogo Salomão,Portugal,Deportivo La Coruña,2,0
Nabil El Zhar,Morocco,Levante UD,2,0
Michael Essien,Ghana,Real Madrid,2,0
Diego Ifrán,Uruguay,Real Sociedad,2,0
 Jonathan Viera,Spain,Valencia CF,2,0
 Jordi Alba,Spain,FC Barcelona,2,0
 José Carlos,Spain,Rayo Vallecano,2,0
 Juan Rodríguez,Spain,Getafe CF,2,0
 Juanlu,Spain,Levante UD,2,0
 Lafita,Spain,Getafe CF,2,0
Roland Lamah,Belgium,CA Osasuna,2,0
Christian Lell,Germany,Levante UD,2,0
Raoul Loé,Cameroon,CA Osasuna,2,0
 Marchena,Spain,Deportivo La Coruña,2,0
 Mikel,Spain,Real Sociedad,2,0
 Mikel Rico,Spain,Granada CF,2,0
 Miranda,Brazil,Atlético Madrid,2,0
 Morata,Spain,Real Madrid,2,0
Héctor Moreno,Mexico,Espanyol Barcelona,2,0
Emilio N'Sue,Equatorial Guinea,RCD Mallorca,2,0
 Natxo Insa,Spain,Celta Vigo,2,0
 Paulão,Brazil,Real Betis,2,0
 Pedro Ríos,Spain,Levante UD,2,0
 Piqué,Spain,FC Barcelona,2,0
 Portillo,Spain,Málaga CF,2,0
 Recio,Spain,Granada CF,2,0
 Rodri,Spain,Real Zaragoza,2,0
Cristian Săpunaru,Romania,Real Zaragoza,2,0
 Sevilla,Spain,Real Betis,2,0
 Sílvio,Portugal,Atlético Madrid,2,0
 Thiago,Spain,FC Barcelona,2,0
 Tiago,Portugal,Atlético Madrid,2,0
Piotr Trochowski,Germany,Sevilla FC,2,0
 Valera,Spain,Getafe CF,2,0
 Weligton,Brazil,Málaga CF,2,0
 Zurutuza,Spain,Real Sociedad,2,0
 Alberto Botía,Spain,Sevilla FC,1,0
Juan Albín,Uruguay,Espanyol Barcelona,1,0
 Álex,Spain,Deportivo La Coruña,1,0
 Álvaro González,Spain,Real Zaragoza,1,0
 Ander Herrera,Spain,Athletic Bilbao,1,0
 Ángel,Spain,Levante UD,1,0
 Ángel López,Spain,Real Betis,1,0
Brayan Angulo,Colombia,Granada CF,1,0
 Antunes,Portugal,Málaga CF,1,0
 Aranda,Spain,Granada CF,1,0
 Aurtenetxe,Spain,Athletic Bilbao,1,0
 Baraja,Spain,Real Valladolid,1,0
 Bigas,Spain,RCD Mallorca,1,0
 Bodipo,Equatorial Guinea,Deportivo La Coruña,1,0
 Borja,Spain,Getafe CF,1,0
 Borja Oubiña,Spain,Celta Vigo,1,0
 Busquets,Spain,FC Barcelona,1,0
 Camuñas,Spain,Deportivo La Coruña,1,0
 Carlos Martínez,Spain,Real Sociedad,1,0
 Cicinho,Brazil,Sevilla FC,1,0
Tino Costa,Argentina,Valencia CF,1,0
 Dani Benítez,Spain,Granada CF,1,0
 David Timor,Spain,CA Osasuna,1,1
 De las Cuevas,Spain,CA Osasuna,1,0
 Eliseu,Portugal,Málaga CF,1,1
 Elustondo,Spain,Real Sociedad,1,0
 Escudero,Spain,Getafe CF,1,0
 Fábio Coentrão,Portugal,Real Madrid,1,0
Federico Fernández,Argentina,Getafe CF,1,0
 Filipe Luís,Brazil,Atlético Madrid,1,0
Antonio Floro Flores,Italy,Granada CF,1,0
 Geromel,Brazil,RCD Mallorca,1,0
Diego Godín,Uruguay,Atlético Madrid,1,0
Andrés Guardado,Mexico,Valencia CF,1,0
 Gurpegi,Spain,Athletic Bilbao,1,0
