player,country,team,goal,penalty
Nathaniel Clyne,England,Southampton FC,2,0
Carlton Cole,England,West Ham United,2,0
Aaron Cresswell,England,West Ham United,2,0
Scott Dann,England,Crystal Palace,2,0
Craig Dawson,England,West Bromwich Albion,2,0
Eric Dier,England,Tottenham Hotspur,2,0
Ahmed El Mohamady,Egypt,Hull City,2,0
Eljero Elia,Netherlands,Southampton FC,2,0
 Fernando,Brazil,Manchester City,2,0
Yoan Gouffran,France,Newcastle United,2,0
Brede Hangeland,Norway,Crystal Palace,2,0
 Héctor Bellerín,Spain,Arsenal FC,2,0
Andy King,Wales,Leicester City,2,0
Aleksandar Kolarov,Serbia,Manchester City,2,0
Andrej Kramarić,Croatia,Leicester City,2,0
Niko Kranjčar,Croatia,Queens Park Rangers,2,0
Rickie Lambert,England,Liverpool FC,2,0
Érik Lamela,Argentina,Tottenham Hotspur,2,0
Joe Ledley,Wales,Crystal Palace,2,0
Aaron Lennon,England,Everton FC,2,0
Lazar Marković,Serbia,Liverpool FC,2,0
James McArthur,Scotland,Crystal Palace,2,0
James McCarthy,Ireland,Everton FC,2,0
Ben Mee,England,Burnley FC,2,0
Wes Morgan,Jamaica,Leicester City,2,0
James Morrison,Scotland,West Bromwich Albion,2,0
Samir Nasri,France,Manchester City,2,0
Mark Noble,England,West Ham United,2,1
Leon Osman,England,Everton FC,2,0
 Ramires,Brazil,Chelsea FC,2,0
Tomáš Rosický,Czech Republic,Arsenal FC,2,0
Ryan Shawcross,England,Stoke City,2,0
Andros Townsend,England,Tottenham Hotspur,2,1
 Willian,Brazil,Chelsea FC,2,0
Jack Wilshere,England,Arsenal FC,2,0
Ashley Young,England,Manchester United,2,0
Mauro Zárate,Argentina,Queens Park Rangers,2,0
Rolando Aarons,Jamaica,Newcastle United,1,0
Toby Alderweireld,Belgium,Southampton FC,1,0
Joe Allen,Wales,Liverpool FC,1,0
Sone Aluko,Nigeria,Hull City,1,0
Marko Arnautović,Austria,Stoke City,1,0
Mario Balotelli,Italy,Liverpool FC,1,0
Joey Barton,England,Queens Park Rangers,1,0
Fabio Borini,Italy,Liverpool FC,1,0
Rémy Cabella,France,Newcastle United,1,0
Gary Cahill,England,Chelsea FC,1,0
Emre Can,Germany,Liverpool FC,1,0
Michael Carrick,England,Manchester United,1,0
Lee Cattermole,England,Sunderland AFC,1,0
Steven Caulker,England,Queens Park Rangers,1,0
Calum Chambers,England,Arsenal FC,1,0
Ciaran Clark,Ireland,Aston Villa,1,0
Gaël Clichy,France,Manchester City,1,0
Joe Cole,England,Aston Villa,1,0
Fabricio Coloccini,Argentina,Newcastle United,1,0
Michael Dawson,England,Hull City,1,0
Siem de Jong,Netherlands,Newcastle United,1,0
Mathieu Debuchy,France,Arsenal FC,1,0
Mousa Dembélé,Belgium,Tottenham Hotspur,1,0
Martín Demichelis,Argentina,Manchester City,1,0
Graham Dorrans,Scotland,West Bromwich Albion,1,0
Mathieu Flamini,France,Arsenal FC,1,0
Darren Fletcher,Scotland,Manchester United,1,0
Danny Graham,England,Sunderland AFC,1,0
Jonás Gutiérrez,Argentina,Newcastle United,1,0
Clint Hill,England,Queens Park Rangers,1,0
Robert Huth,Germany,Leicester City,1,0
Alan Hutton,Scotland,Aston Villa,1,0
Daryl Janmaat,Netherlands,Newcastle United,1,0
Glen Johnson,England,Liverpool FC,1,0
Michael Kightly,England,Burnley FC,1,0
Paul Konchesky,England,Leicester City,1,0
Arouna Koné,Ivory Coast,Everton FC,1,0
Joleon Lescott,England,West Bromwich Albion,1,0
Jake Livermore,England,Hull City,1,0
Ryan Mason,England,Tottenham Hotspur,1,0
Nemanja Matić,Serbia,Chelsea FC,1,0
Gareth McAuley,Northern Ireland,West Bromwich Albion,1,0
Aiden McGeady,Ireland,Everton FC,1,0
Paul McShane,Ireland,Hull City,1,0
David Meyler,Ireland,Hull City,1,0
Jefferson Montero,Ecuador,Swansea City,1,0
 Nélson Oliveira,Portugal,Swansea City,1,0
Kevin Nolan,England,West Ham United,1,0
Gabriel Obertan,France,Newcastle United,1,0
Jores Okore,Denmark,Aston Villa,1,0
Jonas Olsson,Sweden,West Bromwich Albion,1,0
Alex Oxlade-Chamberlain,England,Arsenal FC,1,0
Stephen Quinn,Ireland,Hull City,1,0
Gastón Ramírez,Uruguay,Hull City,1,0
Winston Reid,New Zealand,West Ham United,1,0
Emmanuel Rivière,France,Newcastle United,1,0
Carlos Sánchez,Colombia,Aston Villa,1,0
 Sandro,Brazil,Queens Park Rangers,1,0
Stéphane Sessègnon,Benin,West Bromwich Albion,1,0
Scott Sinclair,England,Aston Villa,1,0
Martin Škrtel,Slovakia,Liverpool FC,1,0
 Soldado,Spain,Tottenham Hotspur,1,0
John Stones,England,Everton FC,1,0
Steven Taylor,England,Newcastle United,1,0
James Tomkins,England,West Ham United,1,0
 Varela,Portugal,West Bromwich Albion,1,0
Jan Vertonghen,Belgium,Tottenham Hotspur,1,0
Ross Wallace,Scotland,Burnley FC,1,0
Joel Ward,England,Crystal Palace,1,0
James Ward-Prowse,England,Southampton FC,1,1
Marcin Wasilewski,Poland,Leicester City,1,0
Mike Williamson,England,Newcastle United,1,0
James Wilson,England,Manchester United,1,0
Chris Wood,New Zealand,Leicester City,1,0
Maya Yoshida,Japan,Southampton FC,1,0
Pablo Zabaleta,Argentina,Manchester City,1,0
