player,country,team,goal,penalty
 Cristiano Ronaldo,Portugal,Real Madrid,48,10
Lionel Messi,Argentina,FC Barcelona,43,5
Antoine Griezmann,France,Atlético Madrid,22,0
 Neymar,Brazil,FC Barcelona,22,1
Carlos Bacca,Colombia,Sevilla FC,20,6
 Aduriz,Spain,Athletic Bilbao,18,5
 Bueno,Spain,Rayo Vallecano,17,2
Luis Suárez,Uruguay,FC Barcelona,16,0
Karim Benzema,France,Real Madrid,15,0
 Jonathas,Brazil,Elche CF,14,0
 Sergio García,Spain,Espanyol Barcelona,14,2
Gareth Bale,Wales,Real Madrid,13,1
 Nolito,Spain,Celta Vigo,13,3
James Rodríguez,Colombia,Real Madrid,13,0
Mario Mandžukić,Croatia,Atlético Madrid,12,3
 Parejo,Spain,Valencia CF,12,3
Cristhian Stuani,Uruguay,Espanyol Barcelona,12,2
Luciano Vietto,Argentina,Villarreal CF,12,0
 Barral,Spain,Levante UD,11,2
Joaquin Larrivey,Argentina,Celta Vigo,11,0
 Paco Alcácer,Spain,Valencia CF,11,0
 Arruabarrena,Spain,SD Eibar,9,2
Felipe Caicedo,Ecuador,Espanyol Barcelona,9,0
Carlos Vela,Mexico,Real Sociedad,9,1
Youssef El-Arabi,Morocco,Granada CF,8,4
Kevin Gameiro,France,Sevilla FC,8,2
Tomer Hemed,Israel,UD Almería,8,2
 Juanmi,Spain,Málaga CF,8,0
 Víctor Casadesús,Spain,Levante UD,8,0
 Agirretxe,Spain,Real Sociedad,7,0
 Álvaro,Spain,Getafe CF,7,1
 Gerard,Spain,Villarreal CF,7,0
Nabil Ghilas,Algeria,Córdoba CF,7,2
Javier Hernández,Mexico,Real Madrid,7,0
 Iborra,Spain,Sevilla FC,7,0
 Leo Baptistão,Brazil,Rayo Vallecano,7,0
Pablo Piatti,Argentina,Valencia CF,7,0
 Santi Mina,Spain,Celta Vigo,7,1
Nordin Amrabat,Morocco,Málaga CF,6,3
Sofiane Féghouli,Algeria,Valencia CF,6,0
 Lucas Pérez,Spain,Deportivo La Coruña,6,1
Nicolás Otamendi,Argentina,Valencia CF,6,0
 Pedro,Spain,FC Barcelona,6,0
Federico Piovaccari,Italy,SD Eibar,6,0
Ikechukwu Uche,Nigeria,Villarreal CF,6,1
 Vitolo,Spain,Sevilla FC,6,0
 Álvaro Negredo,Spain,Valencia CF,5,1
Florin Andone,Romania,Córdoba CF,5,0
 Javi Guerra,Spain,Málaga CF,5,0
Gaël Kakuta,France,Rayo Vallecano,5,0
 Lombán,Spain,Elche CF,5,3
 Manucho,Angola,Rayo Vallecano,5,0
Fabián Orellana,Chile,Celta Vigo,5,0
 Piqué,Spain,FC Barcelona,5,0
Ivan Rakitić,Croatia,FC Barcelona,5,0
 Raúl García,Spain,Atlético Madrid,5,2
 Rober Ibáñez,Spain,Granada CF,5,0
 Samuel,Spain,Málaga CF,5,0
 San José,Spain,Athletic Bilbao,5,0
 Tiago,Portugal,Atlético Madrid,5,0
Kalu Uche,Nigeria,Levante UD,5,0
 Aleix Vidal,Spain,Sevilla FC,4,0
 André Gomes,Portugal,Valencia CF,4,0
Thievy Bifouma,Congo,UD Almería,4,0
 Canales,Spain,Real Sociedad,4,0
Fede Cartabia,Argentina,Córdoba CF,4,0
Gonzalo Castro,Uruguay,Real Sociedad,4,0
Denis Cheryshev,Russia,Villarreal CF,4,0
Jhon Córdoba,Colombia,Granada CF,4,0
 Édgar,Spain,UD Almería,4,0
 Isco,Spain,Real Madrid,4,0
Stéphane M'bia,Cameroon,Sevilla FC,4,0
 Moi Gómez,Spain,Villarreal CF,4,0
Shkodran Mustafi,Germany,Valencia CF,4,0
 Oriol Riera,Spain,Deportivo La Coruña,4,0
Thomas Partey,Ghana,UD Almería,4,0
 Saúl,Spain,Atlético Madrid,4,0
 Sergi Darder,Spain,Málaga CF,4,0
 Sergio Ramos,Spain,Real Madrid,4,0
 Toché,Spain,Deportivo La Coruña,4,0
 Verza,Spain,UD Almería,4,3
 Víctor,Spain,Elche CF,4,0
 Xabi Prieto,Spain,Real Sociedad,4,2
Abdoul Yoda,France,Getafe CF,4,0
Éver Banega,Argentina,Sevilla FC,3,0
Celso Borges,Costa Rica,Deportivo La Coruña,3,1
 Capa,Spain,SD Eibar,3,0
 Charles,Brazil,Celta Vigo,3,0
 Diego Castro,Spain,Getafe CF,3,0
 Edu Albácar,Spain,Elche CF,3,1
 Embarba,Spain,Rayo Vallecano,3,0
 Fernando Torres,Spain,Atlético Madrid,3,0
 Fran Rico,Spain,Granada CF,3,2
Diego Godín,Uruguay,Atlético Madrid,3,0
 Ivan Cavaleiro,Portugal,Deportivo La Coruña,3,0
 Javi Fuego,Spain,Valencia CF,3,0
 Jesé,Spain,Real Madrid,3,0
 Lucas Vázquez,Spain,Espanyol Barcelona,3,0
 Mainz,Spain,Granada CF,3,0
 Manu del Moral,Spain,SD Eibar,3,0
 Mario,Spain,Villarreal CF,3,0
 Mikel Rico,Spain,Athletic Bilbao,3,0
 Miranda,Brazil,Atlético Madrid,3,0
 Morales,Spain,Levante UD,3,0
Mateo Musacchio,Argentina,Villarreal CF,3,0
Mario Pašalić,Croatia,Elche CF,3,0
 Reyes,Spain,Sevilla FC,3,0
 Rodrigo,Spain,Valencia CF,3,1
Roque Santa Cruz,Paraguay,Málaga CF,3,0
 Saúl,Spain,SD Eibar,3,0
 Soriano,Spain,UD Almería,3,0
 Víctor Sánchez,Spain,Espanyol Barcelona,3,0
 Beñat,Spain,Athletic Bilbao,2,0
 Bruno Soriano,Spain,Villarreal CF,2,1
 Camacho,Spain,Málaga CF,2,0
 Camarasa,Spain,Levante UD,2,0
 Coke,Spain,Sevilla FC,2,0
 Denis Suárez,Spain,Sevilla FC,2,0
Jonathan dos Santos,Mexico,Villarreal CF,2,0
 Escudero,Spain,Getafe CF,2,0
 Etxeita,Spain,Athletic Bilbao,2,0
Alfreð Finnbogason,Iceland,Real Sociedad,2,0
Pablo Hernández,Chile,Celta Vigo,2,0
Freddy Hinestroza,Colombia,Getafe CF,2,0
 Iago Aspas,Spain,Sevilla FC,2,0
 Iñigo Martínez,Spain,Real Sociedad,2,0
 Isaac Cuenca,Spain,Deportivo La Coruña,2,1
 Iturraspe,Spain,Athletic Bilbao,2,0
 Javi Espinosa,Spain,UD Almería,2,0
 José Rodríguez,Spain,Deportivo La Coruña,2,0
 Koke,Spain,Atlético Madrid,2,0
Toni Kroos,Germany,Real Madrid,2,0
Grzegorz Krychowiak,Poland,Sevilla FC,2,0
Mehdi Lacen,Algeria,Getafe CF,2,0
 Lafita,Spain,Getafe CF,2,0
 Lopo García,Spain,Deportivo La Coruña,2,0
 Luis Alberto,Spain,Málaga CF,2,0
 Marcelo,Brazil,Real Madrid,2,0
Jérémy Mathieu,France,FC Barcelona,2,0
Haris Medunjanin,Bosnia-Herzegovina,Deportivo La Coruña,2,1
 Míchel,Brazil,UD Almería,2,0
 Miku,Venezuela,Rayo Vallecano,2,0
 Pablo Sarabia,Spain,Getafe CF,2,0
 Pedro León,Spain,Getafe CF,2,0
 Pepe,Portugal,Real Madrid,2,0
 Raúl Albentosa,Spain,SD Eibar,2,0
 Raúl Baena,Spain,Rayo Vallecano,2,0
 Raúl Navas,Spain,SD Eibar,2,0
Garry Rodrigues,Cape Verde,Elche CF,2,0
 Rubén Rochina,Spain,Granada CF,2,0
 Sandro,Spain,FC Barcelona,2,0
Arda Turan,Turkey,Atlético Madrid,2,0
 Xavi,Spain,FC Barcelona,2,0
Jonathan Zongo,Burkina Faso,UD Almería,2,0
 Zurutuza,Spain,Real Sociedad,2,0
 Abraham,Spain,SD Eibar,1,0
 Abraham,Spain,Espanyol Barcelona,1,0
 Aketxe,Spain,Athletic Bilbao,1,0
 Álex López,Spain,Celta Vigo,1,0
 Alexis,Spain,Getafe CF,1,0
 Álvaro González,Spain,Espanyol Barcelona,1,0
 Amaya,Spain,Rayo Vallecano,1,0
 Antunes,Portugal,Málaga CF,1,1
 Arbeloa,Spain,Real Madrid,1,0
 Arbilla,Spain,Espanyol Barcelona,1,0
 Aritz Elustondo,Spain,Real Sociedad,1,0
Jean-Sylvain Babin,France,Granada CF,1,0
 Barragán,Spain,Valencia CF,1,0
 Bartra,Spain,FC Barcelona,1,0
Théo Bongonda,Belgium,Celta Vigo,1,0
 Borja,Spain,SD Eibar,1,0
 Borja García,Spain,Córdoba CF,1,0
