player,country,team,assists
Franck Ribéry,France,Bayern München,15
Thomas Müller,Germany,Bayern München,12
Marco Reus,Germany,Bor. Mönchengladbach,11
Juan Arango,Venezuela,Bor. Mönchengladbach,10
Klaas Jan Huntelaar,Netherlands,FC Schalke 04,10
Christian Fuchs,Austria,FC Schalke 04,9
Tamás Hajnal,Hungary,VfB Stuttgart,9
Fabian Johnson,USA,1899 Hoffenheim,9
Shinji Kagawa,Japan,Borussia Dortmund,9
Toni Kroos,Germany,Bayern München,9
Robert Lewandowski,Poland,Borussia Dortmund,9
 Raffael,Brazil,Hertha BSC,9
Jefferson Farfán,Peru,FC Schalke 04,8
Martin Harnik,Austria,VfB Stuttgart,8
Mario Mandžukić,Croatia,VfL Wolfsburg,8
Claudio Pizarro,Peru,Werder Bremen,8
Lukas Podolski,Germany,1. FC Köln,8
Axel Bellinghausen,Germany,FC Augsburg,7
Jakub Błaszczykowski,Poland,Borussia Dortmund,7
Ashkan Dejagah,Iran,VfL Wolfsburg,7
Kevin Großkreutz,Germany,Borussia Dortmund,7
Łukasz Piszczek,Poland,Borussia Dortmund,7
Gökhan Töre,Turkey,Hamburger SV,7
Gonzalo Castro,Germany,Bayer Leverkusen,6
Patrick Herrmann,Germany,Bor. Mönchengladbach,6
Christian Pander,Germany,Hannover 96,6
 Raúl,Spain,FC Schalke 04,6
Marcel Schäfer,Germany,VfL Wolfsburg,6
Jan Schlaudraff,Germany,Hannover 96,6
Daniel Baier,Germany,FC Augsburg,5
Daniel Caligiuri,Germany,SC Freiburg,5
Kostas Fortounis,Greece,1. FC Kaiserslautern,5
Marco Höger,Germany,FC Schalke 04,5
 Jurado,Spain,FC Schalke 04,5
Michal Kadlec,Czech Republic,Bayer Leverkusen,5
Sławomir Peszko,Poland,1. FC Köln,5
Arjen Robben,Netherlands,Bayern München,5
Markus Rosenberg,Sweden,Werder Bremen,5
Christian Träsch,Germany,VfL Wolfsburg,5
Dennis Aogo,Germany,Hamburger SV,4
Julian Baumgartlinger,Austria,1. FSV Mainz 05,4
Lars Bender,Germany,Bayer Leverkusen,4
Khalid Boulahrouz,Netherlands,VfB Stuttgart,4
Christian Clemens,Germany,1. FC Köln,4
Julian Draxler,Germany,FC Schalke 04,4
Mehmet Ekici,Turkey,Werder Bremen,4
Markus Feulner,Germany,1. FC Nürnberg,4
Johannes Flum,Germany,SC Freiburg,4
Mario Götze,Germany,Borussia Dortmund,4
Aaron Hunt,Germany,Werder Bremen,4
Vedad Ibišević,Bosnia-Herzegovina,1899 Hoffenheim,4
Andreas Ivanschitz,Austria,1. FSV Mainz 05,4
Erik Jendrišek,Slovakia,SC Freiburg,4
Stefan Kießling,Germany,Bayer Leverkusen,4
Marko Marin,Germany,Werder Bremen,4
Joel Matip,Cameroon,FC Schalke 04,4
Cristian Molinaro,Italy,VfB Stuttgart,4
Nicolai Müller,Germany,1. FSV Mainz 05,4
Milivoje Novakovič,Slovenia,1. FC Köln,4
Tomáš Pekhart,Czech Republic,1. FC Nürnberg,4
Marcel Risse,Germany,1. FSV Mainz 05,4
Gōtoku Sakai,Japan,VfB Stuttgart,4
Sejad Salihović,Bosnia-Herzegovina,1899 Hoffenheim,4
Marcel Schmelzer,Germany,Borussia Dortmund,4
André Schürrle,Germany,Bayer Leverkusen,4
Julian Schuster,Germany,SC Freiburg,4
 Sérgio da Silva Pinto,Germany,Hannover 96,4
Elkin Soto,Colombia,1. FSV Mainz 05,4
Lars Stindl,Germany,Hannover 96,4
Radoslav Zabavník,Slovakia,1. FSV Mainz 05,4
Hanno Balitsch,Germany,1. FC Nürnberg,3
Tranquillo Barnetta,Switzerland,Bayer Leverkusen,3
Sven Bender,Germany,Borussia Dortmund,3
Edson Braafheid,Netherlands,1899 Hoffenheim,3
Mišo Brečko,Slovenia,1. FC Köln,3
Daniel Didavi,Germany,1. FC Nürnberg,3
