player,country,team,assists
Adrián Ramos,Colombia,Borussia Dortmund,2
 Ronny,Brazil,Hertha BSC,2
Marcel Schäfer,Germany,VfL Wolfsburg,2
Sven Schipplock,Germany,1899 Hoffenheim,2
Marcel Schmelzer,Germany,Borussia Dortmund,2
André Schürrle,Germany,VfL Wolfsburg,2
Xherdan Shaqiri,Switzerland,Bayern München,2
Zoltán Stieber,Hungary,Hamburger SV,2
Moritz Stoppelkamp,Germany,SC Paderborn 07,2
Ibrahima Traoré,Guinea,Bor. Mönchengladbach,2
David Alaba,Austria,Bayern München,1
Sami Allagui,Tunisia,1. FSV Mainz 05,1
Dennis Aogo,Germany,FC Schalke 04,1
Tolgay Arslan,Germany,Hamburger SV,1
Daniel Baier,Germany,FC Augsburg,1
 Bamba Anderson,Brazil,Eintracht Frankfurt,1
Roy Beerens,Netherlands,Hertha BSC,1
Stefan Bell,Germany,1. FSV Mainz 05,1
Pierre Bengtsson,Sweden,1. FSV Mainz 05,1
Sebastian Boenisch,Poland,Bayer Leverkusen,1
Mišo Brečko,Slovenia,1. FC Köln,1
Daniel Brückner,Germany,SC Paderborn 07,1
Niko Bungert,Germany,1. FSV Mainz 05,1
 Caiuby,Brazil,FC Augsburg,1
Timothy Chandler,USA,Eintracht Frankfurt,1
Vladimír Darida,Czech Republic,SC Freiburg,1
Júnior Díaz,Costa Rica,1. FSV Mainz 05,1
Julian Draxler,Germany,FC Schalke 04,1
Josip Drmić,Switzerland,Bayer Leverkusen,1
Jeremy Dudziak,Germany,Borussia Dortmund,1
Erik Durm,Germany,Borussia Dortmund,1
Tarik Elyounoussi,Norway,1899 Hoffenheim,1
Bård Finne,Norway,1. FC Köln,1
Mike Frantz,Germany,SC Freiburg,1
 Gálvez,Spain,Werder Bremen,1
Theodor Gebre Selassie,Czech Republic,Werder Bremen,1
Yannick Gerhardt,Germany,1. FC Köln,1
Matthias Ginter,Germany,Borussia Dortmund,1
Daniel Halfar,Germany,1. FC Köln,1
Florian Hartherz,Germany,SC Paderborn 07,1
Jens Hegeler,Germany,Hertha BSC,1
Michael Heinloth,Germany,SC Paderborn 07,1
Timo Horn,Germany,1. FC Köln,1
Hajime Hosogai,Japan,Hertha BSC,1
Aaron Hunt,Germany,VfL Wolfsburg,1
Vedad Ibišević,Bosnia-Herzegovina,VfB Stuttgart,1
Aleksandar Ignjovski,Serbia,Eintracht Frankfurt,1
Ciro Immobile,Italy,Borussia Dortmund,1
Tin Jedvaj,Croatia,Bayer Leverkusen,1
Sebastian Jung,Germany,VfL Wolfsburg,1
Salomon Kalou,Ivory Coast,Hertha BSC,1
Jin-su Kim,South Korea,1899 Hoffenheim,1
Oliver Kirch,Germany,Borussia Dortmund,1
Sonny Kittel,Germany,Eintracht Frankfurt,1
Ragnar Klavan,Estonia,FC Augsburg,1
Dominik Kohr,Germany,FC Augsburg,1
Julian Korb,Germany,Bor. Mönchengladbach,1
Christoph Kramer,Germany,Bor. Mönchengladbach,1
Felix Kroos,Germany,Werder Bremen,1
Robbie Kruse,Australia,Bayer Leverkusen,1
Stefan Kutschke,Germany,SC Paderborn 07,1
Moritz Leitner,Germany,VfB Stuttgart,1
Tim Matavž,Slovenia,FC Augsburg,1
Admir Mehmedi,Switzerland,SC Freiburg,1
Max Meyer,Germany,FC Schalke 04,1
Georg Niedermeier,Germany,VfB Stuttgart,1
Nikolče Noveski,Macedonia,1. FSV Mainz 05,1
Matthias Ostrzolek,Germany,Hamburger SV,1
Idir Ouali,France,SC Paderborn 07,1
Kyriakos Papadopoulos,Greece,Bayer Leverkusen,1
Shawn Parker,Germany,FC Augsburg,1
Peter Pekarík,Slovakia,Hertha BSC,1
Sławomir Peszko,Poland,1. FC Köln,1
Łukasz Piszczek,Poland,Borussia Dortmund,1
Claudio Pizarro,Peru,Bayern München,1
Marvin Plattenhardt,Germany,Hertha BSC,1
Sebastian Prödl,Austria,Werder Bremen,1
 Rafinha,Brazil,Bayern München,1
Simon Rolfes,Germany,Bayer Leverkusen,1
Antonio Rüdiger,Germany,VfB Stuttgart,1
Mahir Sağlık,Turkey,SC Paderborn 07,1
Gōtoku Sakai,Japan,VfB Stuttgart,1
Sidney Sam,Germany,FC Schalke 04,1
Leroy Sané,Germany,FC Schalke 04,1
Manuel Schmiedebach,Germany,Hannover 96,1
Daniel Schwaab,Germany,VfB Stuttgart,1
Per Skjelbred,Norway,Hamburger SV,1
Artur Sobiech,Poland,Hannover 96,1
Elkin Soto,Colombia,1. FSV Mainz 05,1
Tobias Strobl,Germany,1899 Hoffenheim,1
Christian Strohdiek,Germany,SC Paderborn 07,1
Dušan Švento,Slovakia,1. FC Köln,1
Rafael van der Vaart,Netherlands,Hamburger SV,1
Paul Verhaegh,Netherlands,FC Augsburg,1
Mario Vrančić,Bosnia-Herzegovina,SC Paderborn 07,1
Jens Wemmer,Germany,SC Paderborn 07,1
 Wendell,Brazil,Bayer Leverkusen,1
Oscar Wendt,Sweden,Bor. Mönchengladbach,1
Timo Werner,Germany,VfB Stuttgart,1
Granit Xhaka,Switzerland,Bor. Mönchengladbach,1
Carlos Zambrano,Peru,Eintracht Frankfurt,1
Steven Zuber,Switzerland,1899 Hoffenheim,1
