player,country,team,assists
Thomas Müller,Germany,Bayern München,14
Joshua Kimmich,Germany,Bayern München,13
Philipp Max,Germany,FC Augsburg,13
James Rodríguez,Colombia,Bayern München,11
 Caiuby,Brazil,FC Augsburg,9
Daniel Caligiuri,Germany,FC Schalke 04,9
Kai Havertz,Germany,Bayer Leverkusen,9
Mark Uth,Germany,1899 Hoffenheim,8
Marius Wolf,Germany,Eintracht Frankfurt,8
Leon Bailey,Jamaica,Bayer Leverkusen,7
Amine Harit,Morocco,FC Schalke 04,7
Andrej Kramarić,Croatia,1899 Hoffenheim,7
Max Kruse,Germany,Werder Bremen,7
Marvin Plattenhardt,Germany,Hertha BSC,7
Timo Werner,Germany,RB Leipzig,7
Dennis Aogo,Germany,VfB Stuttgart,6
Jean-Kévin Augustin,France,RB Leipzig,6
Lars Bender,Germany,Bayer Leverkusen,6
Daniel Didavi,Germany,VfL Wolfsburg,6
Serge Gnabry,Germany,1899 Hoffenheim,6
Thorgan Hazard,Belgium,Bor. Mönchengladbach,6
Felix Klaus,Germany,Hannover 96,6
Christian Pulisic,USA,Borussia Dortmund,6
Arjen Robben,Netherlands,Bayern München,6
Marcel Sabitzer,Austria,RB Leipzig,6
Pirmin Schwegler,Switzerland,Hannover 96,6
Lucas Alario,Argentina,Bayer Leverkusen,5
Julian Brandt,Germany,Bayer Leverkusen,5
Daniel Brosinski,Germany,1. FSV Mainz 05,5
Guido Burgstaller,Austria,FC Schalke 04,5
Thomas Delaney,Denmark,Werder Bremen,5
Vincenzo Grifo,Italy,Bor. Mönchengladbach,5
Miloš Jojić,Serbia,1. FC Köln,5
Naby Keïta,Guinea,RB Leipzig,5
Yevhen Konoplyanka,Ukraine,FC Schalke 04,5
Valentino Lazaro,Austria,Hertha BSC,5
André Schürrle,Germany,Borussia Dortmund,5
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,4
Timothy Chandler,USA,Eintracht Frankfurt,4
Kingsley Coman,France,Bayern München,4
Mahmoud Dahoud,Germany,Borussia Dortmund,4
Diego Demme,Germany,RB Leipzig,4
Alfreð Finnbogason,Iceland,FC Augsburg,4
Mijat Gaćinović,Serbia,Eintracht Frankfurt,4
Mario Gomez,Germany,VfB Stuttgart,4
Michael Gregoritsch,Austria,FC Augsburg,4
Christian Günter,Germany,SC Freiburg,4
Janik Haberer,Germany,SC Freiburg,4
Sébastien Haller,France,Eintracht Frankfurt,4
Nicolas Höfler,Germany,SC Freiburg,4
Vedad Ibišević,Bosnia-Herzegovina,Hertha BSC,4
Tatsuya Ito,Japan,Hamburger SV,4
Zlatko Junuzović,Austria,Werder Bremen,4
Pavel Kadeřábek,Czech Republic,1899 Hoffenheim,4
Robert Lewandowski,Poland,Bayern München,4
Yunus Mallı,Turkey,VfL Wolfsburg,4
Yoshinori Mutō,Japan,1. FSV Mainz 05,4
Levin Öztunali,Germany,1. FSV Mainz 05,4
Sebastian Rudy,Germany,Bayern München,4
Jadon Sancho,England,Borussia Dortmund,4
Nico Schulz,Germany,1899 Hoffenheim,4
Davie Selke,Germany,Hertha BSC,4
Lars Stindl,Germany,Bor. Mönchengladbach,4
Erik Thommy,Germany,FC Augsburg,4
Corentin Tolisso,France,Bayern München,4
Nadiem Amiri,Germany,1899 Hoffenheim,3
Charles Aránguiz,Chile,Bayer Leverkusen,3
Fin Bartels,Germany,Werder Bremen,3
Ihlas Bebou,Togo,Hannover 96,3
Karim Bellarabi,Germany,Bayer Leverkusen,3
Danny da Costa,Germany,Eintracht Frankfurt,3
Vladimír Darida,Czech Republic,Hertha BSC,3
Pablo de Blasis,Argentina,1. FSV Mainz 05,3
Jonathan de Guzmán,Netherlands,Eintracht Frankfurt,3
Dennis Diekmeier,Germany,Hamburger SV,3
Giulio Donati,Italy,1. FSV Mainz 05,3
Maximilian Eggestein,Germany,Werder Bremen,3
Nico Elvedi,Switzerland,Bor. Mönchengladbach,3
Niclas Füllkrug,Germany,Hannover 96,3
Jean-Philippe Gbamin,Ivory Coast,1. FSV Mainz 05,3
Leon Goretzka,Germany,FC Schalke 04,3
Mario Götze,Germany,Borussia Dortmund,3
Jonas Hofmann,Germany,Bor. Mönchengladbach,3
Gerrit Holtmann,Germany,1. FSV Mainz 05,3
 Jonathas,Brazil,Hannover 96,3
Shinji Kagawa,Japan,Borussia Dortmund,3
Florian Kainz,Austria,Werder Bremen,3
