player,country,team,assists
Peniel Mlapa,Togo,1899 Hoffenheim,2
Jan Morávek,Czech Republic,1. FC Kaiserslautern,2
Christoph Moritz,Germany,FC Schalke 04,2
Javier Pinola,Argentina,1. FC Nürnberg,2
Pavel Pogrebnyak,Russia,VfB Stuttgart,2
Anton Putsila,Belarus,SC Freiburg,2
Stefan Reinartz,Germany,Bayer Leverkusen,2
Simon Rolfes,Germany,Bayer Leverkusen,2
Marcel Schmelzer,Germany,Borussia Dortmund,2
Lukas Schmitz,Germany,FC Schalke 04,2
Gylfi Sigurðsson,Iceland,1899 Hoffenheim,2
Charles Takyi,Ghana,FC St. Pauli,2
Tunay Torun,Turkey,Hamburger SV,2
Christian Träsch,Germany,VfB Stuttgart,2
Anatoliy Tymoshchuk,Ukraine,Bayern München,2
 Wesley,Brazil,Werder Bremen,2
Carlos Zambrano,Peru,FC St. Pauli,2
Mohammed Abdellaoue,Norway,Hannover 96,1
Ioannis Amanatidis,Greece,Eintracht Frankfurt,1
Dennis Aogo,Germany,Hamburger SV,1
Michael Ballack,Germany,Bayer Leverkusen,1
Philipp Bargfrede,Germany,Werder Bremen,1
Oliver Barth,Germany,SC Freiburg,1
Andrea Barzagli,Italy,VfL Wolfsburg,1
Oliver Baumann,Germany,SC Freiburg,1
Nassim Ben Khalifa,Switzerland,1. FC Nürnberg,1
Änis Ben-Hatira,Tunisia,Hamburger SV,1
Lars Bender,Germany,Bayer Leverkusen,1
Sven Bender,Germany,Borussia Dortmund,1
Jiří Bílek,Czech Republic,1. FC Kaiserslautern,1
Fabian Boll,Germany,FC St. Pauli,1
Florian Bruns,Germany,FC St. Pauli,1
Alexander Bugera,Germany,1. FC Kaiserslautern,1
Daniel Caligiuri,Germany,SC Freiburg,1
Mauro Camoranesi,Italy,VfB Stuttgart,1
Adil Chihi,Morocco,1. FC Köln,1
 Chris,Brazil,Eintracht Frankfurt,1
 Cícero,Brazil,VfL Wolfsburg,1
Dennis Daube,Germany,FC St. Pauli,1
Pierre De Wit,Germany,1. FC Kaiserslautern,1
Ashkan Dejagah,Iran,VfL Wolfsburg,1
Guy Demel,Ivory Coast,Hamburger SV,1
Daniel Didavi,Germany,VfB Stuttgart,1
Constant Djakpa,Ivory Coast,Hannover 96,1
Edin Džeko,Bosnia-Herzegovina,VfL Wolfsburg,1
Marius Ebbers,Germany,FC St. Pauli,1
Mario Eggimann,Switzerland,Hannover 96,1
Fabrice Ehret,France,1. FC Köln,1
Martin Fenin,Czech Republic,Eintracht Frankfurt,1
Mike Frantz,Germany,1. FC Nürnberg,1
Maik Franz,Germany,Eintracht Frankfurt,1
Torsten Frings,Germany,Werder Bremen,1
Ralph Gunesch,Germany,FC St. Pauli,1
Makoto Hasebe,Japan,VfL Wolfsburg,1
Patrick Helmes,Germany,Bayer Leverkusen,1
Adam Hloušek,Czech Republic,1. FC Kaiserslautern,1
Erwin Hoffer,Austria,1. FC Kaiserslautern,1
 Hugo Almeida,Portugal,Werder Bremen,1
Mats Hummels,Germany,Borussia Dortmund,1
Said Husejinović,Bosnia-Herzegovina,Werder Bremen,1
Sami Hyypiä,Finland,Bayer Leverkusen,1
Jonathan Jäger,France,SC Freiburg,1
David Jarolím,Czech Republic,Hamburger SV,1
Erik Jendrišek,Slovakia,FC Schalke 04,1
Juri Judt,Germany,1. FC Nürnberg,1
 Jurado,Spain,FC Schalke 04,1
