player,country,team,assists
Adam Hloušek,Czech Republic,1. FC Nürnberg,2
Mats Hummels,Germany,Borussia Dortmund,2
Vedad Ibišević,Bosnia-Herzegovina,VfB Stuttgart,2
 Joselu,Spain,Eintracht Frankfurt,2
Zlatko Junuzović,Austria,Werder Bremen,2
Felix Klaus,Germany,SC Freiburg,2
Robin Knoche,Germany,VfL Wolfsburg,2
Sead Kolašinac,Bosnia-Herzegovina,FC Schalke 04,2
Ja-cheol Koo,South Korea,1. FSV Mainz 05,2
Robbie Kruse,Australia,Bayer Leverkusen,2
Domi Kumbela,Congo DR,Eintracht Braunschweig,2
Moritz Leitner,Germany,VfB Stuttgart,2
Cédric Makiadi,Congo DR,Werder Bremen,2
Joel Matip,Cameroon,FC Schalke 04,2
Alexander Meier,Germany,Eintracht Frankfurt,2
 Naldo,Brazil,VfL Wolfsburg,2
Håvard Nordtveit,Norway,Bor. Mönchengladbach,2
Patrick Ochs,Germany,VfL Wolfsburg,2
Christian Pander,Germany,Hannover 96,2
Sokratis Papastathopoulos,Greece,Borussia Dortmund,2
Peter Pekarík,Slovakia,Hertha BSC,2
Sebastian Polter,Germany,1. FSV Mainz 05,2
Marco Russ,Germany,Eintracht Frankfurt,2
Nuri Şahin,Turkey,Borussia Dortmund,2
Gōtoku Sakai,Japan,VfB Stuttgart,2
Xherdan Shaqiri,Switzerland,Bayern München,2
Oliver Sorg,Germany,SC Freiburg,2
Lars Stindl,Germany,Hannover 96,2
Norman Theuerkauf,Germany,Eintracht Braunschweig,2
Heiko Westermann,Germany,Hamburger SV,2
Niki Zimling,Denmark,1. FSV Mainz 05,2
Mohammed Abdellaoue,Norway,VfB Stuttgart,1
Orhan Ademi,Switzerland,Eintracht Braunschweig,1
Sami Allagui,Tunisia,Hertha BSC,1
 Bamba Anderson,Brazil,Eintracht Frankfurt,1
Julian Baumgartlinger,Austria,1. FSV Mainz 05,1
Lars Bender,Germany,Bayer Leverkusen,1
Jakub Błaszczykowski,Poland,Borussia Dortmund,1
Jérôme Boateng,Germany,Bayern München,1
Roel Brouwers,Netherlands,Bor. Mönchengladbach,1
Luca Caldirola,Italy,Werder Bremen,1
Marco Caligiuri,Germany,Eintracht Braunschweig,1
 Campaña,Spain,1. FC Nürnberg,1
Diego Contento,Germany,Bayern München,1
 Dante,Brazil,Bayern München,1
Daniel Davari,Iran,Eintracht Braunschweig,1
