player,country,team,goal,penalty
Ben Davies,Wales,Tottenham Hotspur,2,0
Tom Davies,England,Everton FC,2,0
Craig Dawson,England,West Bromwich Albion,2,0
Momo Diamé,Senegal,Newcastle United,2,0
Jonny Evans,Northern Ireland,West Bromwich Albion,2,0
Dan Gosling,England,AFC Bournemouth,2,0
Jóhann Guðmundsson,Iceland,Burnley FC,2,0
Idrissa Gueye,Senegal,Everton FC,2,0
 Héctor Bellerín,Spain,Arsenal FC,2,0
Ahmed Hegazy,Egypt,West Bromwich Albion,2,0
Tomer Hemed,Israel,Brighton & Hove Albion,2,0
Jeff Hendrick,Ireland,Burnley FC,2,0
Will Hughes,England,Watford FC,2,0
Jordon Ibe,England,AFC Bournemouth,2,0
Tom Ince,England,Huddersfield Town,2,0
 João Mário,Portugal,West Ham United,2,0
Christian Kabasele,Belgium,Watford FC,2,0
 Kenedy,Brazil,Chelsea FC,2,0
Sung-yueng Ki,South Korea,Swansea City,2,0
Sead Kolašinac,Bosnia-Herzegovina,Arsenal FC,2,0
Laurent Koscielny,France,Arsenal FC,2,0
Cheikhou Kouyaté,Senegal,West Ham United,2,0
Érik Lamela,Argentina,Tottenham Hotspur,2,0
Jake Livermore,England,West Bromwich Albion,2,0
Ruben Loftus-Cheek,England,Crystal Palace,2,0
Shane Long,Ireland,Southampton FC,2,0
Dejan Lovren,Croatia,Liverpool FC,2,0
Harry Maguire,England,Leicester City,2,0
Alfie Mawson,England,Swansea City,2,0
Lys Mousset,France,AFC Bournemouth,2,0
Papa N'Diaye,Senegal,Stoke City,2,0
 Pedro Obiang,Spain,West Ham United,2,0
Matt Phillips,Scotland,West Bromwich Albion,2,0
Hal Robson-Kanu,Wales,West Bromwich Albion,2,0
Antonio Rüdiger,Germany,Chelsea FC,2,0
Diafra Sakho,Senegal,West Ham United,2,0
Ramadan Sobhi,Egypt,Stoke City,2,0
Jack Stephens,England,Southampton FC,2,0
Daniel Sturridge,England,Liverpool FC,2,0
Andrew Surman,South Africa,AFC Bournemouth,2,0
Andros Townsend,England,Crystal Palace,2,0
Maya Yoshida,Japan,Southampton FC,2,0
Ashley Young,England,Manchester United,2,0
Trent Alexander-Arnold,England,Liverpool FC,1,0
Harry Arter,Ireland,AFC Bournemouth,1,0
Eric Bailly,Ivory Coast,Manchester United,1,0
Gareth Barry,England,West Bromwich Albion,1,0
Jan Bednarek,Poland,Southampton FC,1,0
Yannick Bolasie,Congo DR,Everton FC,1,0
Robbie Brady,Ireland,Burnley FC,1,0
Miguel Britos,Uruguay,Watford FC,1,0
Étienne Capoue,France,Watford FC,1,0
André Carrillo,Peru,Watford FC,1,0
Nacer Chadli,Belgium,West Bromwich Albion,1,0
Tom Cleverley,England,Watford FC,1,0
James Collins,Wales,West Ham United,1,0
Aaron Cresswell,England,West Ham United,1,0
Charlie Daniels,England,AFC Bournemouth,1,0
Scott Dann,England,Crystal Palace,1,0
 David Luiz,Brazil,Chelsea FC,1,0
Steven Defour,Belgium,Burnley FC,1,0
Fabian Delph,England,Manchester City,1,0
Danny Drinkwater,England,Chelsea FC,1,0
Lewis Dunk,England,Brighton & Hove Albion,1,0
Leroy Fer,Netherlands,Swansea City,1,0
Federico Fernández,Argentina,Swansea City,1,0
Sam Field,England,West Bromwich Albion,1,0
Darren Fletcher,Scotland,Stoke City,1,0
 Gerard Deulofeu,Spain,Watford FC,1,0
Isaac Hayden,England,Newcastle United,1,0
Jordan Henderson,England,Liverpool FC,1,0
Danny Ings,England,Liverpool FC,1,0
 Jesé,Spain,Stoke City,1,0
Elias Kachunga,Congo DR,Huddersfield Town,1,0
N'Golo Kanté,France,Chelsea FC,1,0
 Kiko Femenía,Spain,Watford FC,1,0
Ragnar Klavan,Estonia,Liverpool FC,1,0
Vincent Kompany,Belgium,Manchester City,1,0
Mario Lemina,Gabon,Southampton FC,1,0
 Llorente,Spain,Tottenham Hotspur,1,0
Jürgen Locadia,Netherlands,Brighton & Hove Albion,1,0
Joe Lolley,England,Huddersfield Town,1,0
Kevin Long,Ireland,Burnley FC,1,0
Solomon March,England,Brighton & Hove Albion,1,0
Nemanja Matić,Serbia,Manchester United,1,0
Joel Matip,Cameroon,Liverpool FC,1,0
James McClean,Ireland,West Bromwich Albion,1,0
Per Mertesacker,Germany,Arsenal FC,1,0
 Mikel Merino,Spain,Newcastle United,1,0
Aleksandar Mitrović,Serbia,Newcastle United,1,0
James Morrison,Scotland,West Bromwich Albion,1,0
Jacob Murphy,England,Newcastle United,1,0
Luciano Narsingh,Netherlands,Swansea City,1,0
Angelo Ogbonna,Italy,West Ham United,1,0
Stefano Okaka,Italy,Watford FC,1,0
 Oriol Romeu,Spain,Southampton FC,1,0
Alex Pritchard,England,Huddersfield Town,1,0
Nathan Redmond,England,Southampton FC,1,0
Andrew Robertson,Scotland,Liverpool FC,1,0
Henri Saivet,Senegal,Newcastle United,1,0
Mamadou Sakho,France,Crystal Palace,1,0
Ryan Shawcross,England,Stoke City,1,0
Jonjo Shelvey,England,Newcastle United,1,0
Moussa Sissoko,France,Tottenham Hotspur,1,0
Islam Slimani,Algeria,Leicester City,1,0
Adam Smith,England,AFC Bournemouth,1,0
Dominic Solanke,England,Liverpool FC,1,0
Leonardo Ulloa,Argentina,Brighton & Hove Albion,1,0
Mike van der Hoorn,Netherlands,Swansea City,1,0
Molla Wagué,Mali,Watford FC,1,0
Victor Wanyama,Kenya,Tottenham Hotspur,1,0
Stephen Ward,Ireland,Burnley FC,1,0
Georginio Wijnaldum,Netherlands,Liverpool FC,1,0
Ashley Williams,Wales,Everton FC,1,0
Jack Wilshere,England,Arsenal FC,1,0
Granit Xhaka,Switzerland,Arsenal FC,1,0
Davide Zappacosta,Italy,Chelsea FC,1,0
Kurt Zouma,France,Stoke City,1,0
