Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
Notes:,,,,,,,,,,,,,,
Key to column headings:- Fl = Number of Fouls Y = Number of Yellow cards R = Number of Reds Sh = Number of Shots ShT = Number of Shots on Target,,,,,,,,,,,,,,
1,Paris SG,38,30,6,2,102,19,83,96,395,45,1,564,250
2,Lyon,38,19,8,11,67,43,24,65,511,65,3,554,202
3,Monaco,38,17,14,7,57,50,7,65,545,84,4,427,169
4,Nice,38,18,9,11,58,41,17,63,451,66,6,387,161
5,Lille,38,15,15,8,39,27,12,60,575,83,6,475,154
6,St Etienne,38,17,7,14,42,37,5,58,588,71,5,440,134
7,Caen,38,16,6,16,39,52,-13,54,463,52,6,469,175
8,Rennes,38,13,13,12,52,54,-2,52,463,67,3,418,154
9,Angers,38,13,11,14,40,38,2,50,521,70,6,397,131
10,Bastia,38,14,8,16,36,42,-6,50,530,82,10,332,110
11,Bordeaux,38,12,14,12,50,57,-7,50,491,80,7,440,144
12,Montpellier,38,14,7,17,49,47,2,49,476,64,2,393,144
13,Marseille,38,10,18,10,48,42,6,48,511,71,9,475,181
14,Nantes,38,12,12,14,33,44,-11,48,598,79,5,432,134
15,Lorient,38,11,13,14,47,58,-11,46,463,63,7,418,153
16,Guingamp,38,11,11,16,47,56,-9,44,508,75,6,399,135
17,Toulouse,38,9,13,16,45,55,-10,40,533,71,10,424,158
18,Reims,38,10,9,19,44,57,-13,39,518,80,6,426,159
19,Ajaccio GFCO,38,8,13,17,37,58,-21,37,577,89,6,434,124
20,Troyes,38,3,9,26,28,83,-55,18,434,71,9,448,154
