Position,Team,Played,W,D,L,F,A,GD,Pts,Fl,Y,R,Sh,ShT
1,Barcelona,37,31,4,2,111,39,72,97,396,55,3,514,236
2,Real Madrid,37,25,7,5,99,40,59,82,454,88,6,686,290
3,Ath Madrid,37,22,7,8,62,30,32,73,583,95,5,491,183
4,Valencia,37,19,8,10,64,50,14,65,566,114,7,549,189
5,Sociedad,37,17,12,8,69,49,20,63,430,90,1,536,203
6,Malaga,37,16,9,12,52,46,6,57,490,90,6,425,162
7,Betis,37,16,7,14,56,55,1,55,542,109,7,437,153
8,Vallecano,37,16,4,17,48,64,-16,52,581,136,4,533,177
9,Sevilla,37,13,8,16,54,51,3,47,535,89,14,528,186
10,Getafe,37,13,8,16,43,55,-12,47,540,108,9,455,164
11,Levante,37,12,9,16,39,56,-17,45,571,104,7,385,128
12,Espanol,37,11,11,15,43,51,-8,44,636,141,11,397,135
13,Ath Bilbao,37,12,8,17,42,63,-21,44,514,110,8,473,153
14,Valladolid,37,11,10,16,47,54,-7,43,494,77,3,376,149
15,Osasuna,37,10,9,18,31,46,-15,39,554,109,10,483,151
16,Granada,37,10,9,18,35,54,-19,39,563,99,5,448,142
17,La Coruna,37,8,11,18,47,69,-22,35,421,91,8,505,172
18,Celta,37,9,7,21,36,52,-16,34,493,97,4,445,140
19,Zaragoza,37,9,7,21,36,59,-23,34,605,120,11,445,140
20,Mallorca,37,8,9,20,39,70,-31,33,586,96,8,461,160
